기관명,사회서비스분야,주된목적,사업내용,인증여부,인증일자,인증번호,대표자명,전화번호,소재지도로명주소,소재지지번주소,홈페이지주소,데이터기준일자,제공기관코드,제공기관명
(사)꼭두,예술·관광,혼합형,문화관광공연 및 HRD,Y,2012-11-01,2012-84,노지인,063-232-1416,"전라북도 전주시 덕진구 전주천동로 364, 3층",전라북도 전주시 덕진구 진북동,,2018-08-27,4640000,전라북도 전주시
(사)한국예술진흥회,예술·관광,사회서비스제공형,문화예술 체험학습 교육 및 도자기 상품 제품 판매,,,,전삼임,062-521-3372,광주광역시 북구 우치로 15 (중흥동),광주광역시 북구 중흥동 349-14,,2020-03-20,3620000,광주광역시 북구
㈜휴먼퍼스트,기타,혼합형,"돌봄용품 개발 및 유통, 지원사업",,,,문선희,062-971-4856,"광주광역시 북구 첨단과기로 123, B동 205호 (오룡동, 광주과학기술원)",광주광역시 북구 오룡동 1,,2020-03-20,3620000,광주광역시 북구
㈜씨앤에이치아이,환경,일자리제공형,"주거복지 개선사업, 주거시설관리용역",,,,강용구,062-261-7957,"광주광역시 북구 군왕로207번길 16, 상가동 203호 (각화동, 각화영구임대아파트)",광주광역시 북구 각화동 202,,2020-03-20,3620000,광주광역시 북구
㈜아이어스,기타,일자리제공형,산업디자인 및 콘텐츠디자인,,,,서상수,062-611-5871,광주광역시 북구 첨단과기로176번길 27 (오룡동) 광주디자인센터 621호,광주광역시 북구 오룡동 1110-7,,2020-03-20,3620000,광주광역시 북구
황우럭만화천국사회적협동조합,기타,지역사회공헌형,"황우럭 만화카페 운영, 문화여가서비스 제공, 지역특산품 판매사업",N,2017-09-29,제주특별자치도 제2017-04호,강창욱,064-796-7020,제주특별자치도 제주시 한림읍 내동남길 7-3,,,2019-05-26,6510000,제주특별자치도 제주시
철학카운슬링길협동조합,기타,기타형,"상담사 양성교육, 상담, 부모교육",N,2017-09-29,제주특별자치도 제2017-03호,이란,064-721-0326,"제주특별자치도 제주시 청귤로 3, 1층 (이도이동)",,,2019-05-26,6510000,제주특별자치도 제주시
사회적협동조합제주내일,고용서비스,지역사회공헌형,고용복지통합서비스,N,2017-09-29,제주특별자치도 제2017-02호,좌경희,064-756-5425,"제주특별자치도 제주시 서광로 157, 4층 (용담일동)",,,2019-05-26,6510000,제주특별자치도 제주시
인한복 주식회사,기타,기타형,한복,N,2017-09-26,고용노동부 제2017-081호,김숙현,064-757-3118,제주특별자치도 제주시 정존3길 1-3 (노형동),,,2019-05-26,6510000,제주특별자치도 제주시
정선청정더덕영농조합법인,고용서비스,지역사회공헌형,더덕 재배 및 가공,N,2018-05-28,,이재숙,,강원도 정선군 북평면 북평중앙로 10,,,2019-06-30,4290000,강원도 정선군
주식회사 지엘에이(GLA),기타,기타형,"행사기획, 행사대행, 기념품제작 및 판매, 교육서비스",N,2017-09-26,고용노동부 제2017-080호,이규진,064-726-8863,"제주특별자치도 제주시 아란9길 22, 108동 303호(아라일동, 제주아라케이씨씨스위첸)",,,2019-05-26,6510000,제주특별자치도 제주시
주식회사 키움학교,기타,기타형,"교육컨설팅, 교재,교구,체험학습",N,2017-09-26,고용노동부 제2017-079호,이명혜,064-742-0322,"제주특별자치도 제주시 수덕5길 62, 1층 (노형동)",,,2019-05-26,6510000,제주특별자치도 제주시
주식회사 아일랜드스토리,예술·관광,기타형,"방송 영상 제작업, 광고대행업, 국제회의기획업",N,2017-07-04,제주특별자치도 제2017-01호,장혜리,070-4286-4464,"제주특별자치도 제주시 애월읍 유수암평화길 242, 101호",,,2019-05-26,6510000,제주특별자치도 제주시
주식회사 나무와사람들,기타,지역사회공헌형,"건축용 나무제품, 목재가구",N,2017-05-26,산림청 2017-1호,강철우,064-783-5973,"제주특별자치도 제주시 조천읍 선진길 88, 나동",,,2019-05-26,6510000,제주특별자치도 제주시
행복나무 주식회사,기타,기타형,제주지역 사회적경제 제품 플랫폼 역할,N,2017-04-01,고용노동부 제2017-036호,"윤희재,윤택열",064-748-4302,제주특별자치도 제주시 남성로4길 6 (용담일동),,,2019-05-26,6510000,제주특별자치도 제주시
㈜양평이클린,청소,일자리제공형,"청소,방역",Y,2018-07-03,제2018-084호,엄미영,031-775-9600,경기도 양평군 용문면 연수로 6,경기도 양평군 용문면 다문리 615,https://2clean.modoo.at/,2019-02-25,4170000,경기도 양평군
(사)교동아트,예술·관광,일자리제공형,"전통상품(한지사제품, 한스타일제품) 개발 및 판매",Y,2012-11-01,2012-87,김완순,063-287-1245,전라북도 전주시 완산구 경기전길 89,전라북도 전주시 완산구 풍남동3가,,2018-08-27,4640000,전라북도 전주시
(사)전북예술문화원,예술·관광,기타형,문화관광공연(오케스트라) 및 교육,Y,2012-11-01,2012-85,지은정,063-283-2511,전라북도 전주시 완산구 내원당길 52-4,전라북도 전주시 완산구 대성동,,2018-08-27,4640000,전라북도 전주시
㈜전북광역로컬푸드,기타,일자리제공형,친환경 안심 먹거리 식자재 도소매,Y,2012-09-04,2012-57,최학,063-544-6290,전라북도 전주시 덕진구 남정신기길 16,전라북도 전주시 덕진구 남정동,,2018-08-27,4640000,전라북도 전주시
두메산골 영농조합법인,기타,일자리제공형,"축산물(오리, 닭) 가공·유통사업",Y,2011-12-19,2011-152,유현주,063-211-6684,전라북도 전주시 완산구 능안자구길 53,전라북도 전주시 완산구 삼천동3가,,2018-08-27,4640000,전라북도 전주시
(사)타악연희원 아퀴,예술·관광,기타형,"퓨전타악, 전통문화예술 콘텐츠 사업",Y,2011-12-19,2011-151,박종대,070-7558-4023,"전라북도 전주시 완산구 장승배기로 342, 4층","전라북도 전주시 완산구 서서학동, 반석빌딩",,2018-08-27,4640000,전라북도 전주시
문화포럼나니레,예술·관광,일자리제공형,"전통문화, 뮤지컬 창작공연",Y,2011-11-28,2011-106,김성훈,063-231-2553,전라북도 전주시 완산구 전주천동로 20,"전라북도 전주시 완산구 교동, 전주전통문화관",,2018-08-27,4640000,전라북도 전주시
(유)아름다운환경,환경,일자리제공형,학교 청소 방호 위탁용역(잡병선별 판매 및 재활용 매장운용),Y,2010-07-29,2010-55,육이수,063-232-8382,전라북도 전주시 완산구 현무1길 31-7 3층,전라북도 전주시 완산구 경원동3가,,2018-08-27,4640000,전라북도 전주시
(유)맑은누리,환경,일자리제공형,"학교, 건물, 다중이용시설 관리 및 청소·소독사업",Y,2010-06-01,2010-26,김관무,063-242-6013,"전라북도 전주시 덕진구 서당길 37, 2층",전라북도 전주시 덕진구 용정동,,2018-08-27,4640000,전라북도 전주시
(유)맛디자인,기타,일자리제공형,각종 김치 제조 및 판매,Y,2010-01-21,2009-77,한경미,063-231-7017,전라북도 전주시 완산구 춘향로 5237,전라북도 전주시 완산구 대성동,,2018-08-27,4640000,전라북도 전주시
전주사회서비스센터,간병및가사지원,사회서비스제공형,"재가간병, 방문요양서비스 제공",Y,2008-10-23,2008-86,노승해,063-282-9770,전라북도 전주시 완산구 덕산길 29-1,전라북도 전주시 완산구 색장동,,2018-08-27,4640000,전라북도 전주시
우리노인복지센터 행복나눔,간병및가사지원,사회서비스제공형,"간병돌보미·홈헬퍼 파견, 전문돌봄 서비스제공",Y,2008-10-23,2008-85,박현정,063-255-7179,전라북도 전주시 덕진구 전주천서로 321,"전라북도 전주시 덕진구 진북동, 우리노인복지센터",,2018-08-27,4640000,전라북도 전주시
㈜사람과환경,환경,일자리제공형,전주시 재활용품 재활용 선별센터 운영,Y,2008-01-07,2007-53,강재원,063-229-5212,"전라북도 전주시 완산구 백제대로 249, 4층",전라북도 전주시 완산구 중화산동2가,,2018-08-27,4640000,전라북도 전주시
(주)미스터박대리,기타,일자리제공형,협동조합기반 자동차 배터리 출장교체,,,,박한샘,1800-0872,"부산광역시 수영구 연수로 320, 1층(망미동)",,http://mrbattery.kr/,2020-02-19,3380000,부산광역시 수영구
㈜다믐,기타,창조혁신형(기타),"가죽제품 제조, 외부용역 디자인",,,,송지환,,"부산광역시 수영구 좌수영로101번길 43(망미동), 2층",,www.dameum.co.kr,2020-02-19,3380000,부산광역시 수영구
㈜플레이 더 부산,예술·관광,사회서비스제공형,"공연기획, 취약계층 문화예술 공연 지원",,,,이성문,051-755-8002,"부산광역시 수영구 수영로582번길 10(광안동), 지하철광안역 역사내",,https://playthebusan.modoo.at/,2020-02-19,3380000,부산광역시 수영구
열린문화공동체 딱,기타,혼합형,"장애인아동교육, 상담, 예술소품 제작",,,,박희동,070-8613-0377,부산광역시 수영구 민락로27번길 28(민락동),,http://www.ddak.or.kr/,2020-02-19,3380000,부산광역시 수영구
㈜문화콩,기타,혼합형,공연제작 및 문화예술기획사업,,,,조은아,051-754-5416,"부산광역시 수영구 광남로 214, 7층(민락동)",,http://www.mcong.kr/,2020-02-19,3380000,부산광역시 수영구
미디토리협동조합,예술·관광,혼합형,"미디어콘텐츠 제작, 미디어교육",,,,김영,070-4349-0910,"부산광역시 수영구 광남로 88, 301호 (광안동,태민빌딩)",,http://www.meditory.net,2020-02-19,3380000,부산광역시 수영구
농업회사법인㈜장수식품,고용서비스,일자리제공형,"배즙, 양파즙, 엉겅퀴즙 등",,,,박연자,061-332-9616,전라남도 나주시 봉황면 죽황로 9,전라남도 나주시 봉황면 죽석리 513-3,https://www.jangsoofood.com/,2019-07-01,4830000,전라남도 나주시
농업회사법인 ㈜나물사랑,고용서비스,일자리제공형,"나물 건조 및 가공, 단체 학교 급식 등",,,,이정희,061-333-5588,전라남도 나주시 노안면 노안로 338,전라남도 나주시 노안면 금동리 195,http://www.namul5588.com/,2019-07-01,4830000,전라남도 나주시
㈜명하햇골,고용서비스,일자리제공형,"쪽샴푸, 염색스카프, 염색 교육 및 체험",,,,최경자,061-336-5800,전라남도 나주시 문평면 명하길 13-7,전라남도 나주시 문평면 북동리 606,,2019-07-01,4830000,전라남도 나주시
화탑영농조합법인,고용서비스,지역사회공헌형,소고기 판매 및 농촌체험,,,,김종구,061-337-2800,전라남도 나주시 세지면 화탑길 61,전라남도 나주시 세지면 송제리 772-20,,2019-07-01,4830000,전라남도 나주시
(사)농어촌정보화전남협회,고용서비스,혼합형,행사부스 설치,,,,제갈연,061-332-4100,전라남도 나주시 산포면 덕례덕림길 5,전라남도 나주시 산포면 덕례리 721-10,,2019-07-01,4830000,전라남도 나주시
(재)내셔널트러스트문화유산기금전남지부,문화재보존,기타형,한옥마을 민박체험,,,,정명수,061-336-3675,전라남도 나주시 다도면 동력길 16,전라남도 나주시 다도면 풍산리 199,http://www.nt-heritage.org/,2019-07-01,4830000,전라남도 나주시
사회적협동조합 희망동네사람들,기타,혼합형,교육서비스,N,2018-12-01,,남경호,033-591-3360,강원도 정선군 사북읍 사북6길 15-5,,,2019-06-30,4290000,강원도 정선군
푸새&G영농조합법인,고용서비스,일자리제공형,"산인삼, 산약초, 산나물 재배/가공 및 판매",Y,2015-10-30,,황진숙,033-562-1108,강원도 정선군 임계면 서동로 5485,,,2019-06-30,4290000,강원도 정선군
깜밥이날다 누룽지자활협동조합,기타,지역사회공헌형,"강원랜드 지역도박중독 장기체류자 사회복귀 교육, 사회복지서비스네트워크",Y,2018-05-01,,김석기,033-591-0990,강원도 정선군 고한읍 고한9길 26,,,2019-06-30,4290000,강원도 정선군
음성살림로컬푸드협동조합,기타,혼합형,농식품 유통,N,,,차흥도,043-873-0799,충청북도 음성군 원남면 하초로91번길 25,충청북도 음성군 원남면 하당리 438-3,,2019-05-31,4470000,충청북도 음성군
㈜태성스틸,기타,일자리제공형,이형강관제조판매,Y,2018-09-04,제2018-184호,최순옥,043-878-7556,충청북도 음성군 삼성면 금율로 349-25,충청북도 음성군 삼성면 능산리 383,,2019-05-31,4470000,충청북도 음성군
(주)계수나무,기타,일자리제공형,야생초 재배 보급,,,,하재옥,053-816-0303,대구광역시 수성구 화랑로34길 173 (만촌동),대구광역시 수성구 만촌동 276-1,http://www.gaesunamu.com/,2019-09-11,3460000,대구광역시 수성구
(주)청소하는마을,환경,일자리제공형,청소 및 방역소독,,,,박정옥,053-766-8234,대구광역시 수성구 지범로 31길 33-18(지산동),대구광역시 수성구 지산동 304-3,http://ecleantown.com,2019-09-11,3460000,대구광역시 수성구
(주)수성돌봄서비스센터,간병및가사지원,일자리제공형,노인장기요양서비스,,,,정성애,053-759-5114,대구광역시 수성구 지범로39길 106(범물동),대구광역시 수성구 범물동 1262-2,,2019-09-11,3460000,대구광역시 수성구
새암,기타,일자리제공형,"집수리, 도배장판, 인테리어",Y,2013-09-09,제2013-123호,박용모,02-868-8181,"서울특별시 관악구 남부순환로 1536, 3층",서울특별시 관악구 신림동 1576-23,www.se-am.co.kr,2019-05-30,3200000,서울특별시 관악구
착한여행,예술·관광,혼합형,공정여행(해외연수),Y,2010-12-22,제2010-209호,나효우,02-701-9071,서울특별시 관악구 신림로44나길 18,서울특별시 관악구 신림동 92-237,www.goodtravel.kr,2019-05-30,3200000,서울특별시 관악구
씨에스씨푸드,기타,일자리제공형,어르신 도시락사업단,Y,2011-12-19,제2011-114호,변미래,02-874-9295,서울특별시 관악구 은천로1길 5-4,서울특별시 관악구 봉천동 963-26,www.cscfood.co.kr,2019-05-30,3200000,서울특별시 관악구
관악시니어클럽,기타,일자리제공형,"웰빙 두부, 참기름 등 제작판매",Y,2010-12-21,제2010-208호,변미래,02-874-9295,서울특별시 관악구 남부순환로247다길 60,서울특별시 관악구 봉천동 148-145,,2019-05-30,3200000,서울특별시 관악구
푸른환경코리아,청소,일자리제공형,"건물미화, 청소용역, 외벽청소",Y,2008-01-07,제2007-043호,"정희석, 공은미",02-868-8381,서울특별시 관악구 난곡로 93,서울특별시 관악구 신림동 678-3,www.purenkorea.com,2019-05-30,3200000,서울특별시 관악구
나눔공동체,기타,혼합형,도시락 급식사업,Y,2008-01-07,제2007-042호,최영남,02-826-0282,서울특별시 관악구 은천로25길 27,서울특별시 관악구 봉천동 468-2,www.nanumfood.co.kr,2019-05-30,3200000,서울특별시 관악구
㈜성공팩토리,기타,사회서비스제공형,청소년교육,,,,최해숙,052-267-7218,"울산광역시 중구 종가로 15, A동 501-5001호 지식기술창업센터",,,2020-01-28,6310000,울산광역시
주식회사 소셜에코,기타,지역사회공헌형,카페 및 사회적기업물품 유통,,,,왕상민,031-319-7521,경기도 시흥시 역전로 430,경기도 시흥시 정왕동878번지,smartstore.naver.com/socialecho,2019-05-31,4010000,경기도 시흥시
주식회사휴플러스,기타,일자리제공형,사무용품 제작판매,,,,심봉경,032-519-1123,경기도 시흥시 신현로 355-70,경기도 시흥시 방산동508-1번지,www.ppad.co.kr,2019-05-31,4010000,경기도 시흥시
소통과나눔,기타,사회서비스제공형,장애아동 가정방문서비스,,,,이서경,032-512-9465,인천광역시 부평구 마장로 1,인천광역시 부평구 십정동 575-33,,2019-10-30,3540000,인천광역시 부평구
㈜러블리페이퍼,기타,기타형,"페이퍼캔버스아트, 나눔교육",,,,기우진,032-514-0107,"인천광역시 부평구 동수로 25, 401호",인천광역시 부평구 부평동 672-32,loverepaper.modoo.at,2019-10-30,3540000,인천광역시 부평구
강화초록식품주식회사,기타,일자리제공형,건강기능식품 제조,,,,박윤미,032-932-2797,인천광역시 부평구 수변로 56(부개동),인천광역시 부평구 부개동 497-7,,2019-10-30,3540000,인천광역시 부평구
가온샘주식회사,기타,일자리제공형,"판촉물, 인쇄, 문구, 전산용품",,,,정정숙,032-517-9040,인천광역시 부평구 평천로 384,인천광역시 부평구 삼산동 426-2,www.gaonsaem.com,2019-10-30,3540000,인천광역시 부평구
대성하우징협동조합,청소,일자리제공형,"집수리, 인테리어공사",,,,김미정,032-503-9077,인천광역시 부평구 경원대로 1198,인천광역시 부평구 십정동 186-289,,2019-10-30,3540000,인천광역시 부평구
㈜통,기타,일자리제공형,커피(식음료) 운영,,,,홍미경,031-885-5749,경기도 여주시 세종로 254-58,경기도 여주시 교동 454-5,,2019-10-23,5700000,경기도 여주시
㈜참조은,간병및가사지원,혼합형,돌봄서비스사업 친환경세제 판매,,,,강경선,031-886-1920,경기도 여주시 도예로35 101동 701호,경기도 여주시 천송동 347,,2019-10-23,5700000,경기도 여주시
㈜여주시주거복지센터,청소,일자리제공형,집수리사업,,,,김인홍,031-884-3060,경기도 여주시 여양2로 127-22,경기도 여주시 천송동 347,,2019-10-23,5700000,경기도 여주시
스쿨프린팅그룹 주식회사,기타,일자리제공형,"학습홍보물 디자인&인쇄, 교육소외계층 교육건설팅 등",,,,김호현,02-2285-3366,서울특별시 중구 서애로 33,,,2019-10-11,3010000,서울특별시 중구
㈜플랜트리,기타,일자리제공형,"인쇄 및 디자인, 다이어리, 캘린더, 행사대행 등",,,,심태선,02-712-5724,서울특별시 중구 서애로5길 12-20(필동3가 성운빌딩 205호),,,2019-10-11,3010000,서울특별시 중구
주식회사도산도방,예술·관광,일자리제공형,수공예도자생산,Y,2014-09-19,제2014-168호,서병호,070-7740-4697,충청북도 음성군 생극면 일생로 544,충청북도 음성군 생극면 관성리 13-1,,2019-05-31,4470000,충청북도 음성군
주식회사다솔,청소,일자리제공형,건축 석면해체,Y,2015-11-20,제2015-253호,박창수,043-872-9191,충청북도 음성군 음성읍 시장로 26,충청북도 음성군 음성읍 평곡리 968-3,http://edasol.co.kr/,2019-05-31,4470000,충청북도 음성군
(사)글로벌투게더음성,고용서비스,혼합형,휴게음식점업,Y,2012-12-14,제2012-138호,이영분,043-873-8732,충청북도 음성군 금왕읍  금석로 74,충청북도 음성군 금왕읍 무극리 98-7,http://www.gte.or.kr,2019-05-31,4470000,충청북도 음성군
㈜사람,기타,일자리제공형,의류제조,Y,2010-12-22,제2010-196호,이종기,041-354-1855,충청남도 당진시 당진시장길 132,충청남도 당진시 읍내동 160-3,,2018-08-23,5680000,충청남도 당진시
㈜더부러,환경,일자리제공형,문서파쇄,Y,2013-07-11,제2013-091호,조재웅,041-358-5663,충청남도 당진시 반촌로 27-26,충청남도 당진시 시곡동 62-4,www.doburo.co.kr,2018-08-23,5680000,충청남도 당진시
백석올미 영농조합,기타,일자리제공형,매실한과제조,Y,2015-03-31,제2015-045호,김금순,041-353-7541,"충청남도 당진시 순성면 매실로 244, 246","충청남도 당진시 순성면 백석리 755-1, 754-1",allmeone.com,2018-08-23,5680000,충청남도 당진시
㈜사람인충주돌봄,간병및가사지원,일자리제공형,"노인재가요양, 간병, 가사관리사, 장애인활동보조",,,,백수진,043-850-6061,충청북도 충주시 번영대로 111,,,2019-11-26,6430000,충청북도
㈜당진돌봄 사회서비스센터,고용서비스,혼합형,"도시락, 돌봄",Y,2016-05-04,제2016-068호,송영팔,041-355-0858,충청남도 당진시 무수동 1길 11 새마을회관 205호,충청남도 당진시 읍내동 1118 당진시새마을회관 205호,,2018-08-23,5680000,충청남도 당진시
㈜대원지엔지,청소,일자리제공형,"청소용역, 경비",Y,2017-09-12,제2017-160호,인효진,041-357-8833,충청남도 당진시 무수동로 20,충청남도 당진시 대덕동 1657,,2018-08-23,5680000,충청남도 당진시
㈜주성이엔지,기타,일자리제공형,강관제조업,Y,2016-09-06,제2016-154호,윤영주,041-357-4501,충청남도 당진시 대호지면 봉선길 58,충청남도 당진시 대호지면 장정리 492-16,,2018-08-23,5680000,충청남도 당진시
상록수농산 영농조합,기타,지역사회공헌형,농산물 가공유통업,N,2017-06-28,충남 제2017-206호,한기흥,041-363-8484,충청남도 당진시 시곡로 327 2층,충청남도 당진시 시곡동 81-13 2층,,2018-08-23,5680000,충청남도 당진시
㈜버그내,예술·관광,지역사회공헌형,여행체험숙박업,N,2018-07-02,충남 제2018-213호,김성태,041-363-7740,충청남도 당진시 합덕읍 합덕성당2길 16,충청남도 당진시 합덕읍 합덕리 274 천주교합덕성당,,2018-08-23,5680000,충청남도 당진시
(사)생태문화교육허브봄,기타,사회서비스제공형,생태복지,,,,박성배,051-851-3435,"부산광역시 연제구 중앙대로 1078, 1308호(연산동, 뉴그랜드 오피스텔)",부산광역시 연제구 연산동 702-9,,2020-02-10,3370000,부산광역시 연제구
(주레츠고줄사랑,기타,사회서비스제공형,줄넘기 운동,,,,고주향,051-852-6754,"부산광역시 연제구 고분로 122, 2층(연산동)",부산광역시 연제구 연산동 1021-4,,2020-02-10,3370000,부산광역시 연제구
(사)공정무역인천광장,기타,기타형,커피 및 차 등 기타,,,,나봉훈,032-435-7100,인천광역시 남동구 예술로 206,,,2019-06-11,6280000,인천광역시
더공감협동조합,기타,사회서비스제공형,진로체험교육,,,,윤승혜,051-852-2996,"부산광역시 연제구 아시아드대로 107(거제동, 현대오일뱅크 2층)","부산광역시 연제구 아시아드대로 107(거제동, 현대오일뱅크 2층)",,2020-02-10,3370000,부산광역시 연제구
㈜욕실의 꿈,기타,혼합형,욕실시공 및 교육,,,,조지현,051-851-1239,"부산광역시 연제구 반송로 81, 2층(연산동)",부산광역시 연제구 연산동 582-60,https://blog.naver.com/rkawlr0312,2020-02-10,3370000,부산광역시 연제구
㈜공간정리,환경,사회서비스제공형,공간정리컨설팅,,,,안미선,051-868-8584,"부산광역시 연제구 연제로 21, 상가 1동 203호(연산동)",부산광역시 연제구 연산동 862,spaceworkers.co.kr,2020-02-10,3370000,부산광역시 연제구
㈜다온웰니스,운동,사회서비스제공형,운동프로그램 제공,,,,박진성,051-622-0325,"부산광역시 연제구 과정로 190, 6층(연산동)",부산광역시 연제구 연산동 419-4,daoncenter.modoo.at,2020-02-10,3370000,부산광역시 연제구
밥애반찬협동조합,기타,일자리제공형,반찬배달 등,,,,박수정,051-966-4555,부산광역시 연제구 여고로 134-1(거제동),부산광역시 연제구 거제동 223-2,,2020-02-10,3370000,부산광역시 연제구
㈜나무의선물,예술·관광,혼합형,교육 및 목공예,,,,유혜영,051-867-1307,부산광역시 연제구 거제대로 94 (거제동),부산광역시 연제구 거제동 721-3,http://woodpresent.net,2020-02-10,3370000,부산광역시 연제구
협동조합 매일매일즐거워,보육,사회서비스제공형,"경계성 장애아동 숲, 문화예술 교육",,,,황태연,051-715-3350,부산광역시 연제구 월드컵대로 221-9(거제동),부산광역시 연제구 거제동 1188-12,http://www.funcoop.kr,2020-02-10,3370000,부산광역시 연제구
㈜토요,사업시설관리,일자리제공형,사업시설관리 및 지원,,,,임용성,051-865-0166,부산광역시 연제구 쌍미천로 125-1(연산동),부산광역시 연제구 연산동 642-6,,2020-02-10,3370000,부산광역시 연제구
㈜초록배낭,예술·관광,혼합형,"교육탐방, 문화체험",,,,채유진,051-701-5006,부산광역시 연제구 월드컵대로 221-4(거제동),부산광역시 연제구 거제동 1177-42,http://www.greentrip.co.kr,2020-02-10,3370000,부산광역시 연제구
㈜꿈드림키즈,보육,일자리제공형,영유아 감성체육사업,,,,이상목,051-868-3523,부산광역시 연제구 과정로 225번길 23(연산동),부산광역시 연제구 연산동 412-2,http://www.꿈드림키즈.com,2020-02-10,3370000,부산광역시 연제구
(사)부산돌봄사회서비스센터,간병및가사지원,일자리제공형,공동간병 산모도우미,,,,안혜경,051-852-0541,부산광역시 연제구 거제천로 89(거제동),부산광역시 연제구 거제동 457-10,http://www.bsjahwal.or.kr,2020-02-10,3370000,부산광역시 연제구
(주)부산광역주거복지센터,사업시설관리,혼합형,실내건축 주거복지,,,,이상철,051-710-5794,부산광역시 연제구 아시아드대로 65번가길 38(거제동),부산광역시 연제구 거제동 1237-1,,2020-02-10,3370000,부산광역시 연제구
자연애친구들,환경,혼합형,생태해설 체험교실,,,,최문영,051-506-1860,부산광역시 연제구 월드컵대로 91번가길 28(연산동),부산광역시 연제구 연산동 706-11,http://cafe.daum.net/eco-1004,2020-02-10,3370000,부산광역시 연제구
㈜최고의환한미소,기타,일자리제공형,폐현수막 재활용제품제작,,,,최환,070-8745-2776,인천광역시 미추홀구 수봉남로18번길 68,,,2019-06-11,6280000,인천광역시
㈜청청프로젝트연구소,기타,기타형,지역주민대상 대안기타 프로그램,,,,채상아,032-872-2445,"인천광역시 미추홀구 소성로 232, 2층",,,2019-06-11,6280000,인천광역시
㈜남영ENI,기타,일자리제공형,"주거환경개선사업(인테리어, 실내건축, 도배시공 등)",Y,2013-09-09,2013-118,김태형,053-581-7108,대구광역시 달성군 다사읍 서재본1길 6,대구광역시 달성군 다사읍 서재리 543-9,,2019-01-31,6270000,대구광역시
㈜반짇고리,기타,일자리제공형,"천연염색, 원단염색 및 생산품 제조판매",Y,2013-09-09,2013-117,김순자,053-475-4610,대구광역시 남구 중앙대로34길 21(봉덕동),대구광역시 남구 봉덕동 727-3,,2019-01-31,6270000,대구광역시
㈜행복한교육총연합회,보육,일자리제공형,방과후학교 사업,Y,2013-09-09,2013-116,이수남,053-523-6300,"대구광역시 중구 대봉로 238, 4층(대봉동)","대구광역시 중구 대봉동 55-94, 4층",,2019-01-31,6270000,대구광역시
사회적협동조합 동행,기타,일자리제공형,"친환경도시락, 밑반찬제조판매",Y,2013-07-11,2013-087,강현구,053-962-0999,"대구광역시 동구 율하서로 100, 1층(율하동)","대구광역시 동구 율하동 1377, 1층",,2019-01-31,6270000,대구광역시
㈜커스프,기타,일자리제공형,현수막 및 인쇄물 디자인,Y,2013-07-11,2013-086,전희찬,053-651-9334,대구광역시 중구 중앙대로 61길 48(남산동),대구광역시 중구 남산동 593-6,,2019-01-31,6270000,대구광역시
사단법인 대구국제오페라 오케스트라,예술·관광,일자리제공형,"오케스트라 공연 및 기획, 교육사업",Y,2013-05-10,2013-059,손영균,053-655-1108,대구광역시 북구 호암로 15(칠성동2가),대구광역시 북구 칠성동2가 727 대구오페라하우스,,2019-01-31,6270000,대구광역시
㈜계수나무,기타,일자리제공형,"분재 제작, 판매 및 교육",Y,2013-03-04,2013-019,하재옥,053-816-0303,대구광역시 수성구 달구벌대로 2910-8,대구광역시 수성구 연호동 208-1,,2019-01-31,6270000,대구광역시
(사)예술나눔,예술·관광,혼합형,공연 기획 및 제작,,,,안진상,043-201-1382,충청북도 청주시 상당구 중앙로 30,,,2019-11-26,6430000,충청북도
사단법인 한국지체장애인협회달성군장애인재활자립작업장,기타,일자리제공형,"위생팩, 장갑, 천연비누, 종량제 봉투 등 생산",Y,2012-12-14,2012-118,우승윤,053-615-0506,대구광역시 달성군 논공읍 논공로 242,대구광역시 달성군 논공읍 남리 717-4 달성장애인복지관,,2019-01-31,6270000,대구광역시
㈜제이씨기획,예술·관광,기타형,컨텐츠 기획 및 컨설팅,N,2018-07-02,충남 제2018-214호,양재천,041-358-1341,충청남도 당진시 계성1길 80-20,충청남도 당진시 읍내동 464-8,,2018-08-23,5680000,충청남도 당진시
㈜단미소,청소,일자리제공형,"에어컨 세척, 청소용역",N,2018-07-02,충남 제2018-215호,박상길,041-358-7662,충청남도 당진시 송악읍 반촌로 27-26(시곡동),충청남도 당진시 시곡동 62-4,,2018-08-23,5680000,충청남도 당진시
(주)파머스페이스,기타,일자리제공형,못난이 농산물 재가공 판매,,,,서호정,051-626-1042,부산광역시 금정구 금강로 260 (장전동),부산광역시 금정구 장전동 420-25,http://www.fspace.co.kr,2019-12-31,3350000,부산광역시 금정구
재단법인 부산행복한학교재단,기타,사회서비스제공형,방과후 학교지원사업,,,,신헌철,051-515-0370,부산광역시 금정구 금정로233번길 31 (구서동),부산광역시 금정구 구서동 415-3,http://bshappy-school.or.kr,2019-12-31,3350000,부산광역시 금정구
사회적협동조합 강북나눔돌봄센터,간병및가사지원,일자리제공형,"간병, 노인돌봄",,,,이경주,02-984-1416,서울특별시 강북구 덕릉로 46 (수유동),서울특별시 강북구 수유동 472-4,http://gbnanum.com,2019-11-18,3080000,서울특별시 강북구
(주)광개토환경,기타,일자리제공형,시설관리 및 사업지원서비스,,,,"김종호, 윤영미",02-2607-0277,"서울특별시 양천구 오목로 177, 영인빌딩 501호",,,2019-11-21,3140000,서울특별시 양천구
