낚시터명,낚시터유형,소재지도로명주소,소재지지번주소,위도,경도,낚시터전화번호,수면적,주요어종,최대수용인원,수상시설물유형,이용요금,주요포인트,안전시설현황,편익시설현황,주변관광지,관리기관전화번호,관리기관명,데이터기준일자,제공기관코드,제공기관명
도장포낚시터,바다,경상남도 거제시 남부면 도장포3길 지선,경상남도 거제시 남부면 갈곶리 산28 지선,34.743911,128.667061,000-0000-0000,1869,참돔/우럭,50,수상좌대,평균2만원,,안전휀스/정박등,관리실1동,,055-639-4244,경상남도 거제시청,2019-07-31,5370000,경상남도 거제시
선창해상낚시터,바다,경상남도 거제시 일운면 지세포해안로 240,경상남도 거제시 일운면 지세포리 292-1,34.8343819479,128.716047,055-681-0161,6240,참돔/우럭,50,수상좌대,평균1만원,,안전휀스/육상연결용다리,휴게실4동/다용도실1,,055-639-4244,경상남도 거제시청,2019-07-31,5370000,경상남도 거제시
능애 낚시터,저수지,,충청남도 공주시 정안면 평정리 529-1(평정저수지),36.55407334,127.0838220421,041-854-3664,6.6,"붕어, 잉어",20,고정형,20000,,"구명부환, 소화기 등",화장실,,041-850-6400,한국농어촌공사,2019-09-25,4500000,충청남도 공주시
공북낚시터,저수지,충청북도 청주시 흥덕구 오송읍 공북리 정중연제로 651-84,,36.652114,127.312772,,73917,붕어+잉어,150,고정형,25000원,,구명부환+소화기+구급약품+전기설비,화장실+쓰레기통,,,충청북도 청주시청,2018-08-08,5710000,충청북도 청주시
남창,저수지,충청남도 천안시 서북구 성거읍 보명사길 62,충청남도 천안시 서북구 성거읍 송남리 92,36.8612063,127.1984182590,,35000,붕어+잉어,100,고정형,"30,000",,구명부환+소화기+구급약품,화장실+쓰레기통,,,충청남도 천안시청,2019-06-18,4490000,충청남도 천안시
중리테마파크,저수지,경기도 포천시 관인면 지장산길 65,경기도 포천시 관인면 중리 864-3,38.1016783935,127.19929064,031-532-8000,94000,붕어등,20,"좌대, 방갈로","30,000",,"구명부환, 구명조끼","화장실, 세면장",한탄강둘레길,031-538-3862,포천시,2019-09-09,5600000,경기도 포천시
지청,저수지,,경기도 포천시 일동면 화대리 770,37.95988478,127.3302697,,10335,붕어등,80,"좌대, 방갈로","30,000",,"구명부환, 구명조끼","화장실, 세면장",산정호수,031-538-3862,포천시,2019-09-09,5600000,경기도 포천시
직두리,저수지,,경기도 포천시 군내면 직두리 580-1,37.87716354,127.229952,,2900,붕어등,90,좌대,"30,000",,"구명부환, 구명조끼","화장실, 세면장",아트밸리,031-538-3862,포천시,2019-09-09,5600000,경기도 포천시
초원,저수지,,경기도 포천시 자작동 509,37.8767602,127.1690756,031-541-5341,27000,붕어등,165,"좌대, 방갈로","30,000",,"구명부환, 구명조끼","화장실, 세면장",고모리저수지,031-538-3862,포천시,2019-09-09,5600000,경기도 포천시
대박낚시터,평지,경상북도 상주시 낙상동 832,경상북도 상주시 낙상동 832,36.4570463,128.200855,054-535-5857,266,"장어,바다가재,잉어",40,없음,55000,,"소화기, 구명조끼,튜브등","식당, 화장실",,054-537-7464,상주시청,2019-05-27,5110000,경상북도 상주시
산내낚시터,저수지,대전광역시 동구 하소동 481-2번지,대전광역시 동구 하소동 481-2번지,36.208540,127.437533,042-273-0693,9000,붕어+향어,100,부유형,1일 20000원,-,구명부환+소화기+구급약품세트,매점+화장실+세면소,만인산자연휴양림,042-251-4646,대전광역시 동구청,2019-06-04,3640000,대전광역시 동구
착한붕어낚시카페(군포점),기타,경기도 군포시 군포로 539,경기도 군포시 당동 745-9번지,37.3542136,126.9462958,,42.56,성어,18,기타,1시간 10000원,,소화기 구급약품,"카페, 화장실",,,경기도 군포시청,2019-05-31,4020000,경기도 군포시
삼사낚시터,기타,경상북도 영천시 고경면 추곡길 215-12,경상북도 영천시 고경면 용전리 891,35.987546,129.024265,054-337-0734,800,"붕어, 잉어",72,해당없음,"10,000",,구명조끼 등,"휴게실, 식당, 수면실, 샤워실, 회의실 등",충성대 CC,054-339-7175,경상북도 영천시청 축산과,2019-05-22,5100000,경상북도 영천시
매전낚시터,평지,경상북도 청도군 매전면 온장길 142,경상북도 청도군 매전면 호화리 752-71,35.637162,128.851936,,3600,붕어+잉어,30,고정형,1일 15000원,,구명부환+소화기+구급약품,화장실,"동창천유원지,오토캠핑장",054-370-6535,경상북도 청도군청,2019-05-13,5190000,경상북도 청도군
수암낚시터,저수지,충청북도 괴산군 사리면 모래재로 643-12,,36.8076407,127.6829689,043-833-8700,6000,붕어,70,고정형,"30,000",,"구명부환, 구명조끼, 구급약품",화장실,,043-830-3245,괴산군청 축수산과,2019-05-03,4460000,충청북도 괴산군
거금해양낚시공원,바다,전라남도 고흥군 금산면 신촌내동길 18-132,전라남도 고흥군 금산면 신촌리 1100,34.4694275202,127.104524,061-843-6060,1300,"감성돔, 노래미",80,"해상낚시터,해상펜션","성인20,000원,청소년10,000원",,안전펜스 등,"해상낚시터, 해상펜션, 황토방","소록도, 녹동항",061-830-5327,고흥군청,2019-09-25,4880000,전라남도 고흥군
입장,저수지,충청남도 천안시 서북구 입장면 양대기로길 26-7,충청남도 천안시 서북구 입장면 양대리 232,36.9071857366,127.2503505806,,172000,붕어+잉어,50,고정형,"20,000",,구명부환+소화기+구급약품,화장실+쓰레기통,,,충청남도 천안시청,2019-06-18,4490000,충청남도 천안시
마정,저수지,충청남도 천안시 서북구 직산읍 금곡로 176,충청남도 천안시 서북구 직산읍 마정리 314,36.8744380814,127.0999306467,041-585-4959,180900,붕어+잉어,150,고정형,"20,000",,구명부환+소화기+구급약품,화장실+쓰레기통,,,충청남도 천안시청,2019-06-18,4490000,충청남도 천안시
세천낚시터,평지,경상북도 상주시 외서면 서당골길 28,경상북도 상주시 외서면 관동리 282-10,36.4693011144,128.165266094,054-532-7048,2345,"송어,잉어",30,없음,60000,,"소화기, 구명조끼,튜브등","식당, 화장실",,054-537-7463,상주시청,2019-05-27,5110000,경상북도 상주시
매전낚시터,저수지,충청북도 괴산군 감물면 도전로1길 39,,36.818286,127.8860264,043-832-3985,108338,붕어,30,고정형,"15,000",,"소화기,구명조끼,구명동의.구명줄",화장실,성불산자연휴양림,043-830-3244,괴산군청 축수산과,2019-05-03,4460000,충청북도 괴산군
박달산낚시터,저수지,충청북도 괴산군 장연면 미선로추점2길24,,36.8454802241,127.95517301,043-832-8791,22288,붕어,48,수상좌대6동,"30,000",,"구명부환,소화기,구명조끼","매점,화장실",,043-830-3244,괴산군청 축수산과,2019-05-03,4460000,충청북도 괴산군
산골낚시터,평지,경기도 파주시 법원읍 만월로613번길 237,경기도 파주시 법원읍 직천리 759-1,37.8903316696,126.9140275946,,2.8,"메기,붕어,잉어 등",100,고정형,20000,,"구명조끼,구급약품,소화기","관리실,매점,화장실 등",,031-940-8593,파주시 농축산과,2020-03-19,4060000,경기도 파주시
사랑낚는어부가든낚시터,평지,경기도 파주시 법원읍 보광로 1663,경기도 파주시 법원읍 삼방리 391-7,37.8240011905,126.8684400279,,2.8,"메기,붕어,잉어 등",100,고정형,20000,,"구명조끼,구급약품,소화기","관리실,매점,화장실 등",,031-940-8593,파주시 농축산과,2020-03-19,4060000,경기도 파주시
백경수낚시터,평지,경기도 파주시 광탄면 부흥로 422,경기도 파주시 광탄면 발랑리 188-5,37.8038022496,126.8939794673,,1.1,"메기,붕어,잉어 등",100,고정형,30000,,"구명조끼,구급약품,소화기","관리실,매점,화장실 등",,031-940-8593,파주시 농축산과,2020-03-19,4060000,경기도 파주시
직천낚시터,저수지,경기도 파주시 법원읍 만월로 537-29,경기도 파주시 법원읍 직천리 462,37.8962122763,126.9233526810,031-958-1954,452.0,"메기,붕어,잉어 등",100,부유형,20000,,"구명조끼,구급약품,소화기","관리실,매점,화장실 등",,031-940-8593,파주시 농축산과,2020-03-19,4060000,경기도 파주시
감악산낚시터,평지,경기도 파주시 적성면 감골길 48,경기도 파주시 적성면 무건리 2-9,37.9121670241,126.9521885625,031-958-6116,2.7,"메기,붕어,잉어 등",100,고정형,20000,,"구명조끼,구급약품,소화기","관리실,매점,화장실 등",,031-940-8593,파주시 농축산과,2020-03-19,4060000,경기도 파주시
작은연못낚시터,평지,경기도 파주시 광탄면 방축안길 39-5,경기도 파주시 광탄면 방축리 221-2,37.8122819381,126.8594211173,031-941-0042,0.6,"메기,붕어,잉어 등",100,고정형,20000,,"구명조끼,구급약품,소화기","관리실,매점,화장실 등",,031-940-8593,파주시 농축산과,2020-03-19,4060000,경기도 파주시
눈삔물고기낚시터,평지,경기도 파주시 문산읍 당동2로 5,경기도 파주시 문산읍 당동리 888-3,37.8679272282,126.7847068650,031-954-2172,0.0,"메기,붕어,잉어 등",100,고정형,20000,,"구명조끼,구급약품,소화기","관리실,매점,화장실 등",,031-940-8593,파주시 농축산과,2020-03-19,4060000,경기도 파주시
발랑낚시터,저수지,경기도 파주시 광탄면 부흥로 596,경기도 파주시 광탄면 발랑리 9-7,37.8060628608,126.9080433901,031-941-8675,0.1,"메기,붕어,잉어 등",100,부유형,20000,,"구명조끼,구급약품,소화기","관리실,매점,화장실 등",,031-940-8593,파주시 농축산과,2020-03-19,4060000,경기도 파주시
광탄낚시터,저수지,경기도 파주시 광탄면 부흥로 194-24,경기도 파주시 광탄면 방축리 95,37.8022473480,126.8674385165,031-941-8513,18.0,"메기,붕어,잉어 등",100,부유형,20000,,"구명조끼,구급약품,소화기","화장실,매점,방송시설 등",,031-940-8593,파주시 농축산과,2020-03-19,4060000,경기도 파주시
임진낚시캠핑,평지,경기도 파주시 문산읍 임진나루길 178-68,경기도 파주시 문산읍 임진리 34,37.8880978277,126.7928558724,,2.3,"메기,붕어,잉어 등",100,고정형,20000,,"구명조끼,구급약품,소화기","화장실,매점,방송시설 등",,031-940-8593,파주시 농축산과,2020-03-19,4060000,경기도 파주시
뚜루실내낚시터,평지,경기도 파주시 번영로 20,경기도 파주시 금촌동 944-31,37.7580316854,126.7710766561,070-7763-2222,0.0,"메기,붕어,잉어 등",100,고정형,20000,,"구명조끼,구급약품,소화기","화장실,매점,방송시설 등",,031-940-8593,파주시 농축산과,2020-03-19,4060000,경기도 파주시
자유로레저낚시터,평지,경기도 파주시 탄현면 엘지로717번길 2-114,경기도 파주시 탄현면 낙하리 312-1,37.8369801763,126.7299089694,,1.2,"메기,붕어,잉어 등",100,고정형,20000,,"구명조끼,구급약품,소화기","관리실,매점,화장실 등",,031-940-8593,파주시 농축산과,2020-03-19,4060000,경기도 파주시
이천낚시터,기타,경기도 이천시 모가면 공원로217번길 172,경기도 이천시 모가면 소고리 263,37.1895410889,127.4608781265,031-632-0781,4606,붕어+잉어,45,좌대,15000원,,소화기+구명부환 등,화장실+세면대 등,,031-644-2339,이천시 농업기술센터,2020-02-12,4070000,경기도 이천시
호법낚시터,기타,,경기도 이천시 호법면 주박리 159-5,37.2158694,127.4076094,031-632-8455,2000,붕어+잉어,43,없음,30000원,,소화기+구명부환 등,화장실+세면대 등,,031-644-2339,이천시 농업기술센터,2020-02-12,4070000,경기도 이천시
낚아보던지 실내낚시까페,기타,,경기도 이천시 부발읍 아미리 737-7,37.2538152,127.4895467,,30,붕어+잉어,20,없음,10000원,,소화기+구명부환 등,화장실+세면대 등,,031-644-2339,이천시 농업기술센터,2020-02-12,4070000,경기도 이천시
장호원낚시터,기타,경기도 이천시 장호원읍 경충대로519번길 239-50,경기도 이천시 장호원읍 선읍리 720,37.1416187,127.5742395,031-641-0277,5701,붕어+잉어,50,없음,15000원,,소화기+구명부환 등,화장실+세면대 등,,031-644-2339,이천시 농업기술센터,2020-02-12,4070000,경기도 이천시
이천실내바다낚시터,기타,,경기도 이천시 마장면 이치리 247-2,37.254334,127.3745317261,031-631-7896,150,붕어+잉어,40,없음,44000원,,소화기+구명부환 등,화장실+세면대 등,,031-644-2339,이천시 농업기술센터,2020-02-12,4070000,경기도 이천시
놀자낚시카페,기타,경기도 이천시 이섭대천로1217번길 15,경기도 이천시 창전동 168-16(지상 3층),37.2793201076,127.4459501054,031-638-1211,53,붕어+잉어,18,없음,10000원,,소화기+구명부환 등,화장실+세면대 등,,031-644-2339,이천시 농업기술센터,2020-02-12,4070000,경기도 이천시
아빠와 고래,기타,경상남도 김해시 함박로 121,경상남도 김해시 외동 1260-1,35.2322573718,128.867485795,055-330-4349,79.9,붕어+비단잉어,40,고정형,10000,,"구명부환1, 소화기2, 구급약품",화장실,,055-330-4349,경상남도 김해시 농축산과,2019-09-11,5350000,경상남도 김해시
화현낚시터,평지,경상남도 김해시 상동면 동북로 855-47,경상남도 김해시 상동면 감노리 17,35.335590088,128.939364266,055-337-9161,5800,잉어+붕어,100,고정형,20000,,"구명부환11, 소화기8, 구급약품",화장실,,055-330-4349,경상남도 김해시 농축산과,2019-09-11,5350000,경상남도 김해시
매일낚시터,평지,경기도 파주시 광탄면 보광로 898-17,경기도 파주시 광탄면 마장리 121-1,37.7764183768,126.8843430520,,0.8,"메기,붕어,잉어 등",100,고정형,20000,,"구명조끼,구급약품,소화기","관리실,매점,화장실 등",,031-940-8593,파주시 농축산과,2020-03-19,4060000,경기도 파주시
문화레저낚시터,평지,경기도 파주시 광탄면 혜음로 1300-45,경기도 파주시 광탄면 신산리 245-3,37.7968311359,126.8497222511,,2.0,"메기,붕어,잉어 등",100,고정형,20000,,"구명조끼,구급약품,소화기","관리실,매점,화장실 등",,031-940-8593,파주시 농축산과,2020-03-19,4060000,경기도 파주시
하마낚시터,평지,경기도 파주시 적성면 국사로 297,경기도 파주시 적성면 자장리 147-1,37.9611300439,126.8696614259,,4.8,"메기,붕어,잉어 등",100,고정형,20000,,"구명조끼,구급약품,소화기","관리실,매점,화장실 등",,031-940-8593,파주시 농축산과,2020-03-19,4060000,경기도 파주시
경천 낚시터,저수지,,충청남도 공주시 계룡면 양화리(경천저수지),36.3339378,127.1718409,041-855-0921,46.3,"붕어, 잉어",20,고정형,20000,,"구명부환, 소화기 등",화장실,,041-850-6400,한국농어촌공사,2019-09-25,4500000,충청남도 공주시
월곡 낚시터,저수지,,충청남도 공주시 의당면 월곡리 4-3(월곡저수지),36.53973952,127.162541,041-852-0191,5,"붕어, 잉어",20,고정형,20000,,"구명부환, 소화기 등",화장실,,041-850-6400,한국농어촌공사,2019-09-25,4500000,충청남도 공주시
아방리낚시터,저수지,경기도 광명시 범안로 740-12,경기도 광명시 노온사동 455번지,37.4427730,126.8566051,,34214,"붕어, 잉어",140,고정형,"25,000원",,"구명부환, 소화기, 구명줄, 구급약품 등","화장실, 쓰레기통",,,경기도 광명시청,2019-09-09,3900000,경기도 광명시
강남호,바다,충청남도 태안군 고남면 안면대로 4439,충청남도 태안군 고남면 안면대로 4439,36.408243,126.419369,,51,우럭,11,부유형,100000,,구명부환+소화기,화장실,,041-670-2415,충청남도 태안군,2019-05-31,4620000,충청남도 태안군
대원관광농원,저수지,부산광역시 기장군 기장읍,부산광역시 기장군 기장읍 내리 701-12,35.211047,129.2039062709,051-721-5862,1599,"잉어,붕어",50,없음,8000,,"구명조끼, 소화기 등",화장실+쓰레기통,기장 8경,051-709-4521,기장군청 해양수산과,2019-08-01,3400000,부산광역시 기장군
정관낚시터,저수지,부산광역시 기장군 정관읍,부산광역시 기장군 정관읍 달산리 936-7,35.3127890143,129.1761032970,051-727-8200,6300,"잉어,붕어",130,없음,10000,,"구명조끼, 소화기 등",화장실+쓰레기통,기장 8경,051-709-4521,기장군청 해양수산과,2019-08-01,3400000,부산광역시 기장군
용소사계절,저수지,부산광역시 기장군 장안읍,부산광역시 기장군 장안읍 용소리 170-7,35.34298548,129.245121,000-000-0000,276,붕어,50,없음,10000,,"구명조끼, 소화기 등",화장실+쓰레기통,기장 8경,051-709-4521,기장군청 해양수산과,2019-08-01,3400000,부산광역시 기장군
이오피쉬,저수지,부산광역시 기장군 기장읍,부산광역시 기장군 기장읍 대변리 418-2,35.22569676,129.2281358,000-000-0000,254,"우럭, 참돔 등",50,없음,60000,,"구명조끼, 소화기 등",화장실+쓰레기통,기장 8경,051-709-4521,기장군청 해양수산과,2019-08-01,3400000,부산광역시 기장군
자바라,기타,전라북도 전주시 완산구 평화로 69,전라북도 전주시 완산구 평화동2가 909-3,35.7830203,127.1331617,063-228-5557,55,잉어,43,고정형,1일 10000원,,구명부환+구급약,휴게실+흡연실,모악산,063-281-5079,전라북도 전주시청,2019-08-30,4640000,전라북도 전주시
에이스,기타,전라북도 전주시 완산구 홍산중앙로37,전라북도 전주시 완산구 효자동2가 1535-3,35.816912387,127.108737637,063-221-2556,89.6,잉어,51,고정형,1일 10000원,,구명부환+구급약,휴게실+흡연실,,063-281-5079,전라북도 전주시청,2019-08-30,4640000,전라북도 전주시
뻐끔,기타,전라북도 전주시 완산구 전라감영5길27,전라북도 전주시 완산구 중앙동3가 67-7,35.8179347,127.1458038,063-282-7170,50,붕어,34,고정형,1일 10000원,,구명부환+구급약,휴게실+흡연실,,063-281-5326,전라북도 전주시청,2019-08-30,4640000,전라북도 전주시
아쿠아바다,기타,전라북도 전주시 완산구 어은로15,전라북도 전주시 완산구 중화산동2가 656-7,35.816672,127.1246382,063-228-0506,36,잉어,24,고정형,1일 20000원,,구명부환+구급약,휴게실+흡연실,,063-281-5326,전라북도 전주시청,2019-08-30,4640000,전라북도 전주시
현천낚시터,저수지,강원도 횡성군 둔내면 경강로현천2길 25-25,강원도 횡성군 둔내면 현천리 821-2,37.483365,128.175495,033-344-1500,0.45,"붕어,잉어,향어",80,고정형,"30,000",,구명부환+소화기+구급약품+전기설비,화장실+쓰레기통,없음,033-340-2449,횡성군청,2019-06-10,4260000,강원도 횡성군
강태공낚시터,저수지,강원도 횡성군 공근면 창봉2길 55-3,강원도 횡성군 공근면 창봉리 617-1,37.5735908,127.936166,033-343-1794,0.24,"붕어,잉어,향어",80,고정형,"30,000",,구명부환+소화기+구급약품+전기설비,화장실+쓰레기통,없음,033-340-2449,횡성군청,2019-06-10,4260000,강원도 횡성군
대영낚시터,저수지,강원도 횡성군 공근면 금계로부창3길 11,강원도 횡성군 공근면 부창리 546-2,37.585641,127.994479,033-343-2528,0.23,"붕어,잉어,향어",80,고정형,"30,000",,구명부환+소화기+구급약품+전기설비,화장실+쓰레기통,없음,033-340-2449,횡성군청,2019-06-10,4260000,강원도 횡성군
새말낚시터,저수지,강원도 횡성군 우천면 수남로 80-10,강원도 횡성군 우천면 문암리 229,37.467563,128.0436703,033-342-3424,0.42,"붕어,잉어,향어",80,고정형,"25,000",,구명부환+소화기+구급약품+전기설비,화장실+쓰레기통,없음,033-340-2449,횡성군청,2019-06-10,4260000,강원도 횡성군
도깨비낚시터,저수지,강원도 횡성군 우천면 서동로 백달8길 5-13,강원도 횡성군 우천면 백달리 8,37.4434848601,128.071903612,033-344-5513,0.91,"붕어,잉어,향어",100,고정형,"30,000",,구명부환+소화기+구급약품+전기설비,화장실+쓰레기통,없음,033-340-2449,횡성군청,2019-06-10,4260000,강원도 횡성군
이천낚시터,평지,경상북도 상주시 외서면 이천2길83,경상북도 상주시 외서면 이천리 215-4,36.4776742104,128.139513935,054-531-0313,7412,잉어,60,없음,60000,,"소화기, 구명조끼,튜브등","식당, 화장실",,054-537-7463,상주시청,2019-05-27,5110000,경상북도 상주시
그린 낚시터,저수지,,충청남도 공주시 계룡면 중장리 101,36.37153325,127.1686461,041-857-5244,0.3,"붕어, 잉어",20,고정형,25000,,"구명부환, 소화기 등",화장실,,,개인,2019-09-25,4500000,충청남도 공주시
훼미리낚시터,저수지,,충청남도 공주시 공주시 상왕동 779-7,36.47066341,127.0771193,000-000-0000,0.3,"붕어, 잉어",20,고정형,25000,,"구명부환, 소화기 등",화장실,,,개인,2019-09-25,4500000,충청남도 공주시
우성낚시터,저수지,,충청남도 공주시 공주시 우성면 상서리114-2,36.47066341,127.0771193,041-853-8400,0.5,"붕어, 잉어",20,고정형,25000,,"구명부환, 소화기 등",화장실,,,개인,2019-09-25,4500000,충청남도 공주시
자연농원,저수지,,충청남도 공주시 공주시 정안면 광정리200-5,36.47066341,127.0771193,041-858-1438,2.2,"붕어, 잉어",20,고정형,25000,,"구명부환, 소화기 등",화장실,,,개인,2019-09-25,4500000,충청남도 공주시
큰목길낚시터,저수지,,충청남도 공주시 공주시 옥룡동 상왕통286,36.47066341,127.0771193,041-858-6900,0.3,"붕어, 잉어",20,고정형,25000,,"구명부환, 소화기 등",화장실,,,개인,2019-09-25,4500000,충청남도 공주시
명곡 낚시터,저수지,,충청남도 공주시 유구읍 명곡리 436-3(명곡저수지),36.59894926,126.9385268273,041-841-6929,21.4,"붕어, 잉어",20,고정형,20000,,"구명부환, 소화기 등",화장실,,041-840-8873,공주시,2019-09-25,4500000,충청남도 공주시
고성 낚시터,저수지,,충청남도 공주시 정안면 고성리(고성저수지),36.58824678,127.0916593,041-858-4600,23,"붕어, 잉어",20,고정형,20000,,"구명부환, 소화기 등",화장실,,041-850-6400,한국농어촌공사,2019-09-25,4500000,충청남도 공주시
중흥 낚시터,저수지,,충청남도 공주시 의당면 도신리 487(중흥저수지),36.57675859,127.1725335,000-000-0000,13.8,"붕어, 잉어",20,고정형,20000,,"구명부환, 소화기 등",화장실,,041-850-6400,한국농어촌공사,2019-09-25,4500000,충청남도 공주시
우목 낚시터,저수지,,충청남도 공주시 우성면 용봉리 700(우목저수지),36.4405707,127.0093959774,041-855-4818,25,"붕어, 잉어",20,고정형,20000,,"구명부환, 소화기 등",화장실,,041-850-6400,한국농어촌공사,2019-09-25,4500000,충청남도 공주시
행복 낚시터,저수지,,충청남도 공주시 의당면 두만리 28(요룡저수지),36.54898473,127.1448196435,041-854-9506,14.5,"붕어, 잉어",20,고정형,20000,,"구명부환, 소화기 등",화장실,,041-850-6400,한국농어촌공사,2019-09-25,4500000,충청남도 공주시
추곡터널낚시터,저수지,강원도 춘천시 북산면 춘양로 1452,강원도 춘천시 북산면 추곡리 658,38.0337618623,127.8763567730,033-243-1843,3900,"붕어,잉어",60,육상좌대식,"30,000",A지역,"소화기,구명동의,구명부환","화장실,휴게실","의암댐, 스카이워크",033-250-3417,춘천시청,2019-08-28,4180000,강원도 춘천시
강촌체험어장낚시터,저수지,강원도 춘천시 남면 박암관천길 511-57,강원도 춘천시 남면 박암리 224,37.7214814915,127.5387690530,033-264-3773,16192,"붕어,잉어",32,육상좌대식,"30,000",A지역,"소화기,구명동의,구명부환","화장실,휴게실","의암댐, 스카이워크",033-250-3417,춘천시청,2019-08-28,4180000,강원도 춘천시
거두리낚시터,저수지,강원도 춘천시 동내면 거두길 282-8,강원도 춘천시 동내면 거두리 314-2,37.8604434283,127.7888513667,033-262-6995,10000,"붕어,잉어",61,육상좌대식,"30,000",A지역,"소화기,구명동의,구명부환","화장실,휴게실","의암댐, 스카이워크",033-250-3417,춘천시청,2019-08-28,4180000,강원도 춘천시
놀러와실내낚시터,기타,"인천광역시 남동구 백범로 203, 지층 102호(만수동)",인천광역시 남동구 만수동 897-2,37.4594534382,126.7261954348,,63,붕어,25,고정형,"10,000",,구명부환+소화기+구급약품,화장실+쓰레기통,,032-453-6082,인천광역시 남동구,2019-07-10,3530000,인천광역시 남동구
남촌낚시터,기타,인천광역시 남동구 남촌로 67번길 60-3(남촌동),인천광역시 남동구 남촌동 582,37.4266898991,126.7128883831,,1771,붕어,40,고정형,"10,000",,구명부환+소화기+구급약품,화장실+쓰레기통,,032-453-6082,인천광역시 남동구,2019-07-10,3530000,인천광역시 남동구
소래바다낚시터,기타,인천광역시 남동구 소래로 154번길 25-40(논현동),인천광역시 남동구 논현동 33-14,37.40682335,126.7405419,,1857,랍스터,40,고정형,"10,000",,구명부환+소화기+구급약품,화장실+쓰레기통,,032-453-6082,인천광역시 남동구,2019-07-10,3530000,인천광역시 남동구
사항어촌계 낚시터,바다,경상남도 남해군 미조면 미조로 212,경상남도 남해군 미조면 미조리 168-46,34.70905674,128.0482496,055-867-6514,35000,감성돔+볼락+문어+도다리,50,부유형,"1인 10,000원",,구명부환+소화기+구명로프+구급약품,화장실|+쓰레기통,,,경상남도 남해군청,2019-06-24,5430000,경상남도 남해군
수목원레저,저수지,,경기도 포천시 소흘읍 직동리 73-1,37.76559387,127.1706238,031-543-6747,4832,붕어등,78,좌대,"30,000",,"구명부환, 구명조끼","화장실, 세면장",고모리저수지,031-538-3862,포천시,2019-09-09,5600000,경기도 포천시
쌍방죽,저수지,경기도 포천시 가산면 선마로163-27,경기도 포천시 가산면 마산리 560-3,37.8487997,127.1796602,031-541-8010,15000,붕어등,60,"좌대, 방갈로","30,000",,"구명부환, 구명조끼","화장실, 세면장",고모리저수지,031-538-3862,포천시,2019-09-09,5600000,경기도 포천시
용담대물,저수지,경기도 포천시 관인면 숯골길 237-1,경기도 포천시 관인면 사정리 380,38.1365670,127.2603846,031-544-4850,20000,붕어등,60,"좌대, 방갈로","30,000",,"구명부환, 구명조끼","화장실, 세면장",한탄강둘레길,031-538-3862,포천시,2019-09-09,5600000,경기도 포천시
우금,저수지,경기도 포천시 가산면 우금6길 43-44,경기도 포천시 가산면 우금리 601-4,37.8399956,127.2163947,,5662,붕어등,60,좌대,"30,000",,"구명부환, 구명조끼","화장실, 세면장",고모리저수지,031-538-3862,포천시,2019-09-09,5600000,경기도 포천시
송치낚시터,평지,전라북도 남원시 주천면 웅치길 20,전라북도 남원시 주천면 송치리 230,35.3770964,127.4330911,,1426,"붕어, 잉어, 향어",30,없음,"20,000",,소방시설,휴게소,육모정,063-620-6425,남원시청 축산과,2019-06-20,4700000,전라북도 남원시
혈리낚시터,평지,강원도 태백시 사내골길 117,강원도 태백시 혈동 77,37.129534,128.9251245,033-553-6777,2000,"붕어류,잉어류",50,고정형,20000,,구명부환+소화기,화장실,,033-550-2113,태백시청,2019-06-17,4220000,강원도 태백시
금천가든낚시터,평지,강원도 태백시 금천길 159,강원도 태백시 금천동 12-12,37.093828,128.9953122,033-581-2228,2500,"붕어류,잉어류",50,고정형,20000,,구명부환+소화기,화장실,,033-550-2113,태백시청,2019-06-17,4220000,강원도 태백시
백달낚시터,저수지,강원도 횡성군 우천면 서동로백달2길 20,강원도 횡성군 우천면 백달리 180,37.439543,128.064043,033-343-8448,1.04,"붕어,잉어,향어",80,고정형,"10,000",,구명부환+소화기+구급약품+전기설비,화장실+쓰레기통,없음,033-340-2449,횡성군청,2019-06-10,4260000,강원도 횡성군
한일낚시터,저수지,경기도 광주시 도척면 옛진말길 63-1,,37.3269838551,127.3295843991,,0.85,붕어+잉어,50,고정형,30000,,구명부환+소화기,화장실+쓰레기통,,,경기도 광주시청 농업정책과,2019-09-24,5540000,경기도 광주시
진우낚시터,저수지,경기도 광주시 도척면 저수지길 182,,37.3116952174,127.3508831822,,6.4,붕어+잉어,100,고정형,30000,,구명부환+소화기,화장실+쓰레기통,,,경기도 광주시청 농업정책과,2019-09-24,5540000,경기도 광주시
유정낚시터,저수지,경기도 광주시 도척로 897,경기도 광주시 도척면 유정리 382-1번지,37.28796687,127.322037,,14.4,붕어+잉어,100,고정형,30000,,구명부환+소화기,화장실+쓰레기통,,,경기도 광주시청 농업정책과,2019-09-24,5540000,경기도 광주시
양벌낚시터,저수지,경기도 광주시 양촌길 218,경기도 광주시 오포읍 양벌리 767-1번지,37.36961939,127.258023,,1.17,붕어+잉어,50,고정형,30000,,구명부환+소화기,화장실+쓰레기통,,,경기도 광주시청 농업정책과,2019-09-24,5540000,경기도 광주시
중앙호좌대,바다,충청남도 태안군 남면 한바위길 61,충청남도 태안군 남면 한바위길 61,36.6227964327,126.354434,,212,우럭,46,부유형,100000,,구명부환+소화기,화장실,,041-670-2415,충청남도 태안군,2019-05-31,4620000,충청남도 태안군
