견인차량보관소명,소재지도로명주소,소재지지번주소,위도,경도,보관소전화번호,보관소면적,보관가능대수,견인료기본요금,견인료추가요금,보관료,관리기관전화번호,관리기관명,데이터기준일자,제공기관코드,제공기관명
관악동작견인차량보관소,서울특별시 관악구 신사로 7,서울특별시 관악구 신림동 1677-4,37.4846354,126.9037601,02-855-8611,3032,82,"승용자동차 경형 40,000원+소형 45,000원+중형 50,000원+대형 60,000원+승합자동차 경형 40,000원+소형 60,000원+중형 80,000원+대형 140,000원+이륜자동차 40,000원+화물자동차·특수자동차 2.5톤 미만 40,000원+2.5톤 이상 6.5톤 미만 60,000원+6.5톤 이상 10톤 미만 80,000원+10톤 이상 140,000원",해당 없음,"기본 30분당 700원(승합자동차중 중형과 대형은 1,200원)+화물자동차·특수자동차 6.5톤 이상 30분당 1,200원(1회 보관료는 50만원 한도로 함)",02-832-2445,서울특별시 동작구시설관리공단,2019-05-30,3200000,서울특별시 관악구
동여수보관고,전라남도 여수시 좌수영로 56-1(서교동),전라남도 여수시 서교동 30,34.7454079618,127.728766,061-642-0108,660,27,"25,000","1,000",10분당 200원,061-659-4153,전라남도 여수시청,2019-04-01,4810000,전라남도 여수시
서여수보관소,전라남도 여수시 좌수영로 984(봉계동),전라남도 여수시 봉계동 751,34.7847673,127.6635551,061-692-0237,631,28,"25,000","1,000",10분당 200원,061-659-4153,전라남도 여수시청,2019-04-01,4810000,전라남도 여수시
강동구견인차량보관소,서울특별시 강동구 아리수로91길 54,서울특별시 강동구 665-4(강일동),37.566166,127.1721554,02-3425-6935,2650,73,"40,000~140,000원",,30분당 700원,02-424-0101,강동운수,2019-05-29,3240000,서울특별시 강동구
과천시견인차량보관소,경기도 과천시 광창로 13,경기도 과천시 과천동129-1,37.4484104,127.0068034,02-502-0845,1260,50,30000,"매㎞1,000원","1일5,000원",02-502-0845,㈜안양렉카,2019-05-29,3970000,경기도 과천시
군포시 견인차 사무소,경기도 군포시 산본로372번길 6,경기도 군포시 산본동 1096-1,37.363797,126.932112,031-390-0094,4495.5,60,20000,1000,"입고후 30분까지 500원, 초과시 10분당 200원",031-390-0094,군포시청,2019-05-24,4020000,경기도 군포시
처인 견인차량 보관소,경기도 용인시 처인구 중부대로 1217,경기도 용인시 처인구 역북동 365-2,37.2386287,127.180435,031-321-6584,1210,30,"2.5톤 미만: 30,000원2.5톤 이상 6.5톤 미만: 35,000원6.5톤 이상: 50,000원","2.5톤 미만: 1,000원2.5톤 이상 6.5톤 미만: 1,400원6.5톤 이상: 2,500원",최초 30분 900원최초 30분 초과 매 10분당 300원,031-338-6581,용인도시공사,2019-03-31,4050000,경기도 용인시
청주시 견인차량보관소,충청북도 청주시 청원구 오창읍 각리1길 26,충청북도 청주시 청원구 오창읍 각리 641-15,36.7068207235,127.4349783191,043-270-8537,5137,130,"2.5t 미만30,000원/2.5t 이상~6.5t 미만 35,000원/6.5t 이상 50,000원","2.5t 미만 1Km증가 1,000원/2.5t 이상~6.5t 미만 1Km증가 1,500원/6.5t 이상 Km증가 2,500원",청주시 주차장 조례에 의한 공영주차장 요금(2급지) 적용/보관일로 부터 30일까지 부과,043-270-7397,청주시시설관리공단,2020-07-22,5710000,충청북도 청주시
광역자동차해체재활용산업,대구광역시 서구 가르뱅이로10길 20,대구광역시 서구 이현동 587번지,35.8834860745,128.5343499,053-352-0050,1400,500,"30,000","1일 10,000",최고 30만원,053-661-3033,대구광역시 중구청,2020-07-10,3410000,대구광역시 중구
여주시 차량견인보관소,경기도 여주시 영릉로 180,경기도 여주시 하동 15-9,37.3006601,127.6206504,031-880-4042,2447,55,2.5톤미만 20000원+2.5톤이상 6.5톤미만 25000원+6.5톤이상 40000원,2.5톤미만 1000원+2.5톤이상 6.5톤미만 1400원+6.5톤이상 2300원,기본 30분 500원+10분당 200원,031-880-4042,경기도 여주시 여주도시관리공단,2020-07-15,5700000,경기도 여주시
은평구 견인차량보관소,서울특별시 은평구 서오릉로  47  지하,서울특별시 은평구 녹번동 153-1,37.6051491000,126.9230408000,02-350-5180,,17,"승용소형 기준 45,000원(차종별 상이)",,"30분당 700원(화물,특수자동차 1,200원)",02-350-5173,서울특별시 은평구시설관리공단,2019-08-20,3110000,서울특별시 은평구
원주시 견인차사무소,강원도 원주시 원일로 242,강원도 원주시 학성동 469-1,37.3575529,127.9430709,033-737-4774,2860,50,"20,000원~40,000원",,30분600원+30분초과시 10분당 300원(최초 1시간 면제 이후 요금 부과),033-737-3546,강원도 원주시청,2019-05-22,4190000,강원도 원주시
대일견인,부산광역시 남구 전포대로91번길 11(문현동),,35.144715,129.065756,051-805-5552,,40,40000,,"30분당 700원, 1일최대 15,000",,부산광역시 남구청,2018-08-01,3310000,부산광역시 남구
합성견인,부산광역시 남구 신선로 515-1(대연동),,35.111942,129.082844,051-920-9104,,40,40000,,"30분당 700원, 1일최대 15,000",,부산광역시 남구청,2018-08-01,3310000,부산광역시 남구
광양시피견인차량보관소,전라남도 광양시 행정1길 20,전라남도 광양시 중동 1358-1,34.9422690466,127.6944269956,061-797-2697,3200,15,25000원,1000원,기본 30분 500원,061-797-2176,전라남도 광양시청,2019-04-08,4840000,전라남도 광양시
진해구 견인차량보관소,경상남도 창원시 진해구 충장로 643,경상남도 창원시 진해구 풍호동 305-21,35.1320031344,128.7039844852,055-546-4499,,30,"2.5톤 미만 30,000원+2.5톤 이상 6.5톤미만 35,000원+6.5톤 이상 45,000원","2.5톤 미만 1,000원+2.5톤 이상 6.5톤미만 1,400원+6.5톤 이상 2,500원",최초30분까지 500원+10분 마다 200원,055-548-4441,경상남도 창원시청,2020-07-14,5670000,경상남도 창원시
의정부시 견인차량보관소,경기도 의정부시 신흥로 299,경기도 의정부시 의정부동 256-3,37.7430366,127.0425696082,031-828-4661,0,15,2.5톤미만 30000원+2.5톤이상 6.5톤미만 35000원+6.5톤이상 50000원,0,"10분당200원+하루14,000원+최고280,000원",031-828-4661,의정부시설관리공단,2019-10-03,3820000,경기도 의정부시
서울특별시성동구견인차량보관소,서울특별시 성동구 천호대로 78길 9,서울특별시 성동구 용답동 182-10,37.5630545,127.0561190,02-2204-7984,924,40,"경형승용차 40,000원+소형승용차 45,000원+중형승용차 50,000원+대형승용차 60,000원+경형승합자동차 40,000원+소형승합자동차 60,000원+중형 80,000원승합자동차+대형승합자동차 140,000원+2.5톤 미만 화물 또는 특수자동차+40,000원+2.5톤이상 6.5톤 미만 화물 또는 특수자동차 60,000원+6.5톤이상 10톤미만 화물 또는 특수자동차 80,000원+10톤이상 화물 또는 특수자동차 140,000원",,승용차 700원+경형승합자동차 700원+소형승합자동차 700원+6.5톤미만 화물 또는 특수자동차 700원+중대형 승합자동차 1200원+6.5톤이상 화물 또는 특수자동차 1200원,02-2204-7900,서울특별시성동구도시관리공단,2019-06-03,3030000,서울특별시 성동구
양평군 방치차량보관소,경기도 양평군 양평읍 미리내길264번길 20,경기도 양평군 양평읍 창대리 12,37.47606461,127.522096,031-770-3764,998,15,"2.5톤미만 20,000원2.5톤이상 6.5톤 미만 25,000원6.5톤 이상 40,000원","2.5톤미만 1,000원2.5톤이상 6.5톤 미만 1,400원6.5톤 이상 2,500원","기본30분 600원+10분당 200원2시간초과시 10분당 300원원1일 7,000원",031-770-3764,양평군,2020-02-29,4170000,경기도 양평군
시흥견인차량보관소(대야),,경기도 시흥시 대야동 420-93 대야사거리,37.45095577,126.7916399,031-488-6917,562,15,2.5톤미만:30000원+2.5톤이상~6.5톤미만 35000원+6.5톤이상 50000원,2.5톤미만 1000원+2.5톤이상~6.5톤미만 1400원+6.5톤이상 50000원,최초 30분까지 800원+10분이내마다 300원 추가 (24시간기준 1일보관료) 13000원,031-310-5133,경기도 시흥시청,2019-09-16,4010000,경기도 시흥시
시흥방치차량보관소,,경기도 시흥시 정왕동 2155,37.33840139,126.7547245,031-488-6828,5547,75,2.5톤미만:30000원+2.5톤이상~6.5톤미만 35000원+6.5톤이상 50000원,2.5톤미만 1000원+2.5톤이상~6.5톤미만 1400원+6.5톤이상 50000원,최초 30분까지 800원+10분이내마다 300원 추가 (24시간기준 1일보관료) 13000원,031-310-5133,경기도 시흥시청,2019-09-16,4010000,경기도 시흥시
서울특별시성동구견인차량보관소,서울특별시 성동구 천호대로 78길 9,서울특별시 성동구 용답동 182-10,37.5630545,127.0561190,02-2204-7984,924,40,"경형승용차 40,000원+소형승용차 45,000원+중형승용차 50,000원+대형승용차 60,000원+경형승합자동차 40,000원+소형승합자동차 60,000원+중형 80,000원승합자동차+대형승합자동차 140,000원+2.5톤 미만 화물 또는 특수자동차+40,000원+2.5톤이상 6.5톤 미만 화물 또는 특수자동차 60,000원+6.5톤이상 10톤미만 화물 또는 특수자동차 80,000원+10톤이상 화물 또는 특수자동차 140,000원",,승용차 700원+경형승합자동차 700원+소형승합자동차 700원+6.5톤미만 화물 또는 특수자동차 700원+중대형 승합자동차 1200원+6.5톤이상 화물 또는 특수자동차 1200원,02-2204-7900,서울특별시성동구도시관리공단,2019-06-03,3030000,서울특별시 성동구
금천구 견인차량보관소,서울특별시 금천구 가산디지털2로 169-34,서울특별시 금천구 가산동 614-34,37.48326320,126.87604670,02-854-5273,2514,31,2.5톤미만 40000원+2.5톤이상 6.5톤 미만 46000원+6.5톤이상 10톤미만66000원+10톤 이상 115000원,없음,기본 30분 6.5톤 미만 700원+기본30분 6.5톤 이상 1200원(보관료 한도 1회 500000원),02-854-5274,금천구시설관리공단,2019-08-31,3170000,서울특별시 금천구
시흥견인차량보관소(정왕),,경기도 시흥시 정왕동 1456 정왕제2공영주차장 2층,37.34123244,126.7497574,031-488-6818,3082,120,2.5톤미만:30000원+2.5톤이상~6.5톤미만 35000원+6.5톤이상 50000원,2.5톤미만 1000원+2.5톤이상~6.5톤미만 1400원+6.5톤이상 50000원,최초 30분까지 800원+10분이내마다 300원 추가 (24시간기준 1일보관료) 13000원,031-310-5133,경기도 시흥시청,2019-09-16,4010000,경기도 시흥시
안양시견인차량보관소,경기도 안양시 만안구 오리로 19(박달동),경기도 안양시 만안구 박달동 785,37.4063385725,126.8850529,031-383-9800,1766,40,"(편도5km까지)2.5톤 미만 30,000원 2.5톤 이상 6.5톤미만 40,000원 6.5톤 이상 60,000원","(매1km증가시) 2.5톤 미만 1,000원 2.5톤 이상 6.5톤미만 1,400원 6.5톤 이상 2,500원",30분 700원 초과시 10분단위 300원씩 추가징수 (50만원을 초과할 수 없음),031-383-9800,안양도시공사,2019-09-16,3830000,경기도 안양시
춘천시 견인차량보관소,"강원도 춘천시 소양로 7, (근화동)",강원도 춘천시 근화동 737번지,37.8905040494,127.7246234698,033-256-3615,950,50,2.5톤 미만 20000원+2.5톤 이상 6.5톤 미만 25000원+6.5톤 이상 40000원,,최초 1시간 면제+기본 30분 600원+10분당 300원,033-250-4262,춘천시,2019-08-31,4180000,강원도 춘천시
제일견인(제3지구 견인관리소),부산광역시 동래구 중앙대로 1520,부산광역시 동래구 온천동 1750-1,35.2202859654,129.0863784248,051-517-0507,890,33,"2.5톤 미만 40,000원 2.5톤 이상 45,000원",30분당 700원,"1일 15,000원",051-550-4562,동래구청,2019-09-18,3300000,부산광역시 동래구
전주시견인차보관소,전라북도 전주시 덕진구 추천로 427,전라북도 전주시 덕진구 팔복동4가 960-16,35.868187,127.1043125,063-239-2639,6000,319,"20,000원","2,000원",30분당 250원,063-281-2378,전라북도 전주시,2019-08-30,4640000,전라북도 전주시
광명시견인차량관리사무소,경기도 광명시 도덕로 5,경기도 광명시 광명동 748-7,37.4680573,126.8484573,02-2680-6295,1998.9,75,"2.5톤미만 20,000원+2.5톤이상 6.5톤미만 25,000원+6.5톤이상 40,000원","2.5톤미만 1,000원+2.5톤이상 6.5톤미만 1,400원+6.5톤이상 2,500원","기본 30분당 500원(단,1회 보관료는 30만원을 한도로 한다)",02-2680-2651,경기도 광명시청,2019-09-09,3900000,경기도 광명시
거제시 견인보관소,,경상남도 거제시 고현동 1019,34.896691,128.625897,055-639-4579,150,12,2~4만원,,"30분당 500~1,000원",055-639-4543,경상남도 거제시청,2019-08-19,5370000,경상남도 거제시
견인차량보관소,인천광역시 미추홀구 소성로 22,인천광역시 미추홀구 용현동 286-11,37.4473339,126.6521123,032-225-0261,825,42,견인료 30000원,,30분당 1000원 단 1회 보관료는 344000원 한도,032-891-6091,인천광역시 미추홀구 시설관리공단,2019-09-17,B553949,인천광역시미추홀구시설관리공단
강북구견인차량보관소,서울특별시 강북구 삼양로 678,서울특별시 강북구 우이동 99-2,37.66336998,127.0126665,02-944-3027,1707,65,"승용자동차(경형:40,000원,소형:45,000원,중형:50,000원,대형:60,000원),승합자동차(경형:40,000원,소형:60,000원,중형:80,000원,대형:140,000원),이륜자동차:40,000원,화물자동차 및 특수자동차(2.5톤미만:40,000원,2.5톤이상6.5톤미만:60,000원,6.5톤이상10톤미만:80,000원,10톤이상:140,000원)",,"30분당 700원(승합자동차중 중형과 대형, 화물 및 특수자동차중 6.5톤이상은 30분당 1,200원). 단, 1회 보관료는 50만원을 한도로 한다.",02-944-3024,서울특별시 강북구도시관리공단,2020-03-24,B551282,강북구도시관리공단
화성시 방치자동차 동부견인보관소,경기도 화성시 용주로 135-3,경기도 화성시 송산동 198-15번지,37.2096297542,127.0059076197,031-369-2668,2100,100,견인용역업체에 지급한 비용,없음,"6,000원(1일)",031-369-2668,화성시 교통지도과,2020-05-28,5530000,경기도 화성시
㈜우리운송,부산광역시 동구 성남로 35-1,부산광역시 동구 좌천동 1119,35.1297470424,129.0544178959,051-645-4626,648,41,"40,000원(2.5톤미만)","1,000","30분당 700원, 1일 15,000원, 1개월까지 부과 징수",051-440-4562,부산 동구,2019-09-25,3270000,부산광역시 동구
함평자동차해체재활용산업,전라남도 함평군 해보면 해삼로 412,전라남도 함평군 해보면 금덕리 2-19,35.1855652111,126.6054713199,061-323-9554,,30,"51,600원/10km까지","16,800원/매 10km","19,500원/일",061-320-1753,함평군청,2019-09-24,4960000,전라남도 함평군
부산광역시 기장군 견인보관소,부산광역시 기장군 기장읍 기장대로 543-10,부산광역시 기장군 기장읍 청강리 24-3,35.243574,129.2197835585,051-724-2882,843,20,"2.5톤 미만 : 40,000원+2.5톤 이상~6.5톤 미만 : 45,000원+6.5톤 이상 : 50,000원","2.5톤 미만 : 1,000원+2.5톤 이상~6.5톤 미만 : 1,400원+6.5톤 이상 : 2,500원","30분당 700원(보관일로부터 1개월까지 부과징수, 1일 15,000월을 상한으로 한다)",051-724-2882,부산광역시 기장군청,2019-09-01,3400000,부산광역시 기장군
기흥 견인차량 보관소,,경기도 용인시 기흥구 고매동 344-2,37.229939,127.1177176,031-285-6581,740,15,"2.5톤 미만: 30,000원2.5톤 이상 6.5톤 미만: 35,000원6.5톤 이상: 50,000원","2.5톤 미만: 1,000원2.5톤 이상 6.5톤 미만: 1,400원6.5톤 이상: 2,500원",최초 30분 900원최초 30분 초과 매 10분당 300원,031-338-6581,용인도시공사,2019-03-31,4050000,경기도 용인시
수지 견인차량 보관소,,경기도 용인시 수지구 풍덕천동 606-3,37.323173,127.1025719,031-263-6881,407,10,"2.5톤 미만: 30,000원2.5톤 이상 6.5톤 미만: 35,000원6.5톤 이상: 50,000원","2.5톤 미만: 1,000원2.5톤 이상 6.5톤 미만: 1,400원6.5톤 이상: 2,500원",최초 30분 900원최초 30분 초과 매 10분당 300원,031-338-6581,용인도시공사,2019-03-31,4050000,경기도 용인시
마포구 견인차량보관소,서울특별시 마포구 마포구 성암로 197,서울특별시 마포구 마포구 상암동 1267-1,99.999999,999.999999,02-373-5401,1633,75,"40,000원",없음,30분당 700원,02-373-5405,마포구시설관리공단,2017-04-25,3130000,서울특별시 마포구
성북구견인차량보관소,서울특별시 성북구 화랑로207 한신저축은행 옆,서울특별시 성북구 장위동 65-171 한신저축은행 옆,37.6089213,127.0505934,02-6925-2004,1083,29,"2.5톤 미만 40,000원 / 6.5톤미만 46,000원 / 10톤미만 66,000원 / 10톤이상 115,000원","1회보관료 최고한도 500,000원",30분당 700원,02-962-2082,성북구도시관리공단(주차사업팀),2017-05-18,B551281,성북구도시관리공단
대덕구견인차량보관소,대전광역시 대덕구 송촌남로 10(송촌동),대전광역시 대덕구 송촌동 295-12,36.3526239627,127.4417114952,042-625-2991,991.73,40,30000,키로당 1000원,30분당500원,042-608-6463,대전광역시 대덕구청,2019-03-31,3680000,대전광역시 대덕구
태안폐차장㈜,충청남도 태안군 태안읍 서해로 2006,충청남도 태안군 태안읍 평천리 600-44,36.7548322,126.3273120,041-675-5501,3626,10,폐차시 무료,폐차시 무료,폐차시 무료,041-670-2806,태안군 건설교통과,2019-05-31,4620000,충청남도 태안군
서울특별시성동구견인차량보관소,서울특별시 성동구 천호대로 78길 9,서울특별시 성동구 용답동 182-10,37.5630545,127.0561190,02-2204-7984,924,40,"경형승용차 40,000원+소형승용차 45,000원+중형승용차 50,000원+대형승용차 60,000원+경형승합자동차 40,000원+소형승합자동차 60,000원+중형 80,000원승합자동차+대형승합자동차 140,000원+2.5톤 미만 화물 또는 특수자동차+40,000원+2.5톤이상 6.5톤 미만 화물 또는 특수자동차 60,000원+6.5톤이상 10톤미만 화물 또는 특수자동차 80,000원+10톤이상 화물 또는 특수자동차 140,000원",,승용차 700원+경형승합자동차 700원+소형승합자동차 700원+6.5톤미만 화물 또는 특수자동차 700원+중대형 승합자동차 1200원+6.5톤이상 화물 또는 특수자동차 1200원,02-2204-7900,서울특별시성동구도시관리공단,2019-06-03,3030000,서울특별시 성동구
서울특별시성동구견인차량보관소,서울특별시 성동구 천호대로 78길 9,서울특별시 성동구 용답동 182-10,37.5630545,127.0561190,02-2204-7984,924,40,"경형승용차 40,000원+소형승용차 45,000원+중형승용차 50,000원+대형승용차 60,000원+경형승합자동차 40,000원+소형승합자동차 60,000원+중형 80,000원승합자동차+대형승합자동차 140,000원+2.5톤 미만 화물 또는 특수자동차+40,000원+2.5톤이상 6.5톤 미만 화물 또는 특수자동차 60,000원+6.5톤이상 10톤미만 화물 또는 특수자동차 80,000원+10톤이상 화물 또는 특수자동차 140,000원",,승용차 700원+경형승합자동차 700원+소형승합자동차 700원+6.5톤미만 화물 또는 특수자동차 700원+중대형 승합자동차 1200원+6.5톤이상 화물 또는 특수자동차 1200원,02-2204-7900,서울특별시성동구도시관리공단,2019-06-03,3030000,서울특별시 성동구
"동구, 영도구,중구 견인보관소 ㈜우리운송",부산광역시 동구 성남로 35-1(좌천동),부산광역시 동구 좌천동 1119,35.12975004,129.054417,051-645-4627,648.83,40,40000,매 km 증가시 1000원,30분당 700원,051-419-4556,부산 영도구청,2020-07-29,3280000,부산광역시 영도구
유성구견인차량보관소,,대전광역시 유성구 궁동 490-14,36.36035016,127.3460883,042-823-1160,665.8,40,30000,1000,500,042-611-2565,대전광역시 유성구청 교통과,2020-07-14,3670000,대전광역시 유성구
