시도명,시군구명,시티투어코스명,시티투어문의처,시티투어운영시간,시티투어운행방식,시티투어탑승장소명,시티투어코스정보,경유지주변관광정보,시티투어코스부가정보,운행정보,운행시작시각,운행종료시각,배차시간,이용요금,이용요금부가정보,홈페이지주소,관리기관명,관리기관전화번호,데이터기준일자,제공기관코드,제공기관명
경기도,부천시,판타지아 정규코스,부천문화원 032-656-4306,4월 ~ 11월 매주 토요일 10시 ~ 16시20분,고정형,부천시청 시티투어 정류장,"(판코스)안중근공원-아트벙커B39-한국만화박물관-한옥마을, (타코스)자전거문화센터-역곡상상시장-부천자연생태공원-친완경도시원예체험장(지코스)옹기박물관-부천제일시장-고강동선사유적지 또는 로보파크 (아코스)펄벅기념관-부천자유시장-활박물관-천문과학관","웅진플레이도시, 아인스월드 등",판타지아(4개)코스 운행,4월 ~ 11월 매주 토요일 10시 ~ 16시20분,10:00,16:20,0,"10,000",전 연력 동일,http://www.bucheonculture.or.kr,부천문화원,032-656-4306,2020-06-01,3860000,경기도 부천시
경기도,남양주시,주말N남양주,(유)승산고속관광 031-555-2961~3,10:00~18:00,고정형,다산동/도농역/평내호평역/금곡동/진접읍/별내역 버스정류장,삼패한강시민공원-능내역/팔당호-마재성지/생태공원/정약용유적지-물의정원/피아노폭포/북한강야외공연장,,,2020.4.~2020.11.(코로나19 예방상황에 따라 유동적),10:00,18:00,0,"1인 2,000원(만36개월 미만 무료)",,http://www.nyj.go.kr/culture/274,경기도 남양주시청,031-590-2063,2020-06-30,3990000,경기도 남양주시
경기도,남양주시,유아초등코스A,(유)승산고속관광 031-555-2961~3,10:00~15:30,고정형,희망장소 픽업 서비스,어린이비전센터-라바파크,,,2020.4.~2020.11.(코로나19 예방상황에 따라 유동적),10:00,15:30,0,"어린이비전센터 7,500원(만12세 이하) + 라바파크[8,000원(만6세 이하) / 4,800원(만7세 이상)] + 참가비 2,000원",,http://www.nyj.go.kr/culture/274,경기도 남양주시청,031-590-2063,2020-06-30,3990000,경기도 남양주시
전라남도,나주시,역사문화코스,나라고속관광062-672-9090,역사관광코스:연중무휴,고정형,나주역,불회사-황포돛배-국립나주박물관,빛가람전망대+반남고분군,,매일 수시운행+토요일 정기운행,09:30,17:50,0,"성인4000+국가유공자,장애인,아동(초등미만)2000",나주시티투어 이용객황포돛배 탑승시 할인 50,http//www.narabus.co.kr,전라남도 나주시청,061-339-8723,2019-07-01,4830000,전라남도 나주시
전라북도,진안군,마이산 시티투어(전주권),063-430-2502,당일,고정형,전주시 팔달로 신한은행 앞,전주-진안마이산-전주한옥마을,,,연중,08:40,19:00,24,성인 : 9000원+아동 : 8000원,,nbtour.co.kr,(주)남북관광,063-285-8800,2020-06-02,4730000,전라북도 진안군
충청남도,아산시,봄코스(4~6),온양온천관광안내소 041-540-2517,10:20~16:30,고정형,온양온천역,"(화) 온양민속박물관-현충사-홍대용과학관+(수,금) 공세리성당-피나클랜드-영인산자연휴양림+(목,토) 아산외암마을-봉곡사-맹씨행단+(일) 아산레일바이크-신정호수공원-현충사",,,매주 화~일(월요일 휴무),10:20,16:30,0,"(성인)4000원+(청소년,경로,국가유공자,장애인)2000원",,citytour.asan.go.kr,충청남도 아산시청,041-540-2517,2019-09-23,4520000,충청남도 아산시
충청북도,청주시,충북의 생생한 역사가 있는 청주_정기투어,043-231-5563,매주 일요일(1일1회),고정형,청주가경시외버스터미널+KTX오송역,"KTX오송역(가경터미널) - 문암생태공원 - 고인쇄박물관-청주중앙공원(또는 문화예술공연, 체험, 산업관광으로 대체 가능) - 청남대-KTX오송역(가경터미널)",,,정기투어(매주 토_일)+수시투어(매주 화_금요일),10:00,19:00,540,"5,000원","청남대 입장료 3,000원 포함+식비_체험료_기타보험 등 본인부담",http://www.cheongju.go.kr/tour/selectClturCntntsList.do?key=796&clturCode=11,청주시 관광과,043-201-2093,2020-07-17,5710000,충청북도 청주시
경상남도,창녕군,창녕체험버스투어,055-530-1531,"토·일 중 1회 운행, 7시간, 10:00~17:00",고정형,창녕군청,"군청(출발) > 문화재(석빙고, 박물관, 고분군) > 중식(창녕시장 근처)  > 산토끼 노래동산  > 우포늪  > 부곡온천(온천욕, 공방견학) > 군청(도착) ※ 우포늪, 부곡온천 중 택 1",,,"군청(출발) > 문화재(석빙고, 박물관, 고분군) > 중식(창녕시장 근처)  > 산토끼 노래동산  > 우포늪  > 부곡온천(온천욕, 공방견학) > 군청(도착) ※ 우포늪, 부곡온천 중 택 1",10:00,17:00,0,"15,000원",,www.cng.go.kr/tour/request/00001375.web,창녕군청 생태관광과,055-530-1535,2020-07-20,5410000,경상남도 창녕군
충청북도,단양군,단양군시티투어,단양군관광협의회,주말운영,순환형,관광안내소,"A코스, B코스, C코스",만천하스카이워크단양강 잔도도담삼봉구경시장 등,C코스 = A코스 +B코스1박2일 참가자,주말,09:30,05:00,1,"A코스: 18,000원B코스: 20,000원C코스: 38,000원",,www.danyangtour.net,(사)단양군관광협의회,043-423-1693,2020-07-17,4480000,충청북도 단양군
강원도,정선군,아리랑열차 연계형 시티투어,1644-9053,"매일(월,화 제외, 단 5일장날 운영) 11:00~18:30",순환형,"강원랜드, 민둥산역, 정선역","강원랜드 > 민둥산역 >  정선역 > 정선읍 관광지(정선5일장, 아리힐스, 아라리촌, 덕우리체험마을)> 화암면 관광지(화암동굴, 화암약수, 소금강) > 정선역 > 민둥산역 > 강원랜드","삼탄아트마인, 민둥산, 정선양떼목장,정선아기동물농장","장날(2.7,12,17,22,27일), 관광가이드 탑승 해설","강원랜드 > 민둥산역 >  정선역 > 정선읍 관광지(5일장, 아리힐스, 아라리촌, 덕우리체험마을)> 화암면 관광지(화암동굴, 화암약수, 소금강) > 정선역 > 민둥산역 > 강원랜드",11:10,18:00,0,성인 1만원중고등 8천원초등 5천원 미취학 3천원 유아 무료,이름 ''''정선'''' 무료코레일 ''''내일로 티켓'''' 50 할인,www.정선시티투어.com,정선군 문화관광과,033-560-2369,2020-07-15,4290000,강원도 정선군
강원도,정선군,KTX 연계형 시티투어,1644-9053,"금,토,일, 5일장, 11:00~18:30",순환형,"진부역, 파크로쉬리조트, 파인포레스트","진부역 > 파크로쉬리조트, 파인포레스트 >  정선읍 관광지(병방치 스카이워크, 정선5일장)> 여량면 관광지(레일바이크, 아우라지, 정선아리랑전수관, 수리취떡 만들기체험) > 백석폭포 > 파크로쉬리조트, 파인포레스트 > 진부역","로미지안가든, 주례마을, 벅스랜드, 정선양떼목장","장날(2.7,12,17,22,27일), 관광가이드 탑승 해설","진부역 > 파크로쉬리조트, 파인포레스트 >  정선읍 관광지(병방치 스카이워크, 정선5일장)> 여량면 관광지(레일바이크, 아우라지, 정선아리랑전수관, 수리취떡 만들기체험) > 백석폭포 > 파크로쉬리조트, 파인포레스트 > 진부역",11:00,19:00,0,성인 1만원중고등 8천원초등 5천원 미취학 3천원 유아 무료,이름 ''''정선'''' 무료코레일 ''''내일로 티켓'''' 50 할인,www.정선시티투어.com,정선군 문화관광과,033-560-2369,2020-07-15,4290000,강원도 정선군
전라남도,영암군,3개군 1박2일 시티투어,로망스투어,1박2일,순환형,서울시청 3번출구,서울-가야금기념관-왕인박사유적지-도기박물관-구림마을-강진,"강진, 장흥",3개코스(매주 순환 운영),3개군 매주 토~일 순환운영,06:30,15:30,540,"49,000","제공 이외 식사, 개인비용",www.romancetour.co.kr,강진군,061-470-2264,2020-07-13,4940000,전라남도 영암군
경기도,수원시,수원 화성 코스,031-256-8300,매주 화 ~ 일요일 1일 2회 (약 3시간),고정형,수원역 4번 출구 앞 수원역 관광정보센터,수원화성 둘러보기 코스,"수원화성, 남문시장 등",매주 월요일 정기휴일 3인 미만 시 운행 불가,월요일 정기휴일,09:50,16:50,0,"11,000",청소년 군인 경로 장애인 등 구분 할인,http://www.suwoncitytour.co.kr,수원시 관광과,031-228-2903,2020-04-30,3740000,경기도 수원시
경기도,수원시,수원 광교 코스,031-256-8300,3월~10월 토요일 1회 (7시간),고정형,수원역 4번 출구 앞 수원역 관광정보센터,광교호수공원 산책 코스,광교호수공원,매주 월요일 정기휴일 3인 미만 시 운행 불가,월요일 정기휴일,09:50,17:00,0,"12,000",청소년 군인 경로 장애인 등 구분 할인,http://www.suwoncitytour.co.kr,수원시 관광과,031-228-2903,2020-04-30,3740000,경기도 수원시
경기도,수원시,수원 융건릉 코스,031-256-8300,매주 일요일 1회 (7시간 30분),고정형,수원역 4번 출구 앞 수원역 관광정보센터,정조대왕 능행차길 코스,"화성 융, 건릉, 용주사",매주 월요일 정기휴일 3인 미만 시 운행 불가,월요일 정기휴일,09:50,17:00,0,"14,900",청소년 군인 경로 장애인 등 구분 할인,http://www.suwoncitytour.co.kr,수원시 관광과,031-228-2903,2020-04-30,3740000,경기도 수원시
경상북도,경주시,동해안투어,"경주시티투어, 054-743-6001",매일운행,고정형,신경주역,동해를 중심으로 주변 유적지 투어,골굴사+감은사지+문무대왕릉+양남주상절리(파도소리길) 등,입장료중식비별도,매일운행,09:00,18:00,0,"대인20,000원+소인18,000원",단체는 10명이상(성인기준)+단체시티투어 10퍼센트할인+소인은 6세~9세까지,http://www.cmtour.co.kr/tour/,경상북도 경주시청,054-779-6982,2020-07-15,5050000,경상북도 경주시
경상북도,경주시,세계문화유산투어,"경주시티투어, 054-743-6001",매일운행,고정형,불국사(관광안내소),세계문화유산 투어,태종무열왕릉+대릉원+분황사+석굴암+불국사,입장료중식비별도,매일운행,09:30,18:00,0,"대인20,000원+소인18,000원",단체는 10명이상(성인기준)+단체시티투어 10퍼센트할인+소인은 6세~9세까지,http://www.cmtour.co.kr/tour/,경상북도 경주시청,054-779-6982,2020-07-15,5050000,경상북도 경주시
경상북도,경주시,신라역사투어,"경주시티투어, 054-743-6001",매일운행,고정형,천군휴게소,천년 도시 경주의 문화와 역사 중심 투어,김유신장군묘+국립경주박물관+황룡사지(역사문화관)+불국사,입장료중식비별도,매일운행,08:55,17:30,0,"대인20,000원+소인18,000원",단체는 10명이상(성인기준)+단체시티투어 10퍼센트할인+소인은 6세~9세까지,http://www.cmtour.co.kr/tour/,경상북도 경주시청,054-779-6982,2020-07-15,5050000,경상북도 경주시
경상북도,경주시,양동마을남산투어,"경주시티투어, 054-743-6001",매일운행,고정형,불국사(관광안내소),전통 한옥마을과 전통시장을 둘러보는 투어,양동마을+전통시장+포석정+삼불사+석조여래좌상+경애왕릉,입장료중식비별도,매일운행,09:30,17:30,0,"대인20,000원+소인18,000원",단체는 10명이상(성인기준)+단체시티투어 10퍼센트할인+소인은 6세~9세까지,http://www.cmtour.co.kr/tour/,경상북도 경주시청,054-779-6982,2020-07-15,5050000,경상북도 경주시
경상북도,경주시,경주야경투어,"경주시티투어, 054-743-6001",매일운행,고정형,버스터미널,경주의 밤을 멋을 누리는 투어,동궁과월지+첨성대+계림+교촌마을+월정교,입장료중식비별도,매일운행,18:30,22:00,0,"대인17,000원+소인15,000원",단체는 10명이상(성인기준)+단체시티투어 10퍼센트할인+소인은 6세~9세까지,http://www.cmtour.co.kr/tour/,경상북도 경주시청,054-779-6982,2020-07-15,5050000,경상북도 경주시
경상북도,청도군,새마을코스,코다투어 053-428-6677,연중무휴,고정형,청라언덕역 2번출구,청도역-레일바이크 또는 새마을운동발상지(선택)-청도시장(자유식)-직거래장터-청도읍성-와인터널-청도역,,,토요일+일요일,08:40,17:00,0,성인4천원+중고등학생3천원+초등학생2천원,,,경상북도 청도군청,054-370-6374,2020-06-30,5190000,경상북도 청도군
경상북도,청도군,운문코스,코다투어 053-428-6677,연중무휴,고정형,청라언덕역 2번출구,청도역-운문사-운문사먹거리타운(자유식)-신화랑풍류마을-직거래장터-내시고택 또는 신지생태공원-청도역,,,토요일+일요일,08:40,17:00,0,성인4천원+중고등학생3천원+초등학생2천원,,,경상북도 청도군청,054-370-6374,2020-06-30,5190000,경상북도 청도군
충청남도,홍성군,홍성힐링투어,홍성군 관광안내소041-633-1141+홍성군청 문화관광과041-630-1254,연중무휴,고정형,홍성역,홍성역-홍주성역사관 및 홍주읍성-속동전망대-남당항-죽도-그림 같은 수목원-광천 전통시장,,,연중 사전예약(10인 이상),10:30,17:00,1440,해당없음,사전예약(10인 이상) 필수,http://tour.hongseong.go.kr/tour.do,충청남도 홍성군청,041-630-1254,2020-06-30,4600000,충청남도 홍성군
경기도,여주시,여주관광순환버스 가노선,신일관광 031-882-2345+세종투어 031-885-1111,연중매주화~일요일,순환형,여주역 승강장,여주역-세종대왕릉-여주5일장-신륵사-목아박물관-강천보-금은모래유원지-황학산수목원-명성황후생가-여주아울렛-여주역,세종대왕릉+여주5일장+신륵사+목아박물관+강천보+금은모래유원지+황학산수목원+명성황후생가+여주아울렛,"당일 왕복티켓 한 장으로 자유롭게 이용+세종대왕릉, 5일장, 신륵사에서 환승 가능+총90분 소요",월요일 휴무,09:30,16:00,60,"성인 5000원+장애인,군인,경로(65세이상),청소년,어린이 3000원+만3세이하유아 무료",중간탑승 1000원 할인,http://www.yeoju.go.kr/main/culture,여주시,031-887-3573,2020-07-15,5700000,경기도 여주시
경기도,여주시,여주관광순환버스 나노선,신일관광 031-882-2345+세종투어 031-885-1111,연중매주화~일요일,순환형,여주역 승강장,여주역-여주5일장-신륵사-세종대왕릉-이포보-막국수촌-신륵사-여주역,여주5일장+신륵사+세종대왕릉+이포보+막국수촌+신륵사,"당일 왕복티켓 한 장으로 자유롭게 이용+세종대왕릉, 5일장, 신륵사에서 환승 가능+총80분 소요",월요일 휴무,10:00,15:30,60,"성인 5000원+장애인,군인,경로(65세이상),청소년,어린이 3000원+만3세이하유아 무료",중간탑승 1000원 할인,http://www.yeoju.go.kr/main/culture,여주시,031-887-3573,2020-07-15,5700000,경기도 여주시
충청남도,부여군,연꽃향 이색투어,부여군충남관광안내소 041-830-2880,금요일,고정형,세종시 싱싱장터 도담점+부소산관광주차장,궁남지-국립부여박물관-부소산성(황포돛배)-정림사지 5층석탑,정관장 인삼박물관+홍산관아 및 객사,서동연꽃축제 및 백제문화제에 따라 코스변경 가능+궁남지 연꽃 개화시기에 맞춰 코스변경 가능,세종시 출발 5명이상인 경우 세종 싱싱장터 도담점에서 출발,09:00,17:00,0,노인7000원+청소년7000원+어린이5000원+아동1000원,출발 5일전 이내로 신청할 경우 3000원 비용추가,http://tour.buyeo.go.kr,충청남도 부여군청,041-830-2219,2020-06-30,4570000,충청남도 부여군
충청남도,부여군,백제향 생생투어,부여군충남관광안내소 041-830-2880,토요일,고정형,세종시 싱싱장터 도담점+부소산관광주차장,부소산성(황포돛배)-정림사지-국악단공연-궁남지-능산리와 나성,정관장 인삼박물관+홍산관아 및 객사,서동연꽃축제 및 백제문화제에 따라 코스변경 가능+궁남지 연꽃 개화시기에 맞춰 코스변경 가능,세종시 출발 5명이상인 경우 세종 싱싱장터 도담점에서 출발,09:00,17:00,0,노인7000원+청소년7000원+어린이5000원+아동1000원,출발 5일전 이내로 신청할 경우 3000원 비용추가,http://tour.buyeo.go.kr,충청남도 부여군청,041-830-2219,2020-06-30,4570000,충청남도 부여군
충청남도,부여군,문화향 싱싱투어,부여군충남관광안내소 041-830-2880,일요일,고정형,세종시 싱싱장터 도담점+부소산관광주차장,백제문화단지-무량사-반교리 돌담마을(휴휴당)-궁남지-관광주차장,정관장 인삼박물관+홍산관아 및 객사,서동연꽃축제 및 백제문화제에 따라 코스변경 가능+궁남지 연꽃 개화시기에 맞춰 코스변경 가능,세종시 출발 5명이상인 경우 세종 싱싱장터 도담점에서 출발,09:00,17:00,0,노인7000원+청소년7000원+어린이5000원+아동1000원,출발 5일전 이내로 신청할 경우 3000원 비용추가,http://tour.buyeo.go.kr,충청남도 부여군청,041-830-2219,2020-06-30,4570000,충청남도 부여군
충청남도,부여군,사비향 상상투어,부여군충남관광안내소 041-830-2880,토~일요일,고정형,롯데리조트,능산리와 나성-궁남지-정림사지 5층석탑-부소산성(황포돛배)-국립부여박물관,정관장 인삼박물관+홍산관아 및 객사,서동연꽃축제 및 백제문화제에 따라 코스변경 가능+궁남지 연꽃 개화시기에 맞춰 코스변경 가능,세종시 출발 5명이상인 경우 세종 싱싱장터 도담점에서 출발,09:30,17:00,300,노인7000원+청소년7000원+어린이5000원+아동1000원,출발 5일전 이내로 신청할 경우 3000원 비용추가,http://tour.buyeo.go.kr,충청남도 부여군청,041-830-2219,2020-06-30,4570000,충청남도 부여군
전라남도,화순군,설렘화순 버스투어(동부권),"061-379-3504,3505","매년3월말부터11월중매주 토, 일운영",고정형,"화순읍 이용대체육관앞,이서커뮤니티센터","화순읍(이용대체육관앞) -> 임대정원림-> 연둔리숲정이-> 김삿갓문학동산 -> 적벽초소 -> 화순적벽(망향정, 망미정)-> 조광조유배지-> 이용대체육관앞(화순읍)","수만리 숲공원,이서은행나무도지정느티나무물염정, 창랑적벽",적벽초소 앞 셔틀버스 환승 적벽 진입,"운영기간중 매주 토, 일만운영",09:30,17:00,0,"17,000","관람혜택화순금호리조트30할인(온천,숙박,아쿠아나)도곡 원네스스파 20할인(숙박)",http://www.tour.hwasun.go.kr,전라남도 화순군청,061-379-3504,2020-07-10,4900000,전라남도 화순군
전라남도,화순군,설렘화순 버스투어(서부권),"061-379-3504,3505","매년3월말부터11월중매주 토, 일운영",고정형,"화순읍 이용대체육관앞,이서커뮤니티센터","화순읍(이용대체육관앞) -> 적벽초소-> 화순적벽(망향정, 망미정)-> 운주사 ->  고인돌유적지 -> 세계거석테마파크 -> 로컬푸드직매장 ->이용대체육관앞(화순읍)","수만리 숲공원,이서은행나무도지정느티나무물염정, 창랑적벽",적벽초소 앞 셔틀버스 환승 적벽 진입,"운영기간중 매주 토, 일만운영",09:30,17:00,0,"20,000","관람혜택화순금호리조트30할인(온천,숙박,아쿠아나)도곡 원네스스파 20할인(숙박)",http://www.tour.hwasun.go.kr,전라남도 화순군청,061-379-3504,2020-07-10,4900000,전라남도 화순군
전라남도,화순군,설렘화순 버스투어(적벽투어(화순)),"061-379-3504,3505","매년3월말부터11월중매주 토, 일운영",고정형,화순읍 이용대체육관앞,"화순읍(이용대체육관앞) -> 화순적벽(망향정, 망미정)-> 이용대체육관앞(화순읍)","수만리 숲공원,이서은행나무도지정느티나무물염정, 창랑적벽",,"운영기간중 매주 수, 토, 일만운영",09:30,17:00,280,"10,000","관람혜택화순금호리조트30할인(온천,숙박,아쿠아나)도곡 원네스스파 20할인(숙박)",http://www.tour.hwasun.go.kr,전라남도 화순군청,061-379-3504,2020-07-10,4900000,전라남도 화순군
전라남도,화순군,설렘화순 버스투어(적벽투어(이서)),"061-379-3504,3505","매년3월말부터11월중매주 토, 일운영",고정형,이서커뮤니티센터,"이서면(이서커뮤니티센터) -> 화순적벽(망향정, 망미정)-> 이서커뮤니티센터(이서면)","수만리 숲공원,이서은행나무도지정느티나무물염정, 창랑적벽",,"운영기간중 매주 수, 토, 일만운영",09:20,16:40,130,"5,000","관람혜택화순금호리조트30할인(온천,숙박,아쿠아나)도곡 원네스스파 20할인(숙박)",http://www.tour.hwasun.go.kr,전라남도 화순군청,061-379-3504,2020-07-10,4900000,전라남도 화순군
경상남도,김해시,김해시티투어(가야의 땅),미래고속관광(055-333-6300),연중 무휴+정기코스(토요일)+테마코스(연중),고정형,김해종합관광안내소+장유도서관,김해종합관광안내소+대성동고분박물관+수로왕릉+봉황동유적지+김해가야테마파크+낙동강레일파크+봉하마을+김해종합관광안내소+국립김해박물관+화포천습지생태공원+클레이아크 김해미술관,가야문화유적지(수로왕릉+수로왕비릉+구지봉+국립김해박물관+대성동고분박물관+봉황동유적지)+가야테마파크+낙동강레일파크+봉하마을 등,현지 사정에 따라 코스 변경될수 있음+부산+창원 등 인근 시군에서 15인 이상 단체 예약시 인접 시군의 지정된 승차장소에서 현지수송 서비스 제공 (예약제 운영),"연중 무휴,-정기코스(토요일)-테마코스(연중)2일전 오전 12시까지 예약",09:30,17:00,0,"10,000~17,000원","만4세이하 무료(식비별도), 만12세이하 10,000원(식비포함), 만13세이상 15,000원 (※가야테마 코스 17,000원)",http://tour.gimhae.go.krwww.mrtouring.com,김해시청 관광과,055-330-4441,2020-06-30,5350000,경상남도 김해시
제주특별자치도,서귀포시,서귀포 원도심 주요 관광지 등,064-760-2657,09:00 ~ 21:35,순환형,향토오일시장. 매일올레시장. 아랑조을거리. 외돌개. 천지연폭포. 새연교.칠십리음식특화거리. 자구리공원. 서복전시관. 정방폭포,홈페이지 및 리플릿 참조,홈페이지 및 리플릿 참조,홈페이지 및 리플릿 참조,홈페이지 및 리플릿 참조,09:00,21:35,40,현금 : 1200원. 카드 : 1150원,해당사항 없음,seogwipocitytour.jejudoevent.com/,서귀포시 관광진흥과,064-760-2657,2020-06-29,6520000,제주특별자치도 서귀포시
경기도,평택시,문화관광유적지,평택문화원(031-656-0600),"평일 및 토요일(3월~11월), 10:00~16:00시",고정형,"평택시남부문화예술회관, 평택 서부역","주말코스(문화안보투어 : 평택향교, 수도사, 해군2함대안보공원, 평택항마린센터 / 문화유산투어 : 원균장군유적지, 정도전유적지, 진위향교, 웃다리문화촌 / 자연환경투어 : 배다리저수지, 원평나루, 소풍정원, 평택시농업생태원) 평일코스(안보환경투어 : 해군2함대안보공원, 평택항홍보관, 항만안내선, 평택항마린센터)",,,평일 및 토요일 10:00~15:00시,10:00,16:00,0,"1인 10,000원",,http://www.ptmunhwa.or.kr/,평택시 관광과,031-8024-3291,2020-06-30,3910000,경기도 평택시
경기도,화성시,파도의숨결,화성시지속가능발전협의회 031-366-8921+031-366-7110,"매주토~일요일, 공휴일 운영+단체(20인 이상) 평일 가능",고정형,"동탄역 2번출구, 화성시 미디어센터, 병점역, 동부출장소, 봉담읍, 향남읍, 남양모두누림센터",국화도 또는 입파도,,코스 변경 가능,"매주토~일요일, 공휴일 운영+단체(20인 이상) 평일 가능",09:00,17:00,420,34000원,"입장료 도선료 등 포함, 감면사항은 화성시 관광진흥에 관한 조례 12조의2 참조",http://tour.hscity.go.kr/citytour/,화성시청,031-5189-6017,2020-06-02,5530000,경기도 화성시
인천광역시,연수구,하버라인,인천관광공사 관광인프라팀032-899-7412,매주화~일요일 운영,순환형,인천역+하버파크+인천연안여객터미널+인천종합어시장+G타워+솔찬공원+송도테크노파크+송도컨벤시아+센트럴파크+인천상륙작전기념관+신포국제시장+개항장+월미공원+월미문화의거리+인천역,"하버파크, 연안여객터미널, 인천종합어시장, G타워, 솔찬공원, 송도테크노 파크 , 송도컨벤시아, 센트럴파크, 인천상륙작전기념관, 신포국제시장, 개항장, 월미공원, 월미문화의거리",하버파크+연안부두+인천종합어시장+G타워+솔찬공원+송도테크노 파크+송도컨벤시아+센트럴파크+인천상륙작전기념관+신포국제시장+개항장+월미공원+월미문화의거리,차이나타운+자장면박물관+동화마을+인천내항+아트플랫폼+솔찬공원+송도테크노파크+송도컨벤시아,연중 매주월요일 휴무+추석절 당일휴무+설날 당일 휴무를 제외한 연중 운행,10:00,18:12,30,"중학생이상 5,000원+12세이하 및 65세이상 노인 3,000원","10인이상 탑승시 20할인,조조권및반일권 구입시 40할인",http://www.incheoncitytour.com,인천관광공사,032-899-7412,2020-03-18,6280000,인천광역시
경상북도,안동시,"도심순환형투어, 하회마을권역투어, 도산서원권역투어 등",054-855-7179,순환형 10:00~21:10 / 테마형 상시,순환형,안동역+안동터미널,"도심순환형 : 월영교, 임청각, 유교랜드, 온뜨레피움 등 / 하회마을권 : 부용대, 병산서원, 하회마을 등 / 도산서원권 : 봉정사, 신세동벽화마을, 도산서원, 만휴정 등",하회마을+봉정사+월영교+도산서원 등,문화해설사(기사) 동행,도심순환형 : 매주 금토일 / 테마형 : 상시운행,10:20,18:20,120,"도심순환형 : 3,000원 + 하회마을권: 25,000원+도산서원권: 28,000원+고택 1박2일: 125,000원",학생+경로+장애인 할인,http://www.gbtour.kr,경상북도 안동시청,054-840-6392,2020-06-18,5070000,경상북도 안동시
인천광역시,연수구,시티라인,인천관광공사 관광인프라팀032-899-7412,매주화~일요일 운영,순환형,센트럴파크+송도컨벤시아+트리플스트리트+소래포구역+소래습지생태공원+모래내구월시장+부평지하상가+인천시청광장+인천문화예술회관+문학경기장+동춘역+이스트보트하우스+센트럴파크,송도컨벤시아+트리폴스트리트+소래포구역+모래내시장+부평역+인천시청광장+인천문화예술회관+문학경기장+동춘역+센트럴파크,센트럴파크+송도컨벤시아+스쿼어원+도호부청사+글로벌캠페스+소래포구역+모래내시장+부평지하상가+엔타스면세점+문화예술회관,송도컨벤시아+트리폴스트리트+소래포구역+모래내시장+부평역+인천시청광장+인천문화예술회관+문학경기장+동춘역+센트럴파크,연중 매주월요일 휴무+추석절 당일휴무+설날 당일 휴무를 제외한 연중 운행,10:20,17:40,100,"중학생이상 5,000원+12세이하 및 65세이상 노인 3,000원","10인이상 탑승시 20할인,조조권및반일권 구입시 40할인",http://www.incheoncitytour.com,인천관광공사,032-899-7412,2020-03-18,6280000,인천광역시
인천광역시,연수구,바다라인,인천관광공사 관광인프라팀032-899-7412,매주화~일요일 운영,순환형,센트럴파크+송도컨벤시아+인천국제공항+파라다이스시티+무의도입구+을왕리해수욕장+인천국제공항(제2여객터미널)+인하국제의료센터+이스트보트하우스+센트럴파크,센트럴파크+송도컨벤시아+인천국제공항+파라다이스시티+용유역+을왕리해수욕장+합동청사역,센트럴파크+송도컨벤시아+인천국제공항+파라다이스시티+용유역+을왕리해수욕장+합동청사역,센트럴파크+송도컨벤시아+인천국제공항+파라다이스시티+용유역+을왕리해수욕장+합동청사역,연중 매주월요일 휴무+추석절 당일휴무+설날 당일 휴무를 제외한 연중 운행,10:00,18:42,45,"중학생이상 10,000원+12세이하 및 65세이상 노인 8,000원","10인이상 탑승시 20할인,조조권및반일권 구입시 40할인",http://www.incheoncitytour.com,인천관광공사,032-899-7412,2020-03-18,6280000,인천광역시
전라남도,해남군,향기가풍기는전통여행+꽃길따라 화려한 외출+인생순례길 달마고도 여행,금호고속 062-360-8502,"매주 토,일,월",고정형,광주유스퀘어+광주송정역,유스퀘어-광주송정역-고산윤선도유적지-대흥사-삼산주조장-광주송정역-유스퀘어유스퀘어-광주송정역-4est-현산월송-우수영관광지-매월리낙조전망대-광주송정역-유스퀘어유스퀘어-광주송정역-땅끝관광지-송호해변-미황사/달마고도트레킹--주송정역-유스퀘어,해당없음,해당없음,"매주 토,일,월",08:40,19:00,0,"12,000원",중식비별도+입장료별도,www.haenam.go.kr/tour,해남군청,061-530-5852,2020-07-10,4930000,전라남도 해남군
경기도,화성시,문화의숨결,화성시지속가능발전협의회 031-366-8921+031-366-7110,"매주토~일요일, 공휴일 운영+단체(20인 이상) 평일 가능",고정형,"동탄역 2번출구, 화성시 미디어센터, 병점역, 동부출장소, 봉담읍, 향남읍, 남양모두누림센터",용주사-융건릉-제암리,,코스 변경 가능,"매주토~일요일, 공휴일 운영+단체(20인 이상) 평일 가능",09:00,17:00,420,18000원,"입장료 등 포함, 감면사항은 화성시 관광진흥에 관한 조례 12조의2 참조",http://tour.hscity.go.kr/citytour/,화성시청,031-5189-6017,2020-06-02,5530000,경기도 화성시
경기도,화성시,공룡의숨결,화성시지속가능발전협의회 031-366-8921+031-366-7110,"매주토~일요일, 공휴일 운영+단체(20인 이상) 평일 가능",고정형,"동탄역 2번출구, 화성시 미디어센터, 병점역, 동부출장소, 봉담읍, 향남읍, 남양모두누림센터",공룡알화석산지-우음도-비봉습지 등,,코스 변경 가능,"매주토~일요일, 공휴일 운영+단체(20인 이상) 평일 가능",09:00,17:00,420,18000원,"입장료 등 포함, 감면사항은 화성시 관광진흥에 관한 조례 12조의2 참조",http://tour.hscity.go.kr/citytour/,화성시청,031-5189-6017,2020-06-02,5530000,경기도 화성시
