정수장명,관리기관명,관리기관전화번호,소재지도로명주소,채수일자,검사기관명,최종판정결과,일반세균,총대장균군,대장균,분원성대장균군,납,불소,비소,셀레늄,수은,시안,크롬,암모니아성질소,질산성질소,카드뮴,보론,페놀,다이아지논,파라티온,페니트로티온,카바릴,1_1_1-트리클로로에탄,테트라클로로에틸렌,트리클로로에틸렌,사염화탄소,1_1-디클로로에틸렌,디클로로메탄,벤젠,톨루엔,에틸벤젠,크실렌,1_2-디브로모-3-클로로프로판,1_4-다이옥산,잔류염소,총트리할로메탄,클로로포름,브로모디클로로메탄,디브로모디클로로메탄,클로랄하이드레이트,디브로모아세토니트릴,디클로로아세토니트릴,트리클로로아세토니트릴,할로아세틱에시드,포름알데히드,심미적영향물질경도,과망간산칼륨소비량,냄새,맛,동,색도,세제,수소이온농도,아연,염소이온,증발잔류물,철,망간,탁도,황산이온,알루미늄,데이터기준일자,제공기관코드,제공기관명
서면,철원군,2019-04-10,,강원-보건환경연구원,적합,,0,불검출,,,불검출,0,0,0,0,0,0,0,0,1.4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0.41,0.007,0.005,0.001,0.001,,0.0055,0.0013,0,0.002,0,87,,없음,없음,0.008,1,0,7.2,0,5,102,0,0,8,0.03,0.41,2019-0,,4300000,강원도 철원군
동송,철원군,2019-04-10,,강원-보건환경연구원,적합,,0,불검출,,,불검출,0,0.18,0,0,0,0,0,0,1.7,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0.74,0.014,0.01,0.003,0.001,,0.0053,0.0033,0,0.013,0,44,,없음,없음,0,1,0,7,0,13.2,67,0,0,9,0.1,0.74,2019-0,,4300000,강원도 철원군
함안군칠서정수장,경상남도 함안군상하수도사업소,055-580-3731,,2014-06-10,경상남도 창원시상수도사업소 칠서정수과,,0,불검출,,,0,0,0,0,0,0,0,0,2.5,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.74,0.016,0.001,0.002,,0,0.0021,0,0,0.004,0,,0.3,없음,없음,0,0,0,6.6,0,34.2,249,0,0,0.17,40,0,2020-02-03,5400000,경상남도 함안군
함안정수장,경상남도 함안군상하수도사업소,055-580-3731,,2014-05-08,경상남도 창원시상수도사업소 칠서정수과,,0,불검출,,,0,0,0,0,0,0,0,0,1.9,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.39,0.009,0.006,0.003,,0.0017,0,0.0007,0,0.018,0,,2,없음,없음,0,0,0,6.8,0.006,24.3,41,0.07,0,0.32,27,0,2020-02-03,5400000,경상남도 함안군
함안군칠서정수장,경상남도 함안군상하수도사업소,055-580-3731,,2014-05-08,경상남도 창원시상수도사업소 칠서정수과,,0,불검출,,,0,0,0,0,0,0,0,0,2.8,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.76,0.008,0,0,,0,0.0023,0,0,0.006,0,,1.7,없음,없음,0,0,0,6.6,0,74.1,303,0,0,0.16,63,0,2020-02-03,5400000,경상남도 함안군
함안정수장,경상남도 함안군상하수도사업소,055-580-3731,,2014-04-10,경상남도 창원시상수도사업소 칠서정수과,,0,불검출,,,0,0,0,0,0,0,0,0,1.6,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0.013,0.006,0.005,,0.0008,0,0,0,0.008,0,,1.8,없음,없음,0,0,0,7,0,4.3,123,0.06,0,0.18,7,0,2020-02-03,5400000,경상남도 함안군
함안군칠서정수장,경상남도 함안군상하수도사업소,055-580-3731,,2014-04-10,경상남도 창원시상수도사업소 칠서정수과,,0,불검출,,,0,0,0,0,0,0,0,0,2.9,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.76,0.008,0,0.001,,0,0.0009,0,0,0.01,0,,0.5,없음,없음,0,0,0,6.8,0,46.8,328,0.05,0,0.2,48,0,2020-02-03,5400000,경상남도 함안군
함안정수장,경상남도 함안군상하수도사업소,055-580-3731,,2014-03-04,경상남도 창원시상수도사업소 칠서정수과,,0,불검출,,,0,0,0,0,0,0,0,0,2.4,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31,0.016,0.008,0.006,,0.0032,0,0.0008,0,0.014,0,,1,없음,없음,0,0,0,7.2,0,8,142,0,0,0.18,10,0,2020-02-03,5400000,경상남도 함안군
함안군칠서정수장,경상남도 함안군상하수도사업소,055-580-3731,,2014-03-04,경상남도 창원시상수도사업소 칠서정수과,,0,불검출,,,0,0,0,0,0,0,0,0,2.6,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.76,0.006,0,0,,0,0.0015,0,0,0.008,0,,0.5,없음,없음,0,0,0,6.8,0,42,280,0,0,0.08,43,0,2020-02-03,5400000,경상남도 함안군
함안정수장,경상남도 함안군상하수도사업소,055-580-3731,,2014-02-10,경상남도 창원시상수도사업소 칠서정수과,,0,불검출,,,0,0,0.008,0,0,0,0,0,1.3,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33,0.01,0.002,0.004,,0,0.0008,0,0,0.007,0,,1.8,없음,없음,0,0,0,7.6,0.004,6,147,0,0,0.06,11,0,2020-02-03,5400000,경상남도 함안군
함안군칠서정수장,경상남도 함안군상하수도사업소,055-580-3731,,2014-02-10,경상남도 창원시상수도사업소 칠서정수과,,0,불검출,,,0,0,0,0,0,0,0,0,2.6,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.63,0.003,0,0,,0,0.0012,0,0,0.004,0,,0.9,없음,없음,0,0,0,7.1,0.002,35,264,0,0,0.05,39,0,2020-02-03,5400000,경상남도 함안군
함안정수장,경상남도 함안군상하수도사업소,055-580-3731,,2014-01-07,경상남도 창원시상수도사업소 칠서정수과,,0,불검출,,,0,0,0,0,0,0,0,0,1.2,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.39,0.014,0.008,0.004,,0.0045,0,0.0015,0,0.013,0,,2.5,없음,없음,0,0,0,7.2,0.008,4,75,0,0,0.3,6,0,2020-02-03,5400000,경상남도 함안군
함안군칠서정수장,경상남도 함안군상하수도사업소,055-580-3731,,2014-01-07,경상남도 창원시상수도사업소 칠서정수과,,0,불검출,,,0,0,0,0,0,0,0,0,2.6,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0.69,0.006,0,0.001,,0,0.002,0.001,0,0.009,0,,0,없음,없음,0,0,0,7,0.002,30,201,0,0,0.07,32,0,2020-02-03,5400000,경상남도 함안군
함안정수장,경상남도 함안군상하수도사업소,055-580-3731,,2015-12-01,경상남도 창원시상수도사업소 칠서정수과,,0,불검출,,,0,0,0,0,0,0,0,0,1.2,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.68,0.013,0.005,0.005,,0.0034,0,0.0006,0,0.007,0,,0.5,없음,없음,0,0,0,7.6,0.013,5.4,115,0,0,0.09,6,0,2020-02-03,5400000,경상남도 함안군
함안군칠서정수장,경상남도 함안군상하수도사업소,055-580-3731,,2015-12-01,경상남도 창원시상수도사업소 칠서정수과,,0,불검출,,,0,0,0,0,0,0,0,0,1.8,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.57,0.012,0,0.002,,0.0009,0.0022,0,0,0.01,0,,0.4,없음,없음,0,0,0,7,0.01,36.3,239,0,0,0.1,40,0,2020-02-03,5400000,경상남도 함안군
함안정수장,경상남도 함안군상하수도사업소,055-580-3731,,2015-11-04,경상남도 창원시상수도사업소 칠서정수과,,0,불검출,,,0,0.08,0,0,0,0,0,0,1.7,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.57,0.018,0.006,0.007,,0.0021,0.0007,0.0005,0,0.007,0,,0.3,없음,없음,0,0,0,7.5,0.005,7.3,153,0,0,0.13,9,0,2020-02-03,5400000,경상남도 함안군
함안정수장,경상남도 함안군상하수도사업소,055-580-3731,,2013-03-05,경상남도 창원시상수도사업소 칠서정수과,,0,불검출,,,0,0,0,0,0,0,0,0,1.2,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38,0.013,0.007,0.004,,0.0027,0,0.0008,0,0.005,0,,1.5,없음,없음,0,1,0,7.3,0,5,75,0.06,0,0.4,7,0,2020-02-03,5400000,경상남도 함안군
함안군칠서정수장,경상남도 함안군상하수도사업소,055-580-3731,,2013-03-05,경상남도 창원시상수도사업소 칠서정수과,,0,불검출,,,0,0,0,0,0,0,0,0,2.5,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56,0.005,0,0,,0,0.0013,0,0,0.001,0,,0.5,없음,없음,0,0,0,6.9,0,30,269,0.05,0,0.09,35,0,2020-02-03,5400000,경상남도 함안군
함안정수장,경상남도 함안군상하수도사업소,055-580-3731,,2013-02-07,경상남도 창원시상수도사업소 칠서정수과,,0,불검출,,,0,0,0,0,0,0,0,0,1.7,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.34,0.019,0.013,0.005,,0.0023,0,0.0009,0,0.007,0,,0.9,없음,없음,0,0,0,7.1,0.006,9,80,0.12,0,0.45,11,0,2020-02-03,5400000,경상남도 함안군
함안군칠서정수장,경상남도 함안군상하수도사업소,055-580-3731,,2013-02-07,경상남도 창원시상수도사업소 칠서정수과,,0,불검출,,,0,0,0,0,0,0,0,0,2.6,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.39,0.011,0.003,0.001,,0,0.0013,0,0,0,0,,0.4,없음,없음,0,0,0,6.9,0.002,26,228,0.06,0,0.13,32,0,2020-02-03,5400000,경상남도 함안군
함안정수장,경상남도 함안군상하수도사업소,055-580-3731,,2013-01-10,경상남도 창원시상수도사업소 칠서정수과,,0,불검출,,,0,0,0,0,0,0,0,0,0.9,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29,0.009,0,0.003,,0.0018,0.0014,0.001,0,0.004,0,,0.9,없음,없음,0,0,0,7.3,0.018,4,75,0.13,0,0.33,6,0,2020-02-03,5400000,경상남도 함안군
함안군칠서정수장,경상남도 함안군상하수도사업소,055-580-3731,,2013-01-10,경상남도 창원시상수도사업소 칠서정수과,,0,불검출,,,0,0,0,0,0,0,0,0,2.6,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.47,0.005,0,0,,0,0.0017,0,0,0.001,0,,0.3,없음,없음,0,0,0,6.8,0.009,21,212,0.05,0,0.15,34,0,2020-02-03,5400000,경상남도 함안군
함안군칠서정수장,경상남도 함안군상하수도사업소,055-580-3731,,2015-09-02,경상남도 창원시상수도사업소 칠서정수과,,0,불검출,,,0,0,0,0,0,0,0,0,1.9,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.57,0.018,0,0.005,,0,0.0022,0,0,0.006,0,,0.4,없음,없음,0,0,0,6.8,0.002,37.2,203,0,0.005,0.08,42,0,2020-02-03,5400000,경상남도 함안군
함안정수장,경상남도 함안군상하수도사업소,055-580-3731,,2015-08-06,경상남도 창원시상수도사업소 칠서정수과,,0,불검출,,,0,0,0.008,0,0,0,0,0,2.1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.48,0.016,0.005,0.005,,0.0006,0.0008,0,0,0.004,0,,1.3,없음,없음,0,0,0,7.5,0.003,8.5,156,0,0,0.06,14,0,2020-02-03,5400000,경상남도 함안군
함안군칠서정수장,경상남도 함안군상하수도사업소,055-580-3731,,2015-08-06,경상남도 창원시상수도사업소 칠서정수과,,0,불검출,,,0,0,0,0,0,0,0,0,2.1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.54,0.01,0.003,0,,0,0.0024,0,0,0.007,0,,1,없음,없음,0,0,0,6.8,0.009,41,224,0,0,0.1,45,0,2020-02-03,5400000,경상남도 함안군
함안정수장,경상남도 함안군상하수도사업소,055-580-3731,,2015-07-02,경상남도 창원시상수도사업소 칠서정수과,,0,불검출,,,0,0.16,0,0,0,0,0,0,1.8,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29,0.01,0.004,0.004,,0.0016,0,0,0,0.003,0,,0.9,없음,없음,0,0,0,7.2,0.002,7.7,116,0,0,0.3,13,0,2020-02-03,5400000,경상남도 함안군
함안군칠서정수장,경상남도 함안군상하수도사업소,055-580-3731,,2015-07-02,경상남도 창원시상수도사업소 칠서정수과,,0,불검출,,,0,0,0,0,0,0,0,0,2.6,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.58,0.006,0,0.001,,0.0025,0.0016,0,0,0.005,0,,1.3,없음,없음,0,0,0,6.8,0,32.7,233,0,0,0.08,40,0,2020-02-03,5400000,경상남도 함안군
함안정수장,경상남도 함안군상하수도사업소,055-580-3731,,2015-06-04,경상남도 창원시상수도사업소 칠서정수과,,0,불검출,,,0,0,0.006,0,0,0,0,0,1.7,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38,0.011,0.003,0.004,,0.0024,0,0,0,0.006,0,,0,없음,없음,0,0,0,7.4,0.002,7.1,88,0,0,0.2,13,0,2020-02-03,5400000,경상남도 함안군
함안군칠서정수장,경상남도 함안군상하수도사업소,055-580-3731,,2015-06-04,경상남도 창원시상수도사업소 칠서정수과,,0,불검출,,,0,0,0,0,0,0,0,0,2.4,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.62,0.012,0,0.001,,0,0.0026,0,0,0.005,0,,0.4,없음,없음,0,0,0,6.8,0.002,56,250,0,0.011,0.08,55,0,2020-02-03,5400000,경상남도 함안군
함안정수장,경상남도 함안군상하수도사업소,055-580-3731,,2015-05-06,경상남도 창원시상수도사업소 칠서정수과,,0,불검출,,,0,0,0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.45,0.015,0.009,0.005,,0.003,0,0.001,0,0.005,0,,0.3,없음,없음,0,0,0,7.3,0,4.5,58,0,0,0.2,6,0,2020-02-03,5400000,경상남도 함안군
함안군칠서정수장,경상남도 함안군상하수도사업소,055-580-3731,,2015-05-06,경상남도 창원시상수도사업소 칠서정수과,,0,불검출,,,0,0,0,0,0,0,0,0,2.8,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.83,0.014,0.001,0.002,,0.0016,0.0023,0.0008,0,0.006,0,,1.1,없음,없음,0,0,0,6.8,0,41.2,262,0,0,0.1,48,0,2020-02-03,5400000,경상남도 함안군
함안정수장,경상남도 함안군상하수도사업소,055-580-3731,,2015-04-01,경상남도 창원시상수도사업소 칠서정수과,,0,불검출,,,0,0,0,0,0,0,0,0,0.9,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.41,0.012,0.007,0.004,,0.0011,0,0,0,0.012,0,,0,없음,없음,0,0,0,7.2,0.006,4.8,83,0,0,0.14,8,0,2020-02-03,5400000,경상남도 함안군
함안군칠서정수장,경상남도 함안군상하수도사업소,055-580-3731,,2015-04-01,경상남도 창원시상수도사업소 칠서정수과,,0,불검출,,,0,0,0,0,0,0,0,0,2.6,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.83,0.012,0,0.001,,0,0.0019,0,0,0.009,0,,0.3,없음,없음,0,0,0,6.6,0.003,62.2,308,0,0,0.1,62,0,2020-02-03,5400000,경상남도 함안군
함안정수장,경상남도 함안군상하수도사업소,055-580-3731,,2015-03-05,경상남도 창원시상수도사업소 칠서정수과,,0,불검출,,,0,0,0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.43,0.011,0.006,0.004,,0.0013,0,0,0,0.011,0,,0.3,없음,없음,0,0,0,7.5,0.008,5,90,0,0,0.07,8,0,2020-02-03,5400000,경상남도 함안군
함안군칠서정수장,경상남도 함안군상하수도사업소,055-580-3731,,2015-03-05,경상남도 창원시상수도사업소 칠서정수과,,0,불검출,,,0,0,0,0,0,0,0,0,2.6,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.63,0.008,0,0.002,,0,0.0012,0,0,0.011,0,,0.4,없음,없음,0,0,0,7.3,0.007,35.4,270,0,0,0.09,42,0,2020-02-03,5400000,경상남도 함안군
함안정수장,경상남도 함안군상하수도사업소,055-580-3731,,2015-02-04,경상남도 창원시상수도사업소 칠서정수과,,0,불검출,,,0,0,0,0,0,0,0,0,0.9,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56,0.01,0.006,0.004,,0,0.0012,0,0,0.011,0,,0.5,없음,없음,0,0,0,7.4,0.029,4.5,99,0,0,0.11,7,0,2020-02-03,5400000,경상남도 함안군
함안군칠서정수장,경상남도 함안군상하수도사업소,055-580-3731,,2015-02-04,경상남도 창원시상수도사업소 칠서정수과,,0,불검출,,,0,0,0,0,0,0,0,0,2.3,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.85,0.006,0.001,0.003,,0.0014,0,0,0,0.01,0,,0,없음,없음,0,0,0,7,0.01,32.2,244,0,0,0.05,37,0,2020-02-03,5400000,경상남도 함안군
함안정수장,경상남도 함안군상하수도사업소,055-580-3731,,2014-08-06,경상남도 창원시상수도사업소 칠서정수과,,0,불검출,,,0,0,0,0,0,0,0,0,1.6,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.59,0.006,0.004,0.003,,0.0015,0,0.0009,0,0.071,0,,0.5,없음,없음,0,0,0,7,0.003,5.8,95,0,0,0.28,8,0.03,2020-02-03,5400000,경상남도 함안군
함안군칠서정수장,경상남도 함안군상하수도사업소,055-580-3731,,2014-08-06,경상남도 창원시상수도사업소 칠서정수과,,0,불검출,,,0,0,0,0,0,0,0,0,1.8,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0.73,0.005,0,0,,0,0.0023,0,0,0.003,0,,0.4,없음,없음,0,0,0,6.6,0.004,44.7,300,0,0,0.09,47,0,2020-02-03,5400000,경상남도 함안군
함안정수장,경상남도 함안군상하수도사업소,055-580-3731,,2014-07-03,경상남도 창원시상수도사업소 칠서정수과,,0,불검출,,,0,0,0,0,0,0,0,0,0.8,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0.035,0.027,0.007,,0.004,0,0.0016,0,0.042,0,,2.7,없음,없음,0,0,0,6.9,0.004,4.1,91,0.06,0,0.35,6,0,2020-02-03,5400000,경상남도 함안군
함안군칠서정수장,경상남도 함안군상하수도사업소,055-580-3731,,2014-07-03,경상남도 창원시상수도사업소 칠서정수과,,0,불검출,,,0,0,0,0,0,0,0,0,1.4,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0.016,0.001,0.003,,0,0.0015,0,0,0.004,0,,0,없음,없음,0,0,0,6.7,0,31.1,273,0,0,0.08,36,0,2020-02-03,5400000,경상남도 함안군
함안정수장,경상남도 함안군상하수도사업소,055-580-3731,,2014-06-10,경상남도 창원시상수도사업소 칠서정수과,,0,불검출,,,0,0,0,0,0,0,0,0,1.3,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35,0.012,0.006,0.004,,0.0031,0,0.0012,0,0.02,0,,0.7,없음,없음,0,0,0,6.8,0.005,4.6,119,0.07,0,0.32,9,0,2020-02-03,5400000,경상남도 함안군
함안정수장,경상남도 함안군상하수도사업소,055-580-3731,,2016-12-01,경상남도 창원시상수도사업소 칠서정수과,,0,불검출,,,0,0,0,0,0,0,0,0,1.4,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.47,0.009,0.004,0.004,,0.0049,0,0.001,0,0.013,0,,1.8,없음,없음,0,0,0,7.5,0.007,6.4,66,0,0,0.08,6,0,2020-02-03,5400000,경상남도 함안군
함안정수장,경상남도 함안군상하수도사업소,055-580-3731,,2016-11-08,경상남도 창원시상수도사업소 칠서정수과,,0,불검출,,,0,0,0,0,0,0,0,0,0.8,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0.009,0.006,0.003,,0.0018,0,0.0005,0.0033,0.008,0,,0.5,없음,없음,0,0,0,7.3,0.003,3.9,93,0,0,0.11,4,0,2020-02-03,5400000,경상남도 함안군
함안군칠서정수장,경상남도 함안군상하수도사업소,055-580-3731,,2016-11-08,경상남도 창원시상수도사업소 칠서정수과,,0,불검출,,,0,0,0,0,0,0,0,0,1.5,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.55,0.014,0,0.002,,0,0.0019,0,0.0006,0.007,0,,1.2,없음,없음,0,0,0,7,0,47.3,296,0,0,0.09,45,0,2020-02-03,5400000,경상남도 함안군
함안정수장,경상남도 함안군상하수도사업소,055-580-3731,,2016-10-11,경상남도 창원시상수도사업소 칠서정수과,,0,불검출,,,0,0,0,0,0,0,0,0,1.8,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.67,0.015,0.005,0.006,,0.0005,0.0013,0,0,0.002,0,,0.4,없음,없음,0,0,0,7.5,0.011,7.1,62,0,0,0.1,7,0,2020-02-03,5400000,경상남도 함안군
함안군칠서정수장,경상남도 함안군상하수도사업소,055-580-3731,,2016-10-11,경상남도 창원시상수도사업소 칠서정수과,,0,불검출,,,0,0,0,0,0,0,0,0,2.1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.69,0.009,0,0.002,,0,0.002,0,0,0.002,0,,0.3,없음,없음,0,0,0,6.9,0.003,37.4,232,0,0,0.16,38,0,2020-02-03,5400000,경상남도 함안군
함안정수장,경상남도 함안군상하수도사업소,055-580-3731,,2016-09-01,경상남도 창원시상수도사업소 칠서정수과,,0,불검출,,,0,0,0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31,0.022,0.014,0.006,,0.0032,0,0.001,0,0.024,0,,0.8,없음,없음,0,0,0,7.4,0,4.6,70,0,0,0.09,5,0,2020-02-03,5400000,경상남도 함안군
함안군칠서정수장,경상남도 함안군상하수도사업소,055-580-3731,,2016-09-01,경상남도 창원시상수도사업소 칠서정수과,,0,불검출,,,0,0.15,0,0,0,0,0,0,1.9,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.72,0.024,0.002,0.006,,0.0015,0.003,0.0005,0,0.011,0,,0.6,없음,없음,0,0,0,7.2,0,36.7,214,0,0,0.13,38,0,2020-02-03,5400000,경상남도 함안군
함안정수장,경상남도 함안군상하수도사업소,055-580-3731,,2016-08-03,경상남도 창원시상수도사업소 칠서정수과,,0,불검출,,,0,0,0,0,0,0,0,0,1.2,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0.024,0.012,0.009,,0.003,0,0.0009,0,0.007,0,,0,없음,없음,0,0,0,7.4,0.01,5.1,67,0,0,0.13,5,0,2020-02-03,5400000,경상남도 함안군
함안군칠서정수장,경상남도 함안군상하수도사업소,055-580-3731,,2016-08-03,경상남도 창원시상수도사업소 칠서정수과,,0,불검출,,,0,0.16,0,0,0,0,0,0,1.8,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.61,0.034,0.001,0.007,,0.0007,0.0044,0,0,0.017,0,,0,없음,없음,0,0,0,7.1,0,39.8,215,0,0,0.11,41,0,2020-02-03,5400000,경상남도 함안군
함안정수장,경상남도 함안군상하수도사업소,055-580-3731,,2016-07-06,경상남도 창원시상수도사업소 칠서정수과,,0,불검출,,,0,0,0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42,0.013,0.008,0.004,,0.0028,0,0.0006,0,0.01,0,,0.5,없음,없음,0,0,0,7.1,0.005,3.5,61,0,0,0.14,5,0.04,2020-02-03,5400000,경상남도 함안군
함안군칠서정수장,경상남도 함안군상하수도사업소,055-580-3731,,2016-07-06,경상남도 창원시상수도사업소 칠서정수과,,0,불검출,,,0,0,0,0,0,0,0,0,1.3,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.63,0.005,0,0,,0,0.0024,0,0,0.016,0,,0.7,없음,없음,0,0,0,6.9,0,42.6,310,0,0,0.1,61,0,2020-02-03,5400000,경상남도 함안군
함안정수장,경상남도 함안군상하수도사업소,055-580-3731,,2016-06-09,경상남도 창원시상수도사업소 칠서정수과,,0,불검출,,,0,0,0,0,0,0,0,0,1.1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.41,0.015,0.008,0.005,,0.0015,0,0.0005,0,0.012,0,,0,없음,없음,0,0,0,7.4,0.007,4.9,72,0,0,0.13,6,0,2020-02-03,5400000,경상남도 함안군
함안군칠서정수장,경상남도 함안군상하수도사업소,055-580-3731,,2016-06-09,경상남도 창원시상수도사업소 칠서정수과,,0,불검출,,,0,0,0,0,0,0,0,0,2.4,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.71,0.011,0,0.002,,0,0.0017,0,0,0.007,0,,0,없음,없음,0,0,0,6.8,0,38.9,260,0,0,0.1,43,0,2020-02-03,5400000,경상남도 함안군
함안정수장,경상남도 함안군상하수도사업소,055-580-3731,,2016-05-02,경상남도 창원시상수도사업소 칠서정수과,,0,불검출,,,0,0,0,0,0,0,0,0,1.1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0.006,0.001,0.003,,0.0005,0.0008,0,0,0.01,0,,0.4,없음,없음,0,0,0,7.4,0.005,4.8,93,0,0,0.13,6,0,2020-02-03,5400000,경상남도 함안군
함안군칠서정수장,경상남도 함안군상하수도사업소,055-580-3731,,2016-05-02,경상남도 창원시상수도사업소 칠서정수과,,0,불검출,,,0,0,0,0,0,0,0,0,1.5,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.55,0.006,0,0,,0,0.0021,0,0,0.011,0,,0.6,없음,없음,0,0,0,7,0.003,42.2,263,0,0,0.08,46,0,2020-02-03,5400000,경상남도 함안군
함안정수장,경상남도 함안군상하수도사업소,055-580-3731,,2016-04-06,경상남도 창원시상수도사업소 칠서정수과,,0,불검출,,,0,0,0,0,0,0,0,0,1.2,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.54,0.015,0.006,0.006,,0.0009,0,0,0,0.017,0,,1,없음,없음,0,0,0,7.4,0.004,5.1,96,0,0,0.12,6,0,2020-02-03,5400000,경상남도 함안군
함안군칠서정수장,경상남도 함안군상하수도사업소,055-580-3731,,2015-11-04,경상남도 창원시상수도사업소 칠서정수과,,0,불검출,,,0,0.14,0,0,0,0,0,0,1.9,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.65,0.011,0,0.002,,0,0.0022,0,0,0.006,0,,0,없음,없음,0,0,0,7,0.003,39.5,270,0,0,0.06,43,0,2020-02-03,5400000,경상남도 함안군
함안정수장,경상남도 함안군상하수도사업소,055-580-3731,,2015-10-06,경상남도 창원시상수도사업소 칠서정수과,,0,불검출,,,0,0,0,0,0,0,0,0,1.4,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.68,0.019,0.009,0.007,,0.003,0,0,0,0.011,0,,0.4,없음,없음,0,0,0,7.7,0.005,6.5,92,0,0,0.07,7,0,2020-02-03,5400000,경상남도 함안군
