치매센터명,치매센터유형,소재지도로명주소,소재지지번주소,위도,경도,설립년월,건축물면적,부대시설정보,의사인원수,간호사인원수,사회복지사인원수,기타인원현황,운영기관명,운영기관대표자명,운영기관전화번호,운영위탁일자,주요치매관리프로그램소개,관리기관전화번호,관리기관명,데이터기준일자,제공기관코드,제공기관명
홍성군 치매안심센터,치매안심센터,충청남도 홍성군 홍성읍 문화로 106,,36.5966419162,126.6630613420,2018-10,,"사무실1개, 상담실 1개, 검진실 1소, 쉼터2개, 카페 1개",0,17,1,4,홍성군보건소,조용희,041-630-9075,,쉼터 인지재활프로그램인지강화프로그램경로당 치매예방프로그램치매예방프로그램치매안심 면 치매환자인지재활프로그램,041-630-9075,홍성군보건소,2019-08-22,4600000,충청남도 홍성군
효성평생건강센터,치매안심센터,인천광역시 계양구 봉오대로543번길 21,"인천광역시 계양구 효성동 85-1,2(효성평생건강센터 2,4,5층)",37.532538,126.708555,2019-12,362.53,사무실(3)+프로그램실(2)+화장실(2)+휴게실(1),0,4,0,1,계양구보건소,한영란,032-450-1838,,"치매 조기검진 및 등록, 치매환자지원사업, 치매예방 인지강화 프로그램, 치매인식개선사업",032-450-1838,인천광역시 계양구보건소,2020-07-10,3550000,인천광역시 계양구
의왕시치매안심센터,치매안심센터,경기도 의왕시 오봉로 34,,37.3437878729,126.9719939180,2019-03,287.82,쉼터(1)+가족카페(1)+검사실(2)+진료실(1)+사무실(1),1,5,1,작업치료사(3) + 기타(1),의왕시보건소,김재복,031-345-3851,,"치매조기검진사업, 쉼터 운영, 가족교실, 인지강화교육, 치매 치료비지원, 치매인식개선, 치매안심마을 운영",031-345-3851,의왕시청,2020-06-29,4030000,경기도 의왕시
대전서구치매안심센터,치매안심센터,"대전광역시 서구 둔산서로 100, 건강체련관 3층","대전광역시 서구 둔산동 1300, 건강체련관 3층",36.3550567227,127.3833597309,2018-04,711.29,"프로그램실(3), 가족카페(1), 의사검진실(1), 신경심리검사실(1), 선별검사실(1), 대기실(1), 사무실(1), 서고(1), 세미나실(1)",1,11,4,"작업치료사(2), 임상심리사(1)",대전서구보건소,박경용,042-288-4470,2018-04-18,"치매환자인지재활프로그램, 고위험군 인지강화교실, 치매예방교실, 찾아가는 경로당 치매예방교실, 치매예방교육, 치매파트너 및 플러스 사업, 가족교실, 가족 자조모임, 선별검사 및 진단검사, 치매치료관리비 지원, 조호물품지원, 배회가능어르신인식표제공, 지문등사전등록, 공공후견지원사업, 사례관리",042-288-4500,대전서구보건소,2020-06-30,3660000,대전광역시 서구
치매안심센터,치매안심센터,전라북도 남원시 요천로 1285,전라북도 남원시 조산동 1285,35.39783844,127.3639897,2018-11,469,"검진실, 프로그램실 등",0,8,1,10,남원시보건소,이순례,063-620-5530,,상담검진,063-620-5530,남원시보건소,2019-09-10,4700000,전라북도 남원시
평창군치매안심센터,치매안심센터,강원도 평창군 평창읍 종부로 61,강원도 평창군 평창읍 종부리 504번지,37.3604904887,128.3888522172,2017-12,472,,0,4,2,4,평창군보건의료원,평창군수,033-330-4900,,"치매환자 쉼터프로그램, 치매가족헤아림프로그램, 치매예방인지재활프로그램, 치매재가환자방문인지재활프로그램",033-330-4875,평창군보건의료원,2020-07-08,4280000,강원도 평창군
양천구치매안심센터,치매안심센터,"서울특별시 양천구 남부순환로 407, 4층(신월동, 신월보건지소)",서울특별시 양천구 신월동 131-4 신월보건지소 4층,37.5313385896,126.831824,2008-04,630.6,사무실(1)+상담실(1)+검진실(2)+진료실(1)+훈련실(3)+기억키움학교(1) 등,1,14,6,"작업치료사(3), 운동치료사(1)",이화의대부속 목동병원,문병인,02-2698-8680,2008-03-27,"치매검사, 치매 상담 및 등록관리, 치매가족지원, 치매인식개선, 인지강화 및 치매예방교실 운영 등",02-2620-4764,서울특별시 양천구청,2020-05-21,3140000,서울특별시 양천구
동구보건소 치매안심센터,치매안심센터,대구광역시 동구 동촌로 79,대구광역시 동구 검사동 1005-8,35.8881209911,128.651234,2018-12,537,"선별검사실, 사무실, 프로그램실, 상담실",0,12,5,2,대구동구보건소,강태경,053-662-3218,,인지재활 및 가족지지 프로그램,053-662-3218,대구광역시 동구보건소,2020-05-25,3420000,대구광역시 동구
울산광역시남구치매안심센터,치매안심센터,울산광역시 남구 삼산중로 132,울산광역시 남구 삼산동 1538-4,35.54535759,129.3363268,2019-03,997.14,사무실(1)+검진실(1)+상담실(3)+심리안정실(1)+인지체험관(1)+쉼터(1)+교육실(1),1,15,1,"임상심리사 1, 작업치료사 3",남구보건소,박혜경,052-226-2323,,"상담 및 등록관리사업,조기검진사업,쉼터운영사업,가족지원사업,치매인식개선홍보사업",052-226-2451,울산광역시 남구보건소,2020-05-25,3700000,울산광역시 남구
밀양시치매안심센터,치매안심센터,경상남도 밀양시 삼문중앙로 41,경상남도 밀양시 삼문동 159-1번지,35.485570,128.756000,2018-11,344.75,"검진실,상담실,소교육실,쉼터,사무실",1,10,0,2,밀양시보건소,천재경,055-359-7086,,"맞춤형 쉼터 프로그램, 헤아림 가족교실, 치매파트너, 치매파트너플러스",055-359-7020,밀양시보건소,2019-04-30,5360000,경상남도 밀양시
용인시처인구치매안심센터,치매안심센터,경기도 용인시 처인구 중부대로 1199,경기도 용인시 처인구 삼가동 556,37.142626,127.103303,2007-08,281,사무실(1)+가족카페(1)+치료실(1)+검진실(1)+쉼터(1)+채움(1)+공감(1),1,7,2,작업치료사(2)+기타직군(3),경기도 용인시 처인구보건소,조순구,031-324-2700,,"무료치매검사, 치매예방프로그램 운영, 치매환자 및 가족프로그램 운영, 치매인식개선 사업 등",031-324-4473,처인구보건소,2019-04-10,4050000,경기도 용인시
용인시기흥구치매안심센터,치매안심센터,경기도 용인시 기흥구 신갈로58번길 11,경기도 용인시 기흥구 신갈동 60-3,37.272532,127.1070208,2018-09,321.5,사무실(1)+프로그램실(4)+상담실(1)+검진실(1),1,14,3,작업치료사 (5),경기도 용인시 기흥구보건소,양정원,031-324-6981,,"치매예방교실, 치매가족카페, 치매진단검사, 치매가족교실",031-324-6981,기흥구보건소,2019-04-10,4050000,경기도 용인시
용인시수지구치매안심센터,치매안심센터,"경기도 용인시 수지구 문정로20, 3층",,37.32263908,127.0962383,2018-11,588.46,사무실 (2)+교육실(3)+카페(1)+상담실(2)+진료실(2)+창고(2)+쉼터(1),1,13,4,작업치료사 (4) + 물리치료사(1) + 기타(1),용인시수지구보건소,이성순,031-324-8516,,"상담 및 등록관리사업, 치매조기검진 및 예방관리사업, 치매환자쉼터 운영사업, 치매가족 지원사업, 치매인식개선 및 교육 홍보사업, 치매안심마을 운영",031-324-8516,수지구보건소,2019-04-10,4050000,경기도 용인시
서귀포시서부보건소치매안심센터,치매안심센터,제주특별자치도 서귀포시 대정읍 최남단해안로 15번길 12,제주특별자치도 서귀포시 대정읍 하모리 767-8,33.2186730172,126.2532448998,2018-05,290.85,사무실. 상담실. 검진실. 프로그램실. 치매카페. 쉼터,0,4,0,1,서귀포시서부보건소,오재복,064-760-6249,,등록관리. 조기검진. 단기쉼터 및 치매 카페 운영. 치매 인식개선 및 홍보. 치매치료관리 지원 등,064-760-6249,서부보건소,2020-07-07,6520000,제주특별자치도 서귀포시
서귀포보건소치매안심센터,치매안심센터,제주특별자치도 서귀포시 중앙로101번길 52,제주특별자치도 서귀포시 서홍동 447-3,33.2534258,126.5553625,2018-06,494.01,사무실. 상담실. 검진실. 프로그램실. 치매카페,0,4,2,1,서귀포보건소,고인숙,064-760-6031,,등록관리. 조기검진. 단기쉼터 및 치매 카페 운영. 치매 인식개선 및 홍보. 치매치료관리 지원 등,064-760-6555,서귀포보건소,2020-07-07,6520000,제주특별자치도 서귀포시
서귀포시동부보건소치매안심센터,치매안심센터,제주특별자치도 서귀포시 남원읍 태위로 527,제주특별자치도 서귀포시 남원읍 남원리 2359-1,33.2756288183,126.7034172,2018-07,364.29,사무실. 상담실. 검진실. 프로그램실. 치매카페,0,3,2,1,서귀포시동부보건소,강미애,064-760-6141,,등록관리. 조기검진. 단기쉼터 및 치매 카페 운영. 치매 인식개선 및 홍보. 치매치료관리 지원 등,064-760-6125,서귀포시동부보건소,2020-07-07,6520000,제주특별자치도 서귀포시
군산시치매안심센터,치매안심센터,전라북도 군산시 수송동로 58(수송동),전라북도 군산시 수송동 851-1,35.96473237,126.7201807,2018-07,80,사무실(1)+상담실(1)+창고(1),1,2,4,작업치료사(3),군산시보건소,백종현,063-460-3211,2015-07-01,"무료치매검사,?치매환자?쉼터?운영,?치매예방?인지강화프로그램?운영?등",063-460-3277,군산시보건소,2020-07-09,4670000,전라북도 군산시
논산시치매안심센터,치매안심센터,충청남도 논산시 논산대로 382,충청남도 논산시 관촉동 327-2,36.19607621,127.1035668,2018-11,730.27,"가족카페, 검진실, 상담실, 쉼터 등",1,14,2,4,논산시보건소,박항순,041-746-6921,,"자조모임, 치매 기억력 검진, 치매 예방교육, 치매환자 가족교실, 치매환자 인지재활 프로그램 등",041-746-6939,논산시보건소,2020-04-24,4540000,충청남도 논산시
계양구보건소 치매안심센터,치매안심센터,인천광역시 계양구 계산새로 88,인천광역시 계양구 계산동 1079-1 계양구 보건소 1층,37.5374417294,126.7377591636,2015-11,80.3,사무실(1)+프로그램실(1)+화장실(1)+휴게실(1),0,18,3,4,계양구보건소,한영란,032-430-7867,,"치매 조기검진 및 등록, 치매환자지원사업, 치매예방 인지강화 프로그램, 치매인식개선사업, 치매공공후견사업",032-430-7867,인천광역시 계양구보건소,2020-07-10,3550000,인천광역시 계양구
양구군치매안심센터,치매안심센터,강원도 양구군 양구읍 관공서로 42,강원도 양구군 양구읍 하리 34-5,38.1099462889,127.9892064797,2017-08,607.34,사무실 검진실 쉼터 가족카페 교육실 치매가족교실,0,3,3,3,양구군보건소,오경희,033-480-2798,,치매상담 및 등록치매조기검진사업치매예방교실치매환자쉼터치매가족교실치매치료비지원치매환자조호물품지원치매인식개선사업 등,033-480-2798,양구군보건소,2019-06-12,4320000,강원도 양구군
횡성군보건소,치매안심센터,강원도 횡성군 횡성읍 횡성로 379,,37.4871296,127.9844504,2017-12,,"사무실,검진실",1,4,0,2,횡성군보건소,민선향,033-340-5653,,인지재활프로그램,033-340-5653,횡성군보건소,2019-06-24,4260000,강원도 횡성군
울산중구치매안심센터,치매안심센터,울산광역시 중구 외솔큰길 225 중구보건소 2층(남외동),울산광역시 중구 남외동 603-2 중구보건소 2층,35.5694483,129.3504562,2018-10,259.9,사무실(1)+상담실(2)+교육실(1)+프로그램실(1)+가족카페(1)+검진실(1),0,10,1,작업치료사(2),울산광역시 중구보건소,황병훈,052-290-4366,,"무료치매선별검사, 치매예방 인지건강프로그램, 치매예방 가족교육 등",052-290-4362,울산광역시 중구 보건소,2019-06-16,3690000,울산광역시 중구
하동군치매안심센터,치매안심센터,경상남도 하동군 하동읍 군청로31,경상남도 하동군 하동읍 읍내리 149-1,35.0669466755,127.7527913083,2017-07,,"상담실, 사무실",0,5,2,3,하동군보건소,김외곤,055-882-4000,,1.치매상담등록관리2.치매조기검지3.사례관리4.가족지원사업5.인지강화 및 예방프로그램운영6.치매파트너 및 등대지기 양성 등,055-882-4000,하동군보건소,2019-06-16,5440000,경상남도 하동군
상주시치매안심센터,치매안심센터,경상북도 상주시 경상대로 3023,경상북도 상주시 무양동 33-4,36.41691331,128.1508541,2019-01,281.13,,1,10,0,3,상주시치매안심센터,보건소장,054-537-6514,,"치매환자쉼터, 치매예방교실, 인지강화교실, 헤아림가족교실 등",054-535-4000,상주시보건소,2019-05-27,5110000,경상북도 상주시
아산시치매안심센터,치매안심센터,충청남도 아산시 번영로 216번길 18,충청남도 아산시 모종동 574-1,36.7828482,127.0140673,2018-11,720,"쉼터, 가족카페",0,17,0,2,아산시,김은태,041-537-3474,,"쉼터운영(인지재활,인지강화,치매예방프로그램)",041-537-3474,아산시,2019-06-04,4520000,충청남도 아산시
강동구치매안심센터,치매안심센터,서울특별시 강동구 성내로 45,서울특별시 강동구 성내동 541-2,37.5293701,127.1255567,2007-09,,,1,9,4,작업치료사(5),강동성심병원,송홍기,02-489-1130,2019-01-01,"치매예방및인식개선,치매조기검진,치매및고위험인지재활프로그램(인지건강센터),경증치매노인기억키움학교프로그램,치매치료비지원,치매지역자원강화 등",02-3425-6773,강동구보건소,2019-05-28,3240000,서울특별시 강동구
서초구치매안심센터,치매안심센터,서울특별시 서초구 염곡말길 9,서울특별시 서초구 염곡동 180-2,37.4619252,127.0511758,2008-09,804,"교육실,프로그램실,검진실,센터장실,안심하우스,사무실",1,6,5,6,서울성모병원,김용식,1588-1511,2008-09-01,"치매검진 및 상담, 치매예방 및 인식개선, 맞춤형등록관리, 치매환자 쉼터 운영, 안심하우스 운영",02-591-1833,서초구보건소,2019-05-30,3210000,서울특별시 서초구
철원군 치매안심센터,치매안심센터,강원도 철원군 갈말읍 군탄로 16,강원도 철원군 갈말읍 군탄리 960-2,38.1481314,127.302632,2018-12,381,사무실+프로그램실+회의실+상담실+검진실+가족카페,0,3,3,7,철원군 보건소,심인구,033-450-5550,,치매상담 및 등록치매조기검진사업치매예방교실치매환자쉼터치매가족교실치매치료비지원치매환자조호물품지원치매인식개선사업 등,033-450-5550,철원군보건소,2019-05-20,4300000,강원도 철원군
과천시보건소 치매안심센터,치매안심센터,경기도 과천시 관문로 69 과천시보건소 3층,경기도 과천시 중앙동 1-3 과천시보건소 3층,37.429980,126.986997,2019-02,42.6,사무실(1)+검진실(1)+쉼터(1)+카페(1),1,4,1,작업치료사(1),과천시보건소,김향희,02-2150-3882,,"치매조기검진, 인지강화교실, 쉼터교실 운영, 상담 및 등록, 사례관리, 치매가족지원, 치매 치료관리비지원, GPS배급 등",031-271-7021,경기도 과천시보건소,2019-05-08,3970000,경기도 과천시
정읍시치매안심센터,치매안심센터,전라북도 정읍시 금붕1길 215(금붕동),전라북도 정읍시 금붕동 949-3,35.5544789,126.8848896,2019-12,649.3,사무실,2,14,4,2,전라북도 정읍시 보건소,김미숙,063-539-6951,,"치매선별검사 및 진단검사, 치매예방 및 인지강화교실, 인식개선교육, 치매파트너양성, 치매치료관리비지원, 치매사례관리, 배회인식표발급, 치매가족프로그램 및 홍보, 캠페인실시, 치매공공후견인 사업",063-539-6941,전라북도 정읍시 보건소,2020-07-15,4690000,전라북도 정읍시
울진군 치매안심센터,치매안심센터,경상북도 울진군 울진읍 읍내8길 61-8,경상북도 울진군 울진읍 읍내리 563-5,36.99621755,129.4046005,1997-11,,,0,1,2,3,울진군보건소 치매안심센터,박용덕,054-789-5025,,"치매치매조기검진 및 대상자 등록관리, 인지강화프로그램 및 치매가족프로그램 운영, 치매서포터즈 양성",054-789-5000,울진군보건소,2020-07-13,5250000,경상북도 울진군
제주시제주보건소 치매안심센터,치매안심센터,제주특별자치도 제주시 연삼로 264,제주특별자치도 제주시 도남동 567-1,33.4916016527,126.520239,2018-08,643.65,사무실(1). 검사실(3). 쉼터(1). 프로그램실(1). 로비(1). 카페(1). 창고(1),0,9,3,작업치료사 1,제주시제주보건소,이민철,064-728-8490,,치매상담 및 등록관리. 치매조기검진. 치매예방 및 인지강화교실. 경증치매쉼터운영. 치매가족지원. 인식개선 및 교육홍보사업.안심마을 운영 등,064-728-4010,제주시제주보건소,2020-07-10,6510000,제주특별자치도 제주시
분당구보건소 치매안심센터,치매안심센터,경기도 성남시 분당구 내정로 94(정자동 한솔마을 711동 1층),경기도 성남시 분당구 정자동 101,37.3673885775,127.1155093142,2020-08,564,"진료실(1), 사무실(1), 프로그램실(3), 쉼터(1), 가족카페(1) 등",1,18,3,3(작업치료사)+1(임상심리사)+1(행정),분당구보건소,보건소장,031-729-4053,,"무료치매검사, 프로그램 운영, 치매예방관리 등",031-729-4053,경기도 성남시 분당구보건소,2020-06-01,3780000,경기도 성남시
시흥시 치매안심센터(대야신천센터),치매안심센터,경기도 시흥시 호현로 55,경기도 시흥시 대야동 484-3,37.445579,126.785283,2019-04,489,사무실(1)+회의실(1)+ 검진실(2)+환자쉼터(1)+가족카페(1),1,7,2,작업치료사(2)+송영및쉼터보조인력(1),시흥시보건소,박명희,031-310-5857,,치매조기검진/치매의료비 및 검진비 지원/ 치매예방교육/ 치매환자쉼터 및 가족지원사업 등,031-310-5858,경기도 시흥시청,2020-06-01,4010000,경기도 시흥시
김포시치매안심센터,치매안심센터,경기도 김포시 사우중로73번길 52(래미안프라자 4층),경기도 김포시 북변동 817(래미안프라자 4층),37.623046,126.721099,2018-05,,,2,10,1,작업치료사2명,김포시치매안심센터,황순미,031-980-5032,,"1.예방(월/수:원예)오후2.찾아가는 인지건강(월/수,운양동)오후3.자조모임(매주둘째주,마지막화요일)오전4.예방(화/금:미술/음악)오후5.치매안심마을(매주수요일 오후)양곡8단지6.가족교실(헤아림)매주목요일 오전",031-980-5032,김포시 보건소,2019-09-10,4090000,경기도 김포시
안동시치매안심센터,치매안심센터,경상북도 안동시 서동문로 165,경상북도 안동시 북문동 58,36.5669985983,128.730256244,2017-12,,사무실+검진실+교육실,2,9,2,2,안동시보건소,임중한,054-840-5881,,"반짝활짝치매쉼터, 인지강화교실, 치매예방교실, 단기쉼터",054-855-5986,안동시보건소,2019-04-26,5070000,경상북도 안동시
부산광역시 강서구 치매안심센터,치매안심센터,부산광역시 강서구 낙동북로102번길 76(강동동),부산광역시 강서구 강동동 60-3,35.2162051193,128.937670246,2018-11,,,2,8,2,1,부산광역시 강서구 보건소,천동환,051-970-2610,,"치매상담 및 등록,치매조기검진사업,치매예방교실,치매환자쉼터,치매가족교실,치매치료비지원,치매환자조호물품지원,치매인식개선사업 등",,부산광역시 강서구 보건소,2019-04-29,3360000,부산광역시 강서구
부산광역시 강서구 치매안심센터,치매안심센터,부산광역시 강서구 낙동북로102번길 76(강동동),부산광역시 강서구 강동동 60-3,35.2162051193,128.937670246,2018-11,,,2,8,2,1,부산광역시 강서구 보건소,천동환,051-970-2610,,"치매상담 및 등록,치매조기검진사업,치매예방교실,치매환자쉼터,치매가족교실,치매치료비지원,치매환자조호물품지원,치매인식개선사업 등",,부산광역시 강서구 보건소,2019-04-29,3360000,부산광역시 강서구
곡성군치매안심센터,치매안심센터,전라남도 곡성군 곡성읍 곡성로 854,전라남도 곡성군 곡성읍 읍내리 220,35.2771340,127.2888866,2018-12,338.54,"검진실, 상담실, 사무실, 프로그램실, 쉼터, 가족카페 등",1,6,0,3,곡성군보건의료원,양애향,061-360-7582,,"인지재활프로그램(인지교실, 원예교실, 공예교실, 웃음교실 등)인지강화프로그램(두근두근 뇌운동 등)치매예방프로그램(원예교실, 공예교실, 웃음교실, 신체활동 등)",061-360-7582,곡성군보건의료원,2019-06-27,4860000,전라남도 곡성군
음성군치매안심센터,치매안심센터,충청북도 음성군 음성읍 수정로 49,충청북도 음성군 음성읍 읍내리 406-4,36.9285496,127.6887223,2018-01,,사무실(1)교육실(1),1,8,0,작업치료사(2),음성군보건소,이순옥,043-872-2136,,치매조기검진,043-871-3114,음성군,2019-06-18,4470000,충청북도 음성군
양산시치매안심센터,치매안심센터,경상남도 양산시 중앙로 7-32,경상남도 양산시 다방동 506-3,35.3321575252,129.037993386,2018-03,577,,3,8,1,7,양산시치매안심센터,김현민,055-392-5175,,"치매조기검진 및 예방 사업, 치매치료비 지원, 치매 환자 및 가족 지원 사업",055-392-5175,양산시보건소,2019-06-25,5380000,경상남도 양산시
남구치매안심센터,치매안심센터,부산광역시 남구 수영로 155(대연동),부산광역시 남구 대연동 1768-3,35.134955611,129.083553284,2018-04,364.55,1-2층,0,5,2,4,남구보건소치매안심센터,센터장 허목,051-607-3781,,"인지재활프로그램, 고위험군 인지강화교실, 치매예방교실 등",051-607-3781,남구보건소치매안심센터,2019-06-25,3310000,부산광역시 남구
계룡시 치매센터,치매안심센터,충청남도 계룡시 장안로 54,충청남도 계룡시 금암동 32823,36.2730058,127.250047,2018-01,165,치매주간보호센터(위탁),0,0,0,0,계룡시보건소,임채희,042-841-5522,2016-01-01,치매인지재활프로그램,042-840-3571,계룡시보건소,2019-06-01,5580000,충청남도 계룡시
부여군보건소 치매안심센터,치매안심센터,충청남도 부여군 부여읍 성왕로 205 부여군보건소 3층,충청남도 부여군 부여읍 구아리 136 부여군보건소 3층,36.283203,126.909461,2018-07,500,사무실(1)+검진실(1)+상담실(1)+프로그램실(3)+가족카페(1)+로비(1)+사랑방(1),1,7,3,작업치료사(1),충청남도 부여군보건소,김갑수,041-830-8742,,"치매노인 등록 및 관리, 치매노인 및 보호자에 대한 상담, 지원, 치매조기검진, 치매치료관리비 지원 및 치매환자 사례관리, 치매인지재활 프로그램, 치매가족교실 및 자조모임 등",041-830-8600,충청남도 부여군보건소,2020-06-30,4570000,충청남도 부여군
제주동부치매안심센터,치매안심센터,제주특별자치도 제주시 구좌읍 김녕로14길 6,제주특별자치도 제주시 구좌읍 1697-1,33.5543823,126.7513422,2018-06,369.98,사무실(1).검진실(3).쉼터(1).교육실(3).물품창고(1).다목적실(1).카페(1).창고(1),0,6,1,,제주시 동부보건소,오순옥,064-728-7551,,치매조기검진 및 예방사업.등록관리사업.치매가족지원사업.인식개선 및 교육홍보사업. 치매안심마을 운영.실종노인 예방.치매공공후견사업등,064-728-4211,제주시 동부보건소,2020-07-10,6510000,제주특별자치도 제주시
제주시서부치매안심센터,치매안심센터,제주특별자치도 제주시 한림읍 강구로 5,제주특별자치도 한림읍 한림리 966-1,33.4123048366,126.2696786169,2018-06,371,검진실(1).상담실(2).프로그램실(1).쉼터(1).가족카페(1). 사무실(1). 창고(1),1,4,2,작업치료사(1),제주시 서부보건소,이승훈,064-728-8661,,무료치매검사. 치매환자 및 가족 상담. 인지재활프로그램 등,064-728-4111,제주시서부보건소,2020-07-10,6510000,제주특별자치도 제주시
삼척시치매안심센터,치매안심센터,강원도 삼척시 척주로 76,강원도 삼척시 남양동 347-4,37.4437498067,129.172207,2017-12,555.84,,1,8,0,3,삼척시보건소,손태도,033-570-4678,,"치매조기검진, 치매환자 등록관리, 치매예방교실, 치매환자 쉼터 운영 등",033-572-4000,삼척시보건소,2019-05-15,4240000,강원도 삼척시
종로구 치매안심센터,치매안심센터,서울특별시 종로구 평창문화로 50,서울특별시 종로구 평창동 235-2,37.60542184,126.9669268,2009-06,475.52,사무실(1)+가족카페(1)+기억키움학교(1)+프로그램실(1)+진료실(1)+검진실(2)+강당(1)+서고(1)+화장실(4),1,4,4,팀장(1)+작업치료사(4)+운동처방사(1),서울대학교병원,박지은,02-3675-9001,2018-01-01,"치매예방 및 인식개선사업,치매조기검진 사업,치매예방등록관리 사업,저소득층 치매치료비 및 원인확진검사비 지원 사업,치매지역사회자원강화 사업 등",02-2148-3602,서울특별시 종로구보건소,2020-07-03,3000000,서울특별시 종로구
문경시치매안심센터,치매안심센터,"경상북도 문경시 점촌1길 13, 1층",경상북도 문경시 점촌동 234-12,36.596348,128.1980079599,2019-08,337.73,"사무실1, 검사실1, 상담실1, 프로그램실2, 회의실1, 가족카페1",1,11,2,4,문경시보건소,유시일,054-555-2033,,"치매조기검진, 치매쉼터운영, 치매보듬마을운영, 치매조호물품지원, 치매치료비지원",054-550-8084,문경시보건소,2020-07-13,5120000,경상북도 문경시
당진시치매안심센터,치매안심센터,충청남도 당진시 서부로 56,충청남도 당진시 채운동 1004,36.88740257,126.6300054,2018-12,831,5,0,9,4,6,당진시보건소,이인숙,041-360-6075,,"치매조기검진, 사랑채, 쉼터, 권역별쉼터, 고대안심마을, 가족지원, 치매인식개선, 치매파트너",041-360-6075,당진시보건소,2020-07-10,5680000,충청남도 당진시
부산광역시 동구,치매안심센터,부산광역시 동구 구청로 14,부산광역시 동구 수정동 819-54,35.12832585,129.0450622,2018-03,387.92,"사무실, 검진실, 프로그램실, 가족카페, 다목적홀, 옥상정원 등",0,6,3,3,부산광역시 동구보건소,김유정,051-440-6443,,"치매조기검진, 쉼터, 인지재활프로그램, 가족지원사업 등",051-440-6443,부산광역시 동구보건소,2019-09-20,3270000,부산광역시 동구
강화군치매안심센터,치매안심센터,인천광역시 강화군 강화읍 충렬사로 26-1,인천광역시 강화군 강화읍 남산리 324-1,37.7365705590,126.4853766463,2019-10,485.9,사무실(2)+프로그램실(2)+검사실(1)+가족카페(1)+대기실(1),1,2,5,11,강화군보건소,이강미,032-930-4057,,치매 무료 상담 및 무료치매검사 등,032-930-4001,인천광역시 강화군청,2019-09-20,3570000,인천광역시 강화군
청송군치매안심센터,치매안심센터,경상북도 청송군 의료원길 19,경상북도 청송군 청송읍 금곡리 1056-54,36.4310601,129.0522753,2018-12,413,사무실(1)+프로그램실(1)+회의실(1)+진단실(1)+가족카페(1),0,8,2,작업치료사(1),청송군보건의료원,김병탁,054-870-7341,,"치매조기검진, 치매환자쉼터, 인지강화교실, 치매예방교실, 치매예방교육, 치매서포터즈 및 치매극복선도단체 양성, 치매보듬마을 운영, 우리마을예쁜치매쉼터운영, 치매환자사례관리, 치매환자가족교실,자조모임운영,치매치료관리비지원, 조호물품제공, 배회인식표 및 지문인기 등록, 치매극복 전국걷기행사, 치매극복의날 기념 행사,치매관사업 DB자료 등록 및 분석",,청송군청,2019-09-09,5160000,경상북도 청송군
강진군치매안심센터,치매안심센터,전라남도 강진군 강진읍 목리길 11,,34.6381127,126.7754739,2017-11,399,"사무실1, 가족카페1, 교육실1, 쉼터1, 검진실1, 프로그램실1",1,3,2,1,강진군보건소,강진군보건소장,061-430-3544,,두뇌튼튼 기억튼튼 쉼터교실,061-430-3544,강진군보건소,2019-09-11,4920000,전라남도 강진군
대전광역시 중구 치매안심센터,치매안심센터,대전광역시 중구 중앙로 100,대전광역시 중구 대흥동 499-1,36.3252790,127.4213264,2020-08,647,"사무실(1), 프로그램실(3), 로비 등",2,6,1,7,대전광역시 중구보건소,구기희,042-288-8182,,"치매환자 등록 관리, 가족교육, 예방교육, 치매검사, 인지훈련 등",042-288-8182,대전광역시 중구,2019-09-11,3650000,대전광역시 중구
사천시치매안심센터,치매안심센터,경상남도 사천시 중앙로 212(벌리동),경상남도 사천시 벌리동 104-1,34.563846,128.453570,2019-07,746.15,,2,7,1,2,사천시보건소,유영권,055-831-5860,,"치매조기검진 및 등록사업, 사례관리, 치매치료관리비 지원, 조호물품제공, 치매환자 쉼터 및 가족카페 운영, 치매인식개선 및 교육홍보, 치매어르신 실종예방 사업 등",055-831-5860,사천시보건소,2019-09-11,5340000,경상남도 사천시
서구치매안심센터,치매안심센터,인천광역시 서구 승학로263,인천광역시 서구 심곡동 325-1,37.5462409161,126.6721504111,2012-04,95.4,"치매환자쉼터, 치매가족카페",1,7,2,3,인천참사랑병원,천영훈,032-567-9115,,"치매선별검사및 진단검사, 치매환자 인지재활프로그램(음악,미술,원예,작업치료)",032-560-5917,인천서구보건소,2019-08-30,3560000,인천광역시 서구
고령군치매안심센터,치매안심센터,경상북도 고령군 대가야읍 왕릉로 56-5,경상북도 고령군 지산리 232-8,35.7252340813,128.264814501,2018-08,265.1,"로비, 사무실, 교육상담실, 검진실, 쉼터 및 가족카페, 프로그램실",1,2,2,2,고령군보건소,김곤수,054-950-7961,,"치매예방프로그램, 고위험군인지강화프로그램, 치매조기검진 및 진단·감별검사, 치매환자쉼터, 가족교실, 치매환자 맞춤형 사례관리, 인식개선 및 홍보사업",054-954-1300,고령군보건소,2019-05-15,5200000,경상북도 고령군
옥천군치매안심센터,치매안심센터,충청북도 옥천군 옥천읍 가화4길 18,충청북도 옥천군 옥천읍 금구리 230-20,36.30508487,127.5612257,2019-06,,사무실(2)+건강교실(1)+검사실(2)+가족카페(1)+쉼터(1)+프로그램실(1),0,7,0,2,옥천군치매안심센터,임순혁,043-730-2158,,"무료치매검사,어울림쉼터교실,치매예방교실,웹코트,인지강화교실 등",,옥천군청,2020-07-15,4430000,충청북도 옥천군
