체험마을명,시도명,시군구명,체험프로그램구분,체험프로그램명,보유시설정보,체험휴양마을면적,체험휴양마을사진,소재지도로명주소,대표자성명,대표전화번호,지정일자,홈페이지주소,관리기관명,위도,경도,데이터기준일자,제공기관코드,제공기관명
시항골마을,충청북도,영동군,자연생태체험,"포도따기,장수풍뎅이 체집,전통놀이 등",펜션 및 교육관등,2010,,충청북도 영동군 학산면 용화양강로 1359,이준호,043-744-5900,2011-06-15,www.sihang.co.kr,충청북도 영동군청 농정과,36.0829844,127.7240106,2018-02-23,4440000,충청북도 영동군
황금을따는마을,충청북도,영동군,전통문화체험,"옹기체험, 염색하기등",펜션 및 교육관등,1500,,충청북도 영동군 영동읍 임계길 249,양해찬,043-743-0187,2012-01-15,goldfruitvillage.tistory.com,충청북도 영동군청 농정과,36.1678651,127.8480999,2018-02-23,4440000,충청북도 영동군
궁터마을,경상북도,문경시,만들기체험,,,,,경상북도 문경시 농암면 궁터길 184,여상일,,2010-12-20,,문경시,36.6139253982,127.9633034634,2020-03-27,6470000,경상북도
주곡리마을,충청북도,영동군,농작물경작체험,"포도따기, 두부만들기등",펜션등,180,,충청북도 영동군 영동읍 주곡1길 5,김청자,,2012-05-15,www.no1podo.kr,충청북도 영동군청 농정과,36.1741381,127.8236786,2018-02-23,4440000,충청북도 영동군
금도끼은도끼,충청북도,영동군,농작물경작체험,포도따기등,펜션 및 교육관등,946,,충청북도 영동군 심천면 고당리 458-2,이병호,,2014-12-15,,충청북도 영동군청 농정과,36.2109203,127.7051169,2018-02-23,4440000,충청북도 영동군
매곡옥륵촌마을,충청북도,영동군,농작물경작체험,"포도따기, 산나물채취등",체험관등,2698,,충청북도 영동군 매곡면 강진리 844-2,김광동,,2015-06-17,,충청북도 영동군청 농정과,36.1593449,127.9481896,2018-02-23,4440000,충청북도 영동군
청웅수풍마을,전라북도,임실군,농작물경작체험,,"겸용(체험관,숙박관)",,,전라북도 임실군 청웅면 향교2길 42-13,한남기,,2014-10-15,,전라북도 임실군청,35.5841286,127.2042534,2020-01-01,4760000,전라북도 임실군
임실치즈마을,전라북도,임실군,만들기체험,,"체험관,숙박관",,,전라북도 임실군 임실읍 치즈마을1길 4,송기봉,,2011-04-21,,전라북도 임실군청,35.6362587,127.2948153499,2020-01-01,4760000,전라북도 임실군
광주콩종합센터,광주광역시,남구,전통음식체험,,체험관,,,광주광역시 남구 압촌길 78 (압촌동),김태규,062-385-0455,2018-01-10,http://blog.naver.com/goosanbean,광주광역시 남구,35.092416,126.838623,2020-04-16,3610000,광주광역시 남구
월선마을,전라남도,무안군,만들기체험,,"마을회관, 체험관, 숙소 등",,,전라남도 무안군 청계면 예술촌길 148,백금표,061-452-5556,2011-11-10,http://www.worlsun.co.kr/,무안군,34.8920009634,126.4563083478,2020-04-14,4950000,전라남도 무안군
창동마을,전라남도,곡성군,자연생태체험,"블루베리, 포도따기, 한복입기, 자전거타기",체험관,5,,전라남도 곡성군 오곡면 기차마을로 235-9,주기택,000-0000-0000,2018-03-31,http://www.changdong.kr,곡성군,35.276026,127.306971,2019-06-27,4860000,전라남도 곡성군
송전마을,전라남도,곡성군,만들기체험,"솔방울공예, 와이어아트, 클레이아트, 솔향비누공예",체험관,95,,전라남도 곡성군 입면 송전내동길 25 입면 입면로 495,진규석,000-0000-0000,2018-03-31,,곡성군,35.306221,127.187772,2019-06-27,4860000,전라남도 곡성군
안개마을,전라남도,곡성군,전통문화체험,"업싸이클링, 가마솥, 멜론빙수, 전통놀이 체험",체험관,5.4,,전라남도 곡성군 고달면 고산로 39-18,정재근,000-0000-0000,2016-12-31,http://www.안개마을.com/,곡성군,35.289789,127.645377,2019-06-27,4860000,전라남도 곡성군
칠봉마을,전라남도,곡성군,농작물경작체험,"목화돼지감자, 연근, 하지감자, 땅콩 등",체험관,1.5,,전라남도 곡성군 겸면 칠봉길 87,김진호,000-0000-0000,2014-11-30,http://www.cotton-vill.co.kr/,곡성군,35.247292,127.179484,2019-06-27,4860000,전라남도 곡성군
용암마을,전라남도,곡성군,자연생태체험,"은어잡기, 하우스물놀이체험, 국궁체험, 펜백숲걷기 힐링체험",체험관,539,,전라남도 곡성군 목사동면 용사용암길 14-1,신종국,000-0000-0000,2014-11-30,http://www.용바위.kr/,곡성군,35.129141,127.312642,2019-06-27,4860000,전라남도 곡성군
죽산마을,전라남도,곡성군,자연생태체험,사과따기체험에코백체험 방향제체험 인절미체험 땅콩캐기체험 고구마캐기체험,체험관,5.4,,전라남도 곡성군 겸면 죽산 하늘재길 42,문용순,000-0000-0000,2011-11-30,http://www.bongjori.com/,곡성군,35.233739,127.175084,2019-06-27,4860000,전라남도 곡성군
봉조농촌체험학교,전라남도,곡성군,자연생태체험,"계절별농사체험(모내기,감자수확,매실수확고추수확, 밤수확, 고구마수확)창의생태체험(천연염색, 천연비누, 밤쨈만들기나무액자)",체험관,36,,전라남도 곡성군 오곡면 봉조길 114,심재운,000-0000-0000,2011-08-31,http://www.bongjori.com/,곡성군,35.214683,127.360315,2019-06-27,4860000,전라남도 곡성군
두계마을,전라남도,곡성군,산촌생활체험,"외갓집농사체험, 생태체험, 메주만들기",체험관,62,,전라남도 곡성군 고달면 두계길 126,김종현,000-0000-0000,2011-08-31,http://www.dugye.co.kr/,곡성군,35.243749,127.379089,2019-06-27,4860000,전라남도 곡성군
지역사랑농촌체험마을,전라남도,순천시,기타,제과제빵+공방체험+모내기체험+허브분화만들기+농산물수확체험,체험학습장+교육연수원+조리실,,,전라남도 순천시 승주읍 내상로 353,조병철,061-755-3726,2018-05-30,http://naesang-school.blog.me/,지역사랑농촌체험마을,35.0403685,127.222331,2019-06-30,6460000,전라남도
안산골농촌체험마을,전라남도,순천시,만들기체험,조청만들기+보리된장만들기+천연염색+캔들공예,체험관(주방+사무실포함)+관리시,,,전라남도 순천시 서면 신기비월길 69,장원중,061-755-0081,2018-01-08,http://ansangol.blog.me/,안산골농촌체험마을,35.01479426,127.4521427,2019-06-30,6460000,전라남도
개랭이고들빼기마을,전라남도,순천시,기타,고들빼기김치체험+고모떡만들기체험+농산물수확체험,테마관(주방사무실전시실포함)+황도민박 4동,,,전라남도 순천시 별량면 흑가길 6,김창석,061-745-1255,2010-12-01,http://www.gerenge.com,개랭이고들빼기마을,34.8861765,127.3850411,2019-06-30,6460000,전라남도
순천만짱둥어마을,전라남도,순천시,기타,대나무낚시체험+농산물수확체험+짱둥어구이체험,체험관(매점+체험관포함)+낚시체험장,,,전라남도 순천시 별량면 일출길 198,정택규,061-744-7473,2015-12-01,http://www.scjangsan.com/,순천만짱둥어마을,34.8633462,127.4877663,2019-06-30,6460000,전라남도
거차뻘배체험장,전라남도,순천시,어촌생활체험,뻘배타기체험+꼬막캐기체험,뻘배체험장+매점식당사무실+샤워실,,,전라남도 순천시 별량면 거차길 57-16,김만석,061-745-8837,2013-12-01,http://geocha.co.kr/,거차뻘배체험장,34.837174,127.4466358,2019-06-30,6460000,전라남도
순천향매실마을,전라남도,순천시,농작물경작체험,매실수확체험+매화부채만들기+매실장아찌 담그기,향매관+사무실및 판매장+인성학교 교육장숙박시설+정자5동+야외화장실샤워실,,,전라남도 순천시 월등면 계월길 138,권종국,061-754-2337,2007-12-01,http://www.향매실.kr,순천향매실마을,35.0621793,127.4045015,2019-06-30,6460000,전라남도
호박손마을,경기도,양평군,농작물경작체험,농촌체험,체험관,,,경기도 양평군 용문면 상망길 72,박연원,,2016-10-20,http://www.ypnadri.com/,(사)양평농촌나드리,37.5395532551,127.6357363695,2019-06-04,4170000,경기도 양평군
편전마을(용천체험나라),경기도,양평군,농작물경작체험,농촌체험,체험관,,,경기도 양평군 옥천면 용천로 130,함세원,,2015-02-12,http://www.ypnadri.com/,(사)양평농촌나드리,37.5348564526,127.4878124249,2019-06-04,4170000,경기도 양평군
산음휴양림 달빛마을,경기도,양평군,농작물경작체험,농촌체험,체험관,,,경기도 양평군 단월면 산음안골길 6,김연호,,2015-02-04,http://www.ypnadri.com/,(사)양평농촌나드리,37.6033778417,127.5994048381,2019-06-04,4170000,경기도 양평군
별빛체험마을,경기도,양평군,농작물경작체험,농촌체험,체험관,,,경기도 양평군 단월면 통골길 18-11,민병곤,,2015-01-16,http://www.ypnadri.com/,(사)양평농촌나드리,37.6066846946,127.6810940195,2019-06-04,4170000,경기도 양평군
숲속의 명품마을,경기도,양평군,농작물경작체험,농촌체험,체험관,,,경기도 양평군 청운면 수풀길 37,이종필,,2013-09-25,http://www.ypnadri.com/,(사)양평농촌나드리,37.5427742178,127.7020358924,2019-06-04,4170000,경기도 양평군
별내체험마을,경기도,양평군,농작물경작체험,농촌체험,체험관,,,경기도 양평군 용문면 월성1길 61,신창선,,2013-09-25,http://www.ypnadri.com/,(사)양평농촌나드리,37.4698062609,127.5630052247,2019-06-04,4170000,경기도 양평군
옹달샘꽃누름마을,경기도,양평군,농작물경작체험,농촌체험,체험관,,,경기도 양평군 용문면 궁촌길29번길 12-1,홍석기,,2013-03-22,http://www.ypnadri.com/,(사)양평농촌나드리,37.4618635607,127.6078863094,2019-06-04,4170000,경기도 양평군
소리산마을,경기도,양평군,농작물경작체험,농촌체험,체험관,,,경기도 양평군 단월면 물레골길 6,허상구,,2013-02-25,http://www.ypnadri.com/,(사)양평농촌나드리,37.6413938630,127.6038554637,2019-06-04,4170000,경기도 양평군
나실마을,경상북도,문경시,만들기체험,천연염색,,,,경상북도 문경시 마성면 하내1길 32-32,이경애,,2010-06-28,http://www.nasil.kr/main/main.php,문경시청,36.654923,128.090878,2019-04-25,5120000,경상북도 문경시
궁터마을,경상북도,문경시,만들기체험,짚공예,,,,경상북도 문경시 농암면 궁터길 184,여상일,054-571-8395,2010-12-20,http://www.gunggi.co.kr/main/index,문경시청,36.614094,127.9633200,2019-04-25,5120000,경상북도 문경시
후촌갈대숲마을,전라북도,부안군,기타,오디따기+절임배추+감자심기+자전거타기+갯벌체험+삼각김밥만들기+갈대공예,정보화센터+체험관+마을모정+마을회관,1995,http://hc.invil.org/index.html?menuno=4069&lnb=10101,전라북도 부안군 줄포면 후촌길 67,황복이,063-583-3099,2012-12-28,http://hc.invil.org,전라북도 부안군청,35.5942072167,126.6737755380,2019-12-11,4790000,전라북도 부안군
운호마을,전라북도,부안군,기타,돼지감자수확+돼지감자차만들기+천연염색+계곡물놀이+비누만들기,정보화센터+방문자센터+마을모정+마을회관,526,http://unho.invil.org/index.html?menuno=3873&lnb=10201,전라북도 부안군 진서면 운호길 29,김성구,063-584-7366,2012-10-29,http://unho.invil.org,전라북도 부안군청,35.595204,126.5613978471,2019-12-11,4790000,전라북도 부안군
각동마을,전라북도,부안군,기타,오디따기체험+뽕잎차만들기+뽕잎수제비만들기+땅콩수확+황토찜질,황토체험방+마을회관+오디체험장,1260.8,,전라북도 부안군 줄포면 선돌로 1377-9,이성우,063-581-5369,2012-10-29,,전라북도 부안군청,35.5962622063,126.6791654780,2019-12-11,4790000,전라북도 부안군
천생연분마을,경기도,양주시,전통음식체험,"연꽃축제, 연꽃체험, 김장체험 등",정보화 마을회관,,,경기도 양주시 장흥면 일영로502번길 105,최경호,031-855-6223,2010-02-12,http://lotus.invil.org/index.html,양주시 농업정책과,37.6912407579,126.9302809,2019-11-15,5590000,경기도 양주시
전원일기마을,경기도,양주시,농작물경작체험,"논두렁 모내기, 미꾸라지 잡기, 매실청담그기, 등","전원일기마을 나눔센터, 캠핑장",,,경기도 양주시 장흥면 일영로376번길 40,이대영,031-875-2349,2016-01-22,http://www.jeonwonilgi.com/main/main.php,양주시 농업정책과,37.6779933170,126.9252781228,2019-11-15,5590000,경기도 양주시
비암장수팜스테이마을,경기도,양주시,농작물경작체험,"고구마심기, 감자케기, 벼수확 등","농촌체험관, 마을회관",,,경기도 양주시 광적면 부흥로21번길 5,김상철,031-836-3608,2014-11-14,http://www.비암장수팜스테이마을.kr/home/index.php,양주시 농업정책과,37.8055726745,126.9126951675,2019-11-15,5590000,경기도 양주시
초록지기마을,경기도,양주시,자연생태체험,"초록교실, 생태연못, 숲 속 탐방 등",마을회관,,,경기도 양주시 남면 양연로173번길 26,박상덕,031-863-4666,2012-09-24,http://chorok.invil.org/index.html,양주시 농업정책과,37.9227862027,126.9974558,2019-11-15,5590000,경기도 양주시
맹골마을,경기도,양주시,전통음식체험,"미술체험, 발효음식체험, 한지 및 칠보체험, 전통주 체험 등","종합체험장, 미술체험장, 마을회관, 전통주체험장, 발효음식체험장",,,경기도 양주시 남면 휴암로443번길 29-6,백종하,031-863-6978,2016-03-09,http://mengol.invil.org/index.html,양주시 농업정책과,37.893361,126.9582629,2019-11-15,5590000,경기도 양주시
주읍리 산수유꽃마을,경기도,양평군,농작물경작체험,농촌체험,체험관,,,경기도 양평군 개군면 산수유꽃길 88,곽명신,,2013-02-22,http://www.ypnadri.com/,(사)양평농촌나드리,37.4348113792,127.5781107693,2019-06-04,4170000,경기도 양평군
학곡체험마을,경기도,양평군,농작물경작체험,농촌체험,체험관,,,경기도 양평군 강상면 학곡양지말길 35-10,이형훈,,2012-05-24,http://www.ypnadri.com/,(사)양평농촌나드리,37.4696896157,127.4649863774,2019-06-04,4170000,경기도 양평군
천탑마을,충청남도,공주시,농작물경작체험,"편백나무 숲 해먹타기체험, 알밤줍기체험, 시냇물 물놀이체험","체험관, 야외화장실 및 샤워실, 비가림시설, 이동식 숙박시설",,,충청남도 공주시 사곡면 부곡산성로 139,김달수,000-0000-0000,2012-06-21,http://1000top.invil.org/index.html,충청남도 공주시청,36.5899416,127.0195321,2019-06-07,4500000,충청남도 공주시
어무실 구정승마을,충청남도,공주시,농작물경작체험,"재래식 모내기체험, 농작물 수확체험, 새참먹기","체험관, 비가림시설, 마을회관",,,충청남도 공주시 정안면 어물음지말길 1,최상규,000-0000-0000,2016-05-09,,충청남도 공주시청,36.6018925,127.1444826,2019-06-07,4500000,충청남도 공주시
소랭이 마을,충청남도,공주시,농작물경작체험,"율피비누만들기, 짚풀공예, 알밤줍기체험, 인절미 만들기","마을권역센터, 황토방, 족구장",,,충청남도 공주시 정안면 정안마곡사로 396,임동영,000-0000-0000,2013-05-01,http://www.soraengi.com/,충청남도 공주시청,36.6275983,127.0836753,2019-06-07,4500000,충청남도 공주시
밤톨이 마을,충청남도,공주시,농작물경작체험,알밤줍기체험 및 밤가공 음식만들기 체험,"알밤체험장, 저장고, 알밤가공공장",,,충청남도 공주시 정안면 북계새뜸길 61,복명규,000-0000-0000,2013-11-12,http://jeonganbam.invil.org/index.html,충청남도 공주시청,35.5609778,127.1233971,2019-06-07,4500000,충청남도 공주시
달빛영근 마을,충청남도,공주시,농작물경작체험,"시냇물 생태체험, 알밤줍기체험","체험관, 마을권역센터, 비가림시설, 마을회관",,,충청남도 공주시 정안면 쌍달길 160,김표상,000-0000-0000,2012-06-21,www.아름풀꽃.com,충청남도 공주시청,36.5759627,127.0916265,2019-06-07,4500000,충청남도 공주시
꽃내미 풀꽃이랑 마을,충청남도,공주시,농작물경작체험,"알밤경단만들기, 떡메치기, 두부만들기","체험관, 족욕체험장, 숙박시설, 연못다리",,,충청남도 공주시 정안면 고성1길 250-34,임성복,000-0000-0000,2011-12-08,http://pulkkotirang.com/,충청남도 공주시청,36.5918953,127.0874132,2019-06-07,4500000,충청남도 공주시
칠갑산산꽃마을,충청남도,청양군,자연생태체험,"야생화 심기 체험, 꽃사탕 만들기, 연꽃단지 관찰, 물탕골 숲 관찰, 짚풀공예",,23100,,충청남도 청양군 대치면 까치내로 1063-1,장광석,041-944-2007,2010-08-01,cafe.daum.net/cy0401,충청남도 청양군청,36.409484,126.835865,2019-05-09,4590000,충청남도 청양군
신도정보화마을,경상북도,청도군,농작물경작체험,딸기따기체험+감따기체험,,150,,경상북도 청도군 청도읍 새마을안길 7-4,김종석,054-373-4007,2009-04-05,http://sindo.invil.org,경상북도 청도군청,35.5995559,128.765097,2019-05-13,5190000,경상북도 청도군
송금녹색농촌체험마을,경상북도,청도군,만들기체험,민속놀이체험+감따기체험,,93,http://mornletter.blog.me/80143511904,경상북도 청도군 화양읍 송금길 17,김대호,054-373-1904,2014-03-10,http://sgmaul.modoo.at,경상북도 청도군청,35.708568,128.722129,2019-05-13,5190000,경상북도 청도군
백연지 녹색체험마을,경상북도,청도군,만들기체험,차만들기+도자기만들기,,93,,경상북도 청도군 이서면 수야길 195,손태남,,2012-03-08,,경상북도 청도군청,35.671911,128.649416,2019-05-13,5190000,경상북도 청도군
성수월마을,경상북도,청도군,만들기체험,부채만들기+미나리따기+피자만들기,,129,https://blog.naver.com/iiiddd1230/221128137235,경상북도 청도군 풍각면 장기길 7 그린투어센터,윤상권,054-371-1170,2012-02-08,http://sungsuwolvillage.modoo.at,경상북도 청도군청,35.660921,128.583659,2019-05-13,5190000,경상북도 청도군
문경오미자권역마을,경상북도,문경시,만들기체험,,,,,경상북도 문경시 동로면 노은1길 26,한명호,,2013-11-20,,문경시,36.769878,128.3167248608,2020-03-27,6470000,경상북도
수한마을,경상북도,문경시,만들기체험,,,,,경상북도 문경시 동로면 무라이길 217-8,이병우,,2011-12-05,,문경시,36.7346204894,128.2910559971,2020-03-27,6470000,경상북도
나실마을,경상북도,문경시,만들기체험,,,,,경상북도 문경시 마성면 하내1길 32-32,이경애,,2010-06-28,,문경시,36.6547332114,128.0909243545,2020-03-27,6470000,경상북도
우분투 체험휴양마을,경상북도,상주시,농작물경작체험,,,,,경상북도 상주시 모동면 수봉3길 91-16,문희탁,,2018-03-07,,상주시,36.2936551588,127.9372917945,2020-03-27,6470000,경상북도
초록별 체험휴양마을,경상북도,상주시,농작물경작체험,,,,,경상북도 상주시 공검면 비재로 693-3,이상범,,2017-09-14,,상주시,36.521734,128.111944,2020-03-27,6470000,경상북도
오봉산 체험휴양마을,경상북도,상주시,농작물경작체험,,,,,경상북도 상주시 함창읍 신흥3길 1,김회수,,2016-05-01,,상주시,36.5427932564,128.1924236993,2020-03-27,6470000,경상북도
노류 체험휴양마을,경상북도,상주시,농작물경작체험,,,,,경상북도 상주시 내서면 배골길 505,노진택,,2016-01-01,,상주시,36.356954,128.0406888664,2020-03-27,6470000,경상북도
은자골 체험휴양마을,경상북도,상주시,농작물경작체험,,,,,경상북도 상주시 은척면 황령길 9,안종윤,,2014-06-30,,상주시,36.5311998114,128.0030987189,2020-03-27,6470000,경상북도
구마이곶감 체험휴양마을,경상북도,상주시,농작물경작체험,,,,,경상북도 상주시 내서면 우서로 287-4,이상진,,2013-01-29,,상주시,36.452601,128.028471,2020-03-27,6470000,경상북도
한농 체험휴양마을,경상북도,상주시,농작물경작체험,,,,,경상북도 상주시 외서면 송죽동2길 15,전용훈,,2011-10-21,,상주시,36.5239563350,127.957755,2020-03-27,6470000,경상북도
버들뱅이 체험휴양마을,경상북도,상주시,농작물경작체험,,,,,경상북도 상주시 모서면 득수1길 186-13,정일영,,2010-12-27,,상주시,36.335989,127.879368,2020-03-27,6470000,경상북도
밤원 체험휴양마을,경상북도,상주시,농작물경작체험,,,,,경상북도 상주시 내서면 서원3길 29-80,강휘석,,2010-12-17,,상주시,36.441807,128.007548,2020-03-27,6470000,경상북도
대포(정보화)마을,경상남도,산청군,자연생태체험,,,,,경상남도 산청군 삼장면 덕산대포로245번길 28,이서우,055-972-1022,2012-04-04,http://daepo.invil.org,경상남도 산청군청,35.2963543794,127.830287,2020-03-20,5450000,경상남도 산청군
남사예담촌마을,경상남도,산청군,만들기체험,,,,,경상남도 산청군 단성면 지리산대로2919번길 7-13,박태진,070-8199-7107,2011-05-01,www.vedam.go.2vil.org,경상남도 산청군청,35.2738714796,127.9374493699,2020-03-20,5450000,경상남도 산청군
둔철산얼레지피는 마을,경상남도,산청군,만들기체험,,,,,경상남도 산청군 신안면 둔철산로 472번길 37-6,성경모,,2009-01-01,,경상남도 산청군청,35.3739255914,127.9622683690,2020-03-20,5450000,경상남도 산청군
산청지성녹색농촌체험마을,경상남도,산청군,산촌생활체험,,,,,경상남도 산청군 산청읍 웅석봉로 213,김윤태,055-972-2733,2010-12-01,www.jsfarmsstay.kr,경상남도 산청군청,35.4009487781,127.8806296016,2020-03-20,5450000,경상남도 산청군
신안갈전체험마을,경상남도,산청군,만들기체험,,,,,경상남도 산청군 신안면 중촌갈전로 711번길17,강흥구,055-973-6812,2010-12-01,,경상남도 산청군청,35.3606135148,127.9870855604,2020-03-20,5450000,경상남도 산청군
시천반천체험마을,경상남도,산청군,만들기체험,,,,,경상남도 산청군 시천면 반천로 261-15,김경수,055-973-9133,2010-12-01,,경상남도 산청군청,35.2348247543,127.7852742099,2020-03-20,5450000,경상남도 산청군
차황상법체험마을,경상남도,산청군,농작물경작체험,,,,,경상남도 산청군 차황면 황매산로 980번길 42,조용석,,2010-12-01,,경상남도 산청군청,35.4648244,127.9634690616,2020-03-20,5450000,경상남도 산청군
참살이마을,충청남도,충청남도논산시,전통문화체험,,,,,충청남도 논산시 연산면 고정1길 34-15,김완순,041-730-4768,2010-01-01,홈페이지 없음,충청남도논산시,36.1981861206,127.1860845751,2020-03-16,6440000,충청남도
초록꿈틀마을,충청남도,충청남도서산시,전통문화체험,,,,,충청남도 서산시 음암면 두치로 366-1,전양배,041-660-3517,2013-01-01,http://ecoarea.co.kr,충청남도서산시,36.8194622489,126.4878528505,2020-03-16,6440000,충청남도
빛들마을,충청남도,충청남도서산시,전통문화체험,,,,,충청남도 서산시 부석면 마룡심포길 77-7,이충구,041-660-3427,2011-01-01,홈페이지 없음,충청남도서산시,36.6556642831,126.3751126329,2020-03-16,6440000,충청남도
방길동마을,충청남도,충청남도서산시,전통문화체험,,,,,충청남도 서산시 팔봉면 팔봉산로 122,지선하,041-660-3457,2011-01-01,홈페이지 없음,충청남도서산시,36.8194991306,126.3667850385,2020-03-16,6440000,충청남도
별마을,충청남도,충청남도서산시,전통문화체험,,,,,충청남도 서산시 해미면 오학별마을길 30-2,김성만,041-688-3002,2011-01-01,홈페이지 없음,충청남도서산시,36.7194461661,126.5530675946,2020-03-16,6440000,충청남도
솔마당마을,충청남도,충청남도서산시,전통문화체험,,,,,충청남도 서산시 인지면 성리동산길 73,김승구,041-660-3413,2011-01-01,http://www.solmadang.kr,충청남도서산시,36.7838022994,126.4003686815,2020-03-16,6440000,충청남도
고로쇠마을,강원도,인제군,산촌생활체험,"화전민체험,고로쇠수액 채취체험+리버버깅+내린천래프팅",생활편의시설+농어촌체험기반시설+숙박시설+음식제공 및 즉석식품 제조/판매/가공시설,,,강원도 인제군 상남면 내린천로 1477,김창수,,2010-01-22,http://www.misan1.org,강원도 인제군청,37.8640128,128.3292680,2019-09-03,4330000,강원도 인제군
이화만리마을,경상북도,김천시,만들기체험,,,,,경상북도 김천시 농소면 벽봉로 1651,김종용,,2010-11-01,,김천시,36.0716810863,128.177368,2020-03-27,6470000,경상북도
득량예당체험휴양마을,전라남도,보성군,만들기체험,"차훈명상, 한지공예",체험관,708.672,,전라남도 보성군 득량면 예당리 458-34,조익성,5651-1143,2019-06-14,,전라남도 보성군청,34.666852,127.079873,2019-06-27,4890000,전라남도 보성군
벌교마동마을,전라남도,보성군,만들기체험,"국화차만들기,다도, 마을 둘레길 탐방, 컬러꽃밥 체험",체험관,113.68,,전라남도 보성군 벌교읍 마동길 240-10,박은자,2084-2452,2019-04-19,,전라남도 보성군청,34.666852,127.079873,2019-06-26,4890000,전라남도 보성군
농부와바다,전라남도,보성군,만들기체험,"어촌식문화체험(바지락, 쏙 체험)",,188,,전라남도 보성군 회천면 층의로 328-8,정남호,3636-3802,2019-04-03,,전라남도 보성군청,34.666852,127.079873,2019-06-26,4890000,전라남도 보성군
문덕내동,전라남도,보성군,만들기체험,"놀이체험, 숙박",체험관,,,전라남도 보성군 문덕면 문덕내동길 67외,염승연,8597-5641,2018-01-09,,전라남도 보성군청,34.666852,127.079873,2019-06-26,4890000,전라남도 보성군
다향울림촌마을,전라남도,보성군,만들기체험,"천연염색, 올벼쌀 막걸리 담그기, 팥죽만들기",체험관,421,,전라남도 보성군 회천면 남부관광로 2248,김영희,061-852-9855,2016-07-05,,전라남도 보성군청,34.666852,127.079873,2019-06-26,4890000,전라남도 보성군
생초대포한개체험마을,경상남도,산청군,농작물경작체험,,,,,경상남도 산청군 생초면 명지대포로 298-44,김미화,055-974-1038,2010-12-01,,경상남도 산청군청,35.4622094991,127.857792,2020-03-20,5450000,경상남도 산청군
연인산마을,경기도,가평군,만들기체험,나물캐기,숙박시설+농어촌체험기반시설+음식제공,,,경기도 가평군 북면 백둔로 417-11,한용구,,2017-07-11,http://yeoninsan.invil.org,경기도 가평군청,37.901574,127.462411,2019-09-16,4160000,경기도 가평군
산바라기마을,경기도,가평군,만들기체험,목공체험,숙박시설+농어촌체험기반시설+음식제공,,,경기도 가평군 조종면 명지산로 46-27,이순철,,2017-05-24,,경기도 가평군청,37.879172,127.361011,2019-09-16,4160000,경기도 가평군
달콤한 샘마을,경기도,가평군,만들기체험,조청만들기,숙박시설+농어촌체험기반시설+음식제공,,,경기도 가평군 청평면 버들숲로 19-6,채성수,031-585-8597,2016-12-15,,경기도 가평군청,37.757761,127.439135,2019-09-16,4160000,경기도 가평군
잣향기푸른마을,경기도,가평군,만들기체험,잣송이까기,숙박시설+농어촌체험기반시설+음식제공,,,경기도 가평군 상면 축령로70,이정숙,031-4155-5229,2014-01-23,http://gpjit45.modoo.at,경기도 가평군청,37.7741453,127.364544,2019-09-16,4160000,경기도 가평군
반딧불마을,경기도,가평군,만들기체험,산나물캐기,숙박시설+농어촌체험기반시설+음식제공,,,경기도 가평군 설악면 묵안로182,장재만,031-585-8556,2013-08-16,http://bandibul.invil.org,경기도 가평군청,37.6481307,127.4971652,2019-09-16,4160000,경기도 가평군
물미연꽃마을,경기도,가평군,만들기체험,연잎밥만들기,숙박시설+농어촌체험기반시설+음식제공,,,경기도 가평군 설악면 미사리로645번길 185-90,이성자,031-584-6926,2014-01-16,http://mulmi.kr/,경기도 가평군청,37.7183428,127.5226816,2019-09-16,4160000,경기도 가평군
옻샘마을,경기도,가평군,만들기체험,통나무집짓기,숙박시설+농어촌체험기반시설+음식제공,,,경기도 가평군 설악면 묵안로654번길 33-13,강수영,031-584-9339,2012-04-27,http://otsaem.co.kr/,경기도 가평군청,37.6198962,127.5135009,2019-09-16,4160000,경기도 가평군
초롱이둥지마을,경기도,가평군,만들기체험,맨손메기잡기,숙박시설+농어촌체험기반시설+음식제공,,,경기도 가평군 설악면 묵안로906,강병옥,031-584-9959,2011-06-10,http://www.chorongi.kr,경기도 가평군청,37.6031205,127.5248549,2019-09-16,4160000,경기도 가평군
버섯구지마을,경기도,가평군,만들기체험,피자만들기,숙박시설+음식제공+농어촌체험기반시설,,,경기도 가평군 조종면 대보간선로173,임광현,031-584-9614,2011-05-03,http://www.bsgujishop.com,경기도 가평군청,37.8094817,127.364268,2019-09-16,4160000,경기도 가평군
별바라기마을,경기도,가평군,만들기체험,별관찰하기,숙박시설+농어촌체험기반시설,,,경기도 가평군 조종면 명지산로325,김석기,031-585-3823,2011-02-21,http://www.byeolbaragi.com/,경기도 가평군청,37.9013378,127.3725974,2019-09-16,4160000,경기도 가평군
아침고요푸른마을,경기도,가평군,만들기체험,잣소세지만들기,농어촌체험기반시설+음식제공,,,경기도 가평군 상면 수목원로 262-22,류재혁,031-585-3633,2011-10-27,http://bluevillage.kr,경기도 가평군청,37.7552729,127.3595446,2019-09-16,4160000,경기도 가평군
포도향이흐르는마을,경기도,가평군,만들기체험,포도따기,숙박시설+농어촌체험기반시설,,,경기도 가평군 상면 음지말로6,송재윤,031-585-6262,2011-10-26,http://korean.visitkorea.or.kr,경기도 가평군청,37.8315059,127.2912812,2019-09-16,4160000,경기도 가평군
