마을기업명,마을기업구분,법인명,법인형태구분,소재지도로명주소,소재지지번주소,위도,경도,마을기업설립년월,마을기업인증년월,마을기업대표자명,마을기업대표전화번호,마을기업홈페이지,마을기업회원수,마을기업목적사업,마을기업주요상품,상품관련인증정보,관리기관전화번호,관리기관명,데이터기준일자,제공기관코드,제공기관명
광진아이누리애  사회적협동조합,자립형,광진아이누리애  사회적협동조합,협동조합,서울특별시 광진구 광나루로 507,서울특별시 광진구 구의동 68-37,37.545198,127.085894,2013-11,2013-12,박꽃별,070-8263-1211,barunstore.com,,부모공동체 육아교육,"공동육아, 부모교육, 식품제조물품",,02-450-7247,서울특별시 광진구청,2019-02-28,3040000,서울특별시 광진구
한국동화 사회적협동조합,2차년도,한국동화 사회적협동조합,협동조합,서울특별시 광진구 능동로23길 12 (군자동),서울특별시 광진구 군자동 246,37.552091,127.076232,2016-02,2017-06,조명숙,02-2135-5003,www.kdonghwa.com/,,동화 스토리텔러 양성 및 동화 구연 사업,"동화 구연, 캐릭터 제작",,02-450-7247,서울특별시 광진구청,2019-02-28,3040000,서울특별시 광진구
정들포에 핀 울릉국화,기타,천부권역영농조합,영농조합,경상북도 울릉군 북면 석포길 517-4,,,,2017-04,2014-04,이덕준,054-790-6273,,6,지역특산물활용산업,지역특산물활용제품,,054-790-6273,경상북도 울릉군청,2018-08-30,5260000,경상북도 울릉군
외갓집마당 영농조합법인,자립형,외갓집마당 영농조합법인,영농조합,강원도 영월군 상동읍 태백산로 2527,강원도 영월군 상동읍 내덕리 272,,,2009-11,2010-10,김옥미,033-373-2583,,5,"두부, 야생화판매, 체험사업","두부, 야생화판매, 체험사업",,033-370-2355,강원도 영월군청,2018-08-27,4270000,강원도 영월군
산골마을 영농조합법인,자립형,산골마을 영농조합법인,영농조합,강원도 영월군 상동읍 태백산로 2458-9,강원도 영월군 상동읍 내덕리 297-3,,,2010-12,2011-07,한은자,033-378-3061,,5,절임배추판매,절임배추,,033-370-2355,강원도 영월군청,2018-08-27,4270000,강원도 영월군
유전리 영농조합법인,자립형,유전리 영농조합법인,영농조합,강원도 영월군 중동면 유전길 109,강원도 영월군 중동면 녹전리 724-5,,,2011-05,2011-07,이재식,000-000-0000,,7,절임배추판매,절임배추,,033-370-2355,강원도 영월군청,2018-08-27,4270000,강원도 영월군
영월한가람영농조합법인,자립형,영월한가람영농조합법인,영농조합,강원도 영월군 남면 서강로 1855,강원도 영월군 남면 북쌍리 281-30,,,2012-07,2012-08,최봉수,000-000-0000,,5,장류판매,장류,,033-370-2355,강원도 영월군청,2018-08-27,4270000,강원도 영월군
덕전영농조합법인,자립형,덕전영농조합법인,영농조합,강원도 영월군 북면 덕전길 131,강원도 영월군 북면 덕상리 467-1,,,2012-04,2012-10,김성달,033-372-0423,,5,잡곡가공,잡곡,,033-370-2355,강원도 영월군청,2018-08-27,4270000,강원도 영월군
예밀포도마을팜스테이영농조합법인,자립형,예밀포도마을팜스테이영농조합법인,영농조합,강원도 영월군 김삿갓면 포도마을길 31,강원도 영월군 김삿갓면 예밀리 799-2,,,2012-02,2013-05,전경래,033-372-2450,www.hyemil.com,10,"농산물판매, 된장만들기 체험","잡곡, 농산물",,033-370-2355,강원도 영월군청,2018-08-27,4270000,강원도 영월군
산솔마을 영농조합법인,자립형,산솔마을 영농조합법인,영농조합,강원도 영월군 중동면 태백산로 1566-1,강원도 영월군 중동면 녹전리 164,,,2011-03,2013-11,임병주,033-378-2306,,16,고사리 가공,고사리,,033-370-2355,강원도 영월군청,2018-08-27,4270000,강원도 영월군
효자백년밥상영농조합법인,신규,효자백년밥상영농조합법인,영농조합,강원도 영월군 북면 삼방산길 513-4,강원도 영월군 북면 공기리 1298,,,2014-02,2016-07,정봉자,000-000-0000,,33,식품가공 및 제조판매,산채,,033-370-2355,강원도 영월군청,2018-08-27,4270000,강원도 영월군
돌배마을협동조합,신규,돌배마을협동조합법인,협동조합,강원도 영월군 중동면 직동로 485-8,,,,2017-01,2017-06,이봉희,033-378-5390,,,친환경고사리재배판매,고사리,,033-370-2355,강원도 영월군청,2018-08-27,4270000,강원도 영월군
우명동 참기름마을,자립형,우명동 참기름마을 영농조합법인,영농조합,대전광역시 서구 우명길 89,,36.2256659284,127.2937549468,2017-06,2017-06,박철규,042-581-1837,,,"참깨, 들깨 생산단지 조성 및 판매","참기름, 들기름",,042-288-2423,대전광역시 서구청,2020-06-30,3660000,대전광역시 서구
원연장마을(영),자립형,원연장마을(영),영농조합,전라북도 진안군 진안읍 원연장1길 21-1,전라북도 진안군 진안읍 연장리 364-1,35.779686,127.392695,2017-04,2017-04,박명진,063-433-2022,www.moss-pink.com,23,"일반음식, 기타가공식품","연잎밥 뷔페, 연잎밥 한정식, 농산물",,063-430-2535,전라북도 진안군,2020-06-22,4730000,전라북도 진안군
(주)공정여행 풍덩,자립형,(주)공정여행 풍덩,주식회사,전라북도 진안군 부귀면 노래재로2,전라북도 진안군 부귀면 황금리 412,35.8558412947,127.3939609968,2010-11,2010-11,김춘희,063-433-3365,blog.naver.com/poongdoongn,23,서비스,"농촌여행, 교육컨설팅, 체험교육",,063-430-2535,전라북도 진안군,2020-06-22,4730000,전라북도 진안군
줌협동조합,자립형,줌협동조합,협동조합,전라북도 진안군 진안읍 진무로 975,전라북도 진안군 진안읍 단양리 294,35.78364301,127.4228047,2013-05,2013-05,이수경,070-7758-2008,www.zoomcoop.co.kr,70,"소매, 서비스","식잡 귀농교육컨설팅, 농촌체험학습",,063-430-2535,전라북도 진안군,2020-06-22,4730000,전라북도 진안군
행복한 굼벵이 마을,기타,행복한 굼벵이 마을,영농조합,강원도 강릉시 성산면 자포골길 94,강원도 강릉시 성산면 산북리 621,37.704795,128.832973,2017-07,2017-07,김성곤,000-0000-0000,,5,식품사업(굼벵이 재배),굼벵이 재배 및 판매,,033-640-5210,강원도 강릉시청,2020-07-08,4200000,강원도 강릉시
두모마을기업 해양레져,자립형,두모마을기업 해양레져,기타,경상남도 남해군 상주면 양아로 525번길 20,경상남도 남해군 상주면 양아리 1467-1,34.732922,127.9552541648,2012-11,2010-12,손대한,055-860-3233,http://du-mo.co.kr,10,두모마을 녹색 해양레포츠,"카누, 카약 체험",해당사항 없음,055-860-3233,경상남도 남해군,2020-06-23,5430000,경상남도 남해군
농업회사법인화계마을앵강만㈜,자립형,농업회사법인화계마을앵강만,영농조합,경상남도 남해군 이동면 성남로 188,경상남도 남해군 이동면 화계리 245-3,34.77719157,127.9420342,2017-03,2018-04,백지홍,055-860-3233,,11,앵강만 농수산물 명품 브랜드화,농.수산물 수확 체험 및 판매,해당사항 없음,055-860-3233,경상남도 남해군,2020-06-23,5430000,경상남도 남해군
백련농장,자립형,백련농장 영농조합법인,영농조합,전라북도 부안군 하서면 신촌안길 26-2 (백련리),전라북도 부안군 하서면 백련리 669-14,35.70725287,126.5970666,2012-01,2017-03,김성숙,063-582-5750,,6,농산물 공통출하 및 가공판매,농산물,식품,063-580-4042,전라북도 부안군청,2020-06-22,4790000,전라북도 부안군
지산지공,자립형,지산지공 영농조합법인,영농조합,전라북도 부안군 진서면 내소사로 126 (석포리),전라북도 부안군 진서면 석포리 366,35.60737493,126.5862607,2010-10,2013-09,장정종,063-581-2124,,28,절임배추 및 두부 가공판매,절임배추 및 두부,,063-580-4042,전라북도 부안군청,2020-06-22,4790000,전라북도 부안군
㈜강서원예조경,기타,강서원예조경 주식회사,주식회사,부산광역시 강서구 공항로533번길 254-1,부산광역시 강서구 대저2동 4143-2,35.1552585,128.9423991547,2016-02,2017-06,서춘자,051-971-9605,-,10,강서도시농업 활성화,묘목 및 정원수,,051-970-4251,부산광역시 강서구,2020-06-17,3360000,부산광역시 강서구
꽃뫼영농조합법인,자립형,꽃뫼영농조합법인,영농조합,충청남도 청양군 장평면 상지길 39-1,충청남도 청양군 장평면 화산리 527-1,36.36022191,126.8601567,2006-07,2011-05,이춘복,041-943-8002,http://www.kkotmoe.co.kr/,12,"맥문동 직수매, 티백 생산판매",꽃뫼맥문동차,,041-940-2338,충청남도 청양군청,2020-05-28,4590000,충청남도 청양군
알프스마을영농조합법인,자립형,알프스마을영농조합법인,영농조합,충청남도 청양군 정산면 천장호길 223-35,충청남도 청양군 정산면 천장리 164-1,36.4097434,126.914249,2009-07,2011-05,황준환,041-942-0797,http://www.alpsvill.com/,46,계절 축제 개최 및 농산물 판매,"계절축제, 농산물판매",,041-940-2338,충청남도 청양군청,2020-05-28,4590000,충청남도 청양군
청양YMCA꾸러미사업단,자립형,청양YMCA꾸러미사업단,영농조합,충청남도 청양군 비봉면 록평용당로 646,충청남도 청양군 비봉면 강정리 237-1,36.5121885033,126.7738485145,2013-06,2012-05,김성수,041-942-3154,http://cafe.naver.com/chilgapfarm/18,5,농산물 꾸러미사업,친환경 농산물꾸러미,,041-940-2338,충청남도 청양군청,2020-05-28,4590000,충청남도 청양군
고인돌마을,자립형,고인돌마을,기타,충청남도 청양군 운곡면 고인돌길 37,충청남도 청양군 운곡면 후덕리 576,36.5069182,126.8303476,2012-05,2012-07,명형철,041-944-2123,http://www.gogood.kr/,10,체험마을 연계 농산물 판매,"체험, 장류, 곡류",,041-940-2338,충청남도 청양군청,2020-05-28,4590000,충청남도 청양군
나눔영농조합법인,자립형,나눔영농조합법인,영농조합,충청남도 청양군 대치면 상갑1길 7-3,충청남도 청양군 대치면 상갑리 286,36.4977762233,126.8764778982,2013-06,2013-06,박영숙,041-943-6064,http://blog.naver.com/cylocalcoop,5,농산물 꾸러미사업,각종 농산물,,041-940-2338,충청남도 청양군청,2020-05-28,4590000,충청남도 청양군
칠갑산콩영농조합법인,자립형,칠갑산콩영농조합법인,영농조합,충청남도 청양군 대치면 한티고개길 57,충청남도 청양군 대치면 대치리 12-4,36.4381964375,126.8851780074,2013-06,2013-06,최의환,041-943-1602,,9,콩 축제 및 농산물 판매,"콩축제, 농산물판매",,041-940-2338,충청남도 청양군청,2020-05-28,4590000,충청남도 청양군
바늘한땀협동조합,자립형,바늘한땀협동조합,협동조합,서울특별시 은평구 연서로 302,서울특별시 은평구 불광동 123-10 2층,37.62239697,126.9272349,2019-08,2019-05,곽경희,02-353-1327,http://blog.naver.com/bn_handdam,48,"전통 공방 사업, 교육","한복앞치마, 한굴복주머니파우치",,02-351-6877,서울특별시 은평구청,2019-07-01,3110000,서울특별시 은평구
로하스협동조합,자립형,로하스협동조합,협동조합,"서울특별시 은평구 은평로 245, 3층",,37.6011215,126.9349099,2019-10,2019-06,김진미,02-387-1007,,11,청소년 교육,"피부가꾸기 교육, 화장법, 건강다이어트. 인성교육 등",,02-351-6877,서울특별시 은평구청,2019-07-01,3110000,서울특별시 은평구
물푸레 북카페,자립형,생태보점시민모임에코상상사업단㈜,주식회사,"서울특별시 은평구 진관4로 48-51, 742동 101호",,37.64235802,126.9310561,2019-11,2019-06,백찬주,02-356-9410,,25,물푸레 북카페 운영,"식음료 판매, 제철밥상, 인문예술강좌 운영, 마켓운영 등",,02-351-6877,서울특별시 은평구청,2019-07-01,3110000,서울특별시 은평구
협동조합좋은이웃,기타,협동조합좋은이웃,협동조합,"서울특별시 은평구 연서로17길 9, 1층, 105-1호(갈현동, 베로니스)",,37.6126191,126.9161531,2019-03,2019-03,곽선미,02-382-2299,,7,마을기반 먹거리 판매확대 및 먹거리 커뮤니티 활성화,"신선식품, 가공식품",,02-351-6877,서울특별시 은평구청,2019-07-01,3110000,서울특별시 은평구
에듀통협동조합,신규,에듀통협동조합,협동조합,"서울특별시 은평구 은평로 203-7, 201호(녹번동)",,37.60193976,126.9300938,2019-09,2019-04,조아라,02-389-3128,,6,마을 청소년 수학교육,교구를 이용한 수학교육,,02-351-6883,서울특별시 은평구청,2019-07-01,3110000,서울특별시 은평구
양림펭귄마을 협동조합,자립형,양림펭귄마을 협동조합,협동조합,광주광역시 남구 양림로 81번길 4-1,,,,,2018-03,김민희,000-0000-0000,,,펭귄컬러마을카페 운영,"카페운영, 문화활동 등",,062-613-3603,광주광역시,2019-06-17,6290000,광주광역시
숲또래 협동조합,자립형,숲또래 협동조합,협동조합,"광주광역시 남구 고싸움로 163,2층",,,,,2018-03,노선희,000-0000-0000,,,"마을공방(의류, 생활소품 등) 카페, 수제도시락",공예교육 및 판매,,062-613-3603,광주광역시,2019-06-17,6290000,광주광역시
공하나협동조합,자립형,공하나협동조합,협동조합,"광주광역시 남구 행암길 9, 효천 LH 관리사무소 1층",,,,,2019-03,오태화,000-0000-0000,,,방과후 유아동 틈새돌봄교육 프로그램운영문화컨텐츠 제작 및 판매,돌봄교육프로그램,,062-613-3603,광주광역시,2019-06-17,6290000,광주광역시
어울림협동조합,자립형,어울림협동조합,협동조합,광주광역시 북구 석곡로 175,,,,,2017-07,이숙희,000-0000-0000,,,무돌톨스토이' 가구카페,원목제품 제조,,062-613-3603,광주광역시,2019-06-17,6290000,광주광역시
한새봉두레,자립형,한새봉두레,기타,광주광역시 북구 소해로 61,,,,,2018-04,이성진,000-0000-0000,,,"벼농사 공동경작, 자연학교",농사체험,,062-613-3603,광주광역시,2019-06-17,6290000,광주광역시
월출마을회,자립형,월출마을회,기타,광주광역시 북구 삼소로 437,,,,,2011-04,김원오,000-0000-0000,,,"무농약, 저농약 완숙토마토, 토마토즙 판매","완숙토마토, 토마토즙",,062-613-3603,광주광역시,2019-06-17,6290000,광주광역시
키즈카페 '가비'(사)광주북구새마을회,자립형,키즈카페 '가비'(사)광주북구새마을회,사단법인,광주광역시 북구 중문로 59,,,,,2012-04,이상동,000-0000-0000,,,커피 음료판매,휴게음식,,062-613-3603,광주광역시,2019-06-17,6290000,광주광역시
㈜지구지킴이 에코맘,자립형,㈜지구지킴이 에코맘,주식회사,경기도 고양시 일산동구 일산로 427번길 5-14,,37.6718349767,126.7791764368,,2012-03,조은숙,070-4229-0172,,,자원순환사업,EM제품(비누+원액 등),,031-8075-3717,경기도 고양시청,2020-02-26,3940000,경기도 고양시
㈜마을무지개,기타,㈜마을무지개,주식회사,서울특별시 은평구 통일로 684 1동 401호,,37.60736988,126.9330494,2019-04,2019-03,전명순,070-7642-0227,http://cafe.daum.net/diverseness,16,"다문화교육, 다문화강사양성 등","교육, 체험",,02-351-6877,서울특별시 은평구청,2019-07-01,3110000,서울특별시 은평구
㈜물빛마을,자립형,㈜물빛마을,주식회사,서울특별시 은평구 은평터널로 8,,37.5825279,126.8960819,2019-11,2019-03,정진국,02-372-7600,,6,유기농 청국장 제조 판매,"정국장 가루, 청국환",,02-351-6877,서울특별시 은평구청,2019-07-01,3110000,서울특별시 은평구
우명동 전통떡마을영농조합,자립형,우명동 전통떡마을영농조합,영농조합,대전광역시 서구 반송길 88,,36.2359547303,127.2829718796,2012-03,2012-03,안미자,042-585-5840,,,전통떡 제조,모시떡,,042-288-2423,대전광역시 서구청,2020-06-30,3660000,대전광역시 서구
㈜꿈엔들,자립형,㈜꿈엔들,주식회사,대전광역시 서구 벌곡로558-205,,36.2428960482,127.3351736445,2013-09,2013-09,권성관,042-581-6655,,,친환경 농장 운영,"미나리, 쌈채소, 매실, 제철 농산물",,042-288-2423,대전광역시 서구청,2020-06-30,3660000,대전광역시 서구
협동조합 희망밥집,자립형,협동조합 희망밥집,협동조합,대전광역시 서구 계룡로342번길 151,,36.3472003632,127.3666781997,2014-04,2014-04,정은희,042-526-0316,,,"국내산,로컬푸드,친환경재료로 만드는 건강밥상","회의,모임,행사에 필요한 출장뷔페",,042-288-2423,대전광역시 서구청,2020-06-30,3660000,대전광역시 서구
한국청소년교육협동조합,자립형,한국청소년교육협동조합,협동조합,"대전광역시 서구 신갈마로 239-7 , 2층",,36.3549439541,127.3687956550,2015-04,2015-04,김영남,042-486-8086,,,"청소년교육,청소년 진로,학습상담",청소년 진로캠프사업 청소년 진로 직업상담,,042-288-2423,대전광역시 서구청,2020-06-30,3660000,대전광역시 서구
해피트리목공방,자립형,해피트리목공 협동조합,협동조합,"대전광역시 서구 관저동로99번길 50, 1층",,36.3008649103,127.3374388577,2017-06,2017-06,이영욱,042-543-0323,,,"헌가구 리폼, 폐가구 리사이클링","헌가구 리폼 주문 제작, 가구 수리, 폐가구 리싸이클링",,042-288-2423,대전광역시 서구청,2020-06-30,3660000,대전광역시 서구
문화예술 협동조합 곁애,자립형,문화예술 협동조합 곁애,협동조합,서울특별시 구로구 구일로10길 53(구로동),서울특별시 구로구 구로동 685-147,,,2019-09,2019-09,조하연,02-852-7424,,,북카페 운영 및 문학테라피 교육사업,문학테라피 및 카페류,,02-860-2622,서울특별시 구로구청,2019-11-05,3160000,서울특별시 구로구
배고픈사자 협동조합,자립형,배고픈사자 협동조합,협동조합,"서울특별시 구로구 오류로 54-3, 3층(오류동)",서울특별시 구로구 오류동 170-12 (3층),,,2019-09,2019-09,최재희,02-855-1211,,,어린이 간식카페 및 교육프로그램 운영,"공간임대 ,카페류  및 어린이 교육",,02-860-2622,서울특별시 구로구청,2019-11-05,3160000,서울특별시 구로구
토요영농조합법인,2차년도,토요영농조합법인,영농조합,강원도 원주시 흥업면 매지회촌길 110,,37.2538055,127.9102386,,2010-10,최혁,033-763-2923,,5,농가 각종 축제 및 음식점 운영,"농가맛집 ‘토요’ 운영, 회촌달맞이축제, 김장축제 등",,033-737-2952,강원도 원주시청,2019-05-29,4190000,강원도 원주시
(사)서곡생태마을,2차년도,(사)서곡생태마을,사단법인,강원도 원주시 판부면 서곡길 236-10,,37.3027484,127.9435483,,2011-04,이길주,033-762-0360,,9,생활도자기 제작·판매,"생활도자기, 지역 커뮤니티 사업",,033-737-2952,강원도 원주시청,2019-05-29,4190000,강원도 원주시
운계3리 영농조합(삼태미마을),2차년도,운계3리 영농조합(삼태미마을),영농조합,강원도 원주시 귀래면 운계다둔길 113-4,,37.2006738,127.8966661,,2012-03,한재구,033-762-4904,,5,된장제조,"고로쇠 수액 체취, 된장(메주) 제조",,033-737-2952,강원도 원주시청,2019-05-29,4190000,강원도 원주시
황둔송계정보화마을,신규,황둔송계정보화마을,영농조합,강원도 원주시 신림면 신림황둔로 1220,,37.2617211,128.1899603,,2013-05,김광수,033-766-3492,http://hwangdun.invil.org/,11,절임배추 판매,"농산물가공센터, 농산물판매장, 김치체험장 운영",,033-737-2952,강원도 원주시청,2019-05-29,4190000,강원도 원주시
치악산밤호박마을,신규,치악산밤호박마을,영농조합,강원도 원주시 소초면 백교안길 73,,37.4277894,128.0662528,,2013-05,최완승,033-731-2139,,11,밤호박 관련 가공품 제조,밤호박 및 밤호박 찐빵 제조,,033-737-2952,강원도 원주시청,2019-05-29,4190000,강원도 원주시
즐거운 협동조합,신규,즐거운 협동조합,협동조합,"강원도 원주시 중앙시장길 6, 다동 5호",,37.3499847,127.9492440,,2015-05,원미희,033-735-3033,http://hanacholate.modoo.at,10,여성을 위한 취업·창업카페 지원,"여성을 위한 취업·창업카페 운영,중앙시장 2층(구도심) 활성화사업",,033-737-2952,강원도 원주시청,2019-05-29,4190000,강원도 원주시
㈜황골,자립형,㈜황골,주식회사,강원도 원주시 소초면 황골로 443,,37.364768,128.0088011,,2015-05,김상회,033-731-9968,,6,조청을 이용한 상품 개발,황골조청을 이용한 조청 파우더 및 관련상품,,033-737-2952,강원도 원주시청,2019-05-29,4190000,강원도 원주시
농업회사법인 (주)신양,자립형,농업회사법인 (주)신양,주식회사,"강원도 원주시 소초면 신양선녀길 267, 1동",,37.4117078,127.989411692,,2016-07,심중현,033-733-9011,,11,배를 이용한 2차 가공품 개발,"배를 이용한 2차 가공품,2차 가공품을 이용한 제과제빵",,033-737-2952,강원도 원주시청,2019-05-29,4190000,강원도 원주시
농업회사법인점말마을주식회사,자립형,농업회사법인,주식회사,강원도 원주시 지정면 간현로186번길 141-45,,37.3759728040,127.8314019741,,2017-07,주경찬,000-0000-0000,,6,농촌마을체험사업,"펜션, 체험",,033-737-2952,강원도 원주시청,2019-05-29,4190000,강원도 원주시
희망찾는마을목공소협동조합,자립형,희망찾는마을목공소협동조합,협동조합,경상북도 구미시 송동로7길 33(도량동),,36.1456201,128.3206743,2014-09,2014-10,박유경,054-456-7935,,3,"목공소 운영, 친환경 인테리어 사업",목제품,,054-480-6824,경상북도 구미시,2020-06-30,5080000,경상북도 구미시
㈜행복나눔공동체,자립형,㈜행복나눔공동체,주식회사,경상북도 구미시 형곡로 30(형곡동),,36.11671333,128.3361122,2016-03,2015-06,김주영,054-457-6562,,10,홍삼 가공 식품 판매,홍삼,,054-480-6824,경상북도 구미시,2020-06-30,5080000,경상북도 구미시
문화공간937 협동조합,자립형,문화공간937 협동조합,협동조합,광주광역시 남구 포충로 937,,,,,2017-07,김훈,000-0000-0000,,,문화를 담은 포충로 GO,공예품 체험 및 판매,,062-613-3603,광주광역시,2019-06-17,6290000,광주광역시
푸른도시원예협동조합,자립형,푸른도시원예협동조합,협동조합,광주광역시 남구 화산로 31번길 20-2,,,,,2018-03,최명자,000-0000-0000,,,꽃차 제조 및 도시농업,꽃차판매 및 체험,,062-613-3603,광주광역시,2019-06-17,6290000,광주광역시
마마스팜 영농조합법인,자립형,마마스팜 영농조합법인,영농조합,강원도 홍천군 서면 모곡로 218-19,강원도 홍천군 서면 모곡리 1070-2,,,2013-11,2015-06,안종권,033-434-8444,www.mamasfarm.co.kr,7,천연발효현미식초 발효교육 및 체험,현미식초 생산 판매 및 발효교육 체험,,033-430-2841,홍천군청 경제협력과,2019-11-13,4250000,강원도 홍천군
구만리콩마을영농조합법인,자립형,구만리콩마을영농조합법인,영농조합,강원도 홍천군 북방면 운수골길 66-13,강원도 홍천군 북방면 구만리 56-4,,,2014-06,2015-08,오흥기,033-434-8001,,45,콩 가공품등,두부 등,,033-430-2841,홍천군청 경제협력과,2019-11-13,4250000,강원도 홍천군
농업회사법인 홍천장작마을,자립형,농업회사법인 홍천장작마을,기타,강원도 홍천군 서석면 행치령로 494,강원도 홍천군 서석면 수하리 1171-3,,,2016-02,2016-07,서경석,000-000-0000,,7,장작(목제품),장작류,,033-430-2841,홍천군청 경제협력과,2019-11-13,4250000,강원도 홍천군
대한노인회 구로구지회,자립형,대한노인회 구로구지회,사단법인,서울특별시 구로구 부일로9길 111 (온수동),서울특별시 구로구 온수동 155-5 (2층),,,2019-11,2019-11,김용덕,02-867-4598,,,"구로 재래시장과 연계, 택배서비스제공",택배,,02-860-2622,서울특별시 구로구청,2019-11-05,3160000,서울특별시 구로구
구로여성인력개발센터,자립형,구로여성인력개발센터,기타,"서울특별시 구로구 공원로 63, 2층(구로동, 희훈타워빌)",서울특별시 구로구 구로동 110-1 (희훈타워빌 2층),,,2019-11,2019-11,서정연,02-867-4456,www.kurowoman.com,,다문화여성의 행복한 일자리지원사업,강사,,02-860-2622,서울특별시 구로구청,2019-11-05,3160000,서울특별시 구로구
㈜나눔과기쁨 구로지점,자립형,㈜나눔과기쁨,주식회사,서울특별시 구로구 구로중앙로18길 9 (구로동),서울특별시 구로구 구로동 98-15,,,2019-06,2019-06,서경석,02-837-2541,,,나눈카페 및 나눔가게 운영사업,커피,,02-860-2622,서울특별시 구로구청,2019-11-05,3160000,서울특별시 구로구
㈜나눔가게,자립형,㈜나눔가게,주식회사,서울특별시 구로구 중앙로10길 7 (고척동),서울특별시 구로구 고척동 50-48,,,2019-03,2019-03,김지현,070-8128-6074,,,"아동복 보상판매, 세탁 및 정비지원",아동복재판매,,02-860-2622,서울특별시 구로구청,2019-11-05,3160000,서울특별시 구로구
협동조합 행복한 밥상,자립형,협동조합 행복한 밥상,협동조합,"서울특별시 구로구 구로동로 22길 40, 101호(구로동)",서울특별시 구로구 구로동 740-34,,,2019-08,2019-08,김혜선,02-863-5660,,,행복을 나르는 도시락사업,도시락,,02-860-2622,서울특별시 구로구청,2019-11-05,3160000,서울특별시 구로구
화가와 밤나무골영농조합,자립형,화가와 밤나무골영농조합,영농조합,충청남도 부여군 은산면 매화로149번길 99,,,,,2011-03,김상희,041-830-2264,,,"밤, 허브 등 특산품 판매",밤,,041-635-2216,충남도청,2019-06-30,6440000,충청남도
웰빙산약초공동체,자립형,웰빙산약초공동체,영농조합,충청남도 부여군 은산면 지천로 517-2,,,,,2010-11,최순임,041-830-2264,,,산약초 재배 및 도농직거래,산약초,,041-635-2216,충남도청,2019-06-30,6440000,충청남도
맑고 푸른 공동체협동조합,자립형,맑고 푸른 공동체협동조합,협동조합,충청남도 부여군 초촌면 신암로179번길 14-16,,,,,2013-05,박기련,041-832-4786,,,"절임배추 및 지역사회의 농산물 채취, 포장 판매",절임배추,,041-635-2216,충남도청,2019-06-30,6440000,충청남도
황토사랑영농조합법인,자립형,황토사랑영농조합법인,영농조합,충청남도 서산시 고북면 신정2로 34-5,,,,,2017-12,차정자,041-660-3218,,,지역 농산물 가공 판매,"메주, 된장",,041-635-2216,충남도청,2019-06-30,6440000,충청남도
서산약바위빌리지,자립형,서산약바위빌리지,기타,충청남도 서산시 팔봉면 문현로 160,,,,,2011-06,신정익,041-662-6466,,,"지역특산물 가공판매, 체험학습장","간장, 된장",,041-635-2216,충남도청,2019-06-30,6440000,충청남도
증도슬로시티 영농조합,2차년도,증도슬로시티영농조합법인,영농조합법인,전라남도 신안군 증도면 해양관광길 3,,35.0018418837,126.1253640009,,2016-08,이명갑,000-0000-0000,,,농수산물 가공및 포장 판매,농수산물 가공 및 유통,,061-240-8791,신안군청,2019-03-31,6460000,전라남도
외딴섬안골 영농조합법인,신규,외딴섬안골마을영농조합법인,영농조합법인,전라남도 신안군 임자면 임자서길 456-28,,35.0765800592,126.0704528249,,2015-01,이인섭,000-0000-0000,,,임자도 특산품인 민어를 가장 맛있는 때인 6~8월에 급속냉동 보관하였다가 가장 추울때인 12월~2월 사이에 말려 판매,민어굴비,,061-240-8791,신안군청,2019-03-31,6460000,전라남도
신안1004자연산굴 영어조합법인,2차년도,신안1004자연산굴영어조합법인,영어조합법인,전라남도 신안군 압해읍 복룡로 487-7,,34.8940908856,126.3277361106,,2016-07,정성실,000-0000-0000,,,"굴양식, 농수산물 판매",자연산 굴양식 및 판매,,061-240-8791,신안군청,2019-03-31,6460000,전라남도
행복한섬 영어조합법인,신규,행복한섬마을영어조합법인,영어조합,전라남도 완도군 조도면 신전길 14-1,,,,,2015-07,문동희,000-0000-0000,,,"멸치, 건새우, 톳 등",건어물,,061-540-3812,진도군청,2019-03-31,6460000,전라남도
울미연꽃마을,기타,울미연꽃마을,기타,경기도 포천시 군내면 꽃배산2길 9,경기도 포천시 군내면 명산리 228-1,37.8654495157,127.225927699,,2017-01,이한강,000-0000-0000,,,농산물판매사업,농산물 제조 등(연잎차),,031-538-2285,경기도 포천시청,2019-09-05,5600000,경기도 포천시
한탄강이야기협동조합,신규,한탄강이야기협동조합,협동조합,경기도 포천시 영북면 북원로255번길 9-41,경기도 포천시 영북면 자일리 959-33,38.1192698994,127.270352081,,2019-01,이건재,000-0000-0000,,,관광사업,"수상 레포츠(카누, 카약), 서바이벌, 바이크, 장터운영",,031-538-2285,경기도 포천시청,2019-09-05,5600000,경기도 포천시
자굴산권역영농조합법인,자립형,자굴산권역영농조합법인,영농조합,경상남도 의령군 칠곡면 칠곡로 5길 3-1,경상남도 의령군 칠곡면 신포리 509-1,35.3392159677,128.1967171710,2013-10,2013-10,이규용,055-574-1199,해당없음,30,망개떡 체험가공 및 찜질방 체험,망개떡 체험가공 및 찜질방 체험,해당없음,055-570-3103,의령군,2020-04-02,5390000,경상남도 의령군
나루마을기업영농조합법인,자립형,나루마을기업영농조합법인,영농조합,경상남도 의령군 화정면 화정로 699-2,경상남도 의령군 화정면 상이리 555-1,35.2606112285,128.2441819571,2014-06,2014-06,김장균,055-572-8786,www.gangnaru.kr,12,농산물 및 판매업,"참기름, 딸기잼 판매",해당없음,055-570-3103,의령군,2020-04-02,5390000,경상남도 의령군
