교통약자이동지원센터명,소재지도로명주소,소재지지번주소,위도,경도,보유차량대수,보유차량종류,슬로프형휠체어차량대수,리프트형휠체어차량대수,예약접수전화번호,예약접수인터넷주소,앱서비스명,평일예약접수운영시작시각,평일예약접수운영종료시각,주말예약접수운영시작시각,주말예약접수운영종료시각,차량평일운행시작시각,차량평일운행종료시각,차량주말운행시작시각,차량주말운행종료시각,사전예약신청기간,차량이용제한사항,차량관내운행지역,차량관외운행지역,차량이용대상,차량이용요금,관리기관명,관리기관전화번호,데이터기준일자,제공기관코드,제공기관명
한국교통장애인협회영주시지회,"경상북도 영주시 광복로46번길 15, 1층",경상북도 영주시 영주동 32-15,36.8270932,128.6235928504,6,뉴카니발,6,0,054-638-0112,없음,없음,09:00,18:00,00:00,00:00,09:00,19:00,09:00,18:00,2주,주말예약 접수 받지 않음(시각은 00:00으로 표기함),영주시 전역,전국(시외운행은 병원이용),"장애인복지법상 1~2급장애인,65세이상노약자,사고질병등 일시적 장애로 인하여 휠체어를 이용하는사람 및 보호자,임산부 및 영유아를 동반한 자","1. 영주시내: 10KM까지 천원,10KM 초과시 5KM 당 + 천원2. 도내 시외운행 요금:다섯시간 이내 30,000원,다섯시간 이상  50,000원3. 도외 시외운행 요금:다섯시간 이내 50,000원,다섯시간 이상 100,000원",교통행정과,054-639-6824,2019-09-20,5090000,경상북도 영주시
나주시 교통약자이동지원센터,전라남도 나주시 봉황로 49,전라남도 나주시 부덕동 452-5,34.9879779872,126.7286269912,10,승합차,7,3,1899-1110,http://,,00:00,24:00,00:00,24:00,08:00,24:00,08:00,24:00,없음,이용대상자 이외 이용 금지,나주시 전지역,전라남도+광주광역시( 출발지 또는 목적지가 나주시인 경우),장애의 정도가 심한 장애인+65세 이상으로 대중교통 이용이 어려운 사람+임산부+일시적 휠체어 이용자+동반자 및 보호자 2인 이내,"2km 이내 500원, 1km 초과당 100원",전라남도 나주시,061-339-8832,2019-07-01,4830000,전라남도 나주시
한국교통장애인협회 영덕군지회,경상북도 영덕군 영덕읍 남석2길 5,경상북도 영덕군 영덕읍 남석리 62-2,36.4104862923,129.367214,2,카니발,2,0,054-734-3006,yd8254@hanmail.net,,09:00,18:00,00:00,00:00,09:00,18:00,00:00,00:00,30일,"복지카드(신분증)의 제시 또는 관련서류의 제출을 거부한 경우+보호자 없이 탑승시 안전상의 문제가 발생 할 수 있다고 판단되는 경우+실제 탑승인과 복지카드의 대상자가 다를 경우+의도적으로 특별교통수단 운행을 방해한자(방뇨, 오물투기 등)+운행원칙에 반하는 무리한 요구를 하는 자",영덕 전지역,경북 전지역+대구광역시,"1,2급 장애인+3급하지장애인+대중교통이 어렵다는 진단서 제출 장애인","기본 5km 1,400 5km초과 미터당 200원 추가요금 발생 한나절대절60,000 반나절 30,000",경상북도 영덕군청,054-730-6255,2019-09-19,5180000,경상북도 영덕군
봄내콜이동지원센터,"강원도 춘천시 동면 소양강로 304-11, (장학리)",강원도 춘천시 동면 장학리 464-1번지,37.91462782,127.7482765,14,카니발,14,0,1544-2014,http://call.gwd.go.kr,-,09:00,18:00,09:00,18:00,00:00,23:59,00:00,23:59,"병원목적:7일 ,개인용무:1일",시설이용자는 환자의 상태에 따라 등록 및 이용제한,춘천시,강원도+서울+경기도,장애1~2급 휠체어 사용자+시각장애인+청각장애인+65세이상 휠체어 사용자,"4km 당 1,100원+1km 당 100원",춘천시,033-250-3362,2019-08-31,4180000,강원도 춘천시
착한수레,경기도 안양시 동안구 평촌대로 389,경기도 안양시 동안구 비산동 1023,37.4051999,126.9452343077,38,"스타렉스, 카니발",37,1,031-389-5200,http://www.ansi.or.kr/ansi04/html/main.asp,없음,08:00,18:00,09:00,18:00,06:00,22:00,07:00,20:00,1일전,당일취소 월3회 이상,"안양, 군포, 의왕, 과천",수도권전역,"1~2급 장애인, 국가유공자, 상이군경, 노인장기요양자, 임산부등","관내 1,200원, 관외 1,200원 외 1km당 100원",안양도시공사,031-389-5363,2019-09-16,3830000,경기도 안양시
광명시 교통약자이동지원센터,경기도 광명시 범안로 966,경기도 광명시 하안동 314번지,37.4571097,126.8726653,27,스타렉스 개조차+카니발 개조차+레이 개조차,24,2,02-2610-2000,http://kmcar.gmuc.co.kr,,07:00,22:00,07:00,13:00,00:00,24:00,00:00,24:00,휠체어 이용고객 1일전비휠체어 당일예약,,광명시 전지역,구로구+금천구+양천구+영등포구+안양 관공서+시흥 관공서+안산 관공서+인천공항+김포공항+서울대형병원 16곳+부천 병원+안양 병원+ 시흥 병원+센터 반경 20km 이내 특수학교 및 대학교,"장애1,2급(뇌병변, 지적장애 3급)+장기요양등급 1~3급+일시적인 교통약자","관내지역 1,250원",광명도시공사,02-2610-2000,2019-09-09,3900000,경기도 광명시
부여군 교통약자이동지원센터,충청남도 부여군 규암면 흥수로 816,충청남도 부여군 규암면 내리 246-3,36.27331322,126.87121870,2,카니발,2,2,1644-5588,없음,없음,00:00,23:59,00:00,23:59,09:00,16:00,09:00,16:00,2일전,,부여군,충청남도,"교통약자법 시행규칙 제6조에 해당되는 사람, 장애인임신부, 일시적장애인","관내 기본요금 1000원(2km), km당 130원",충남지체장애인협회 부여군지부,041-836-2155,2020-04-30,6440000,충청남도
서천군 교통약자이동지원센터,"충청남도 서천군 서천읍 충절로81번길 7, 청림주상복합빌딩 1층7호",충청남도 서천군 서천읍 군사리 649-2,36.07485734,126.69142967,5,카니발,0,5,1644-5588,없음,없음,00:00,23:59,00:00,23:59,09:00,16:00,09:00,16:00,2일전,없음,서천군,충청남도,"교통약자법 시행규칙 제6조에 해당되는 사람, 임신부, 일시적장애인","관내 기본요금 1300원(2km), km당 130원",충남지체장애인협회 서천군지부,041-950-4128,2020-04-30,6440000,충청남도
청양군교통약자이동지원센터,충청남도 청양군 청양읍 칠갑산로 87,충청남도 청양군 청양읍 송방리 293-1,36.44939025,126.78652200,3,카니발+스타렉스,0,3,1644-5588,없음,없음,00:00,23:59,00:00,23:59,09:00,16:00,09:00,16:00,2일전,없음,청양군,충청남도,"교통약자법 시행규칙 제6조에 해당되는 사람, 임신부, 일시적장애인","관내 기본요금 1300원(2km), km당 130원",충남지체장애인협회 청양군지부,041-942-2111,2020-04-30,6440000,충청남도
홍성군 교통약자이동지원센터,충청남도 홍성군 홍성읍 조양로33번길 17,충청남도 홍성군 홍성읍 옥암리 62-8,36.59754980,126.65605400,2,승합차,0,0,1644-5588,없음,없음,00:00,23:59,00:00,23:59,08:00,20:00,09:00,16:00,2일전,-,홍성군,충청남도,교통약자법 시행규칙 제6조에 해당되는 사람,"관내 기본요금 1300원(2km), km당 130원",충남지체장애인협회 홍성군지부,041-634-0026,2020-04-30,6440000,충청남도
예산군 교통약자이동지원센터,충청남도 예산군 예산읍 벚꽃로 155번길 10,"충청남도 예산군 예산읍 발연리 85-5, 예산군사랑채 105호",36.69471087,126.83536964,6,카니발,6,0,1644-5588,없음,없음,00:00,23:59,00:00,23:59,09:00,16:00,09:00,16:00,2일전,,예산군,충청남도,"교통약자법 시행규칙 제6조에 해당되는 사람, 임신부, 일시적장애인","관내 기본요금 1000원(2km), km당 130원",충남지체장애인협회 예산군지부,041-335-3330,2020-04-30,6440000,충청남도
태안군 교통약자 이동지원센터,충청남도 태안군 태안읍 후곡로 83,충청남도 태안군 태안읍 남문리 712-13,36.74589840,126.30190060,2,카니발,2,0,1644-5588,없음,없음,00:00,23:59,00:00,23:59,09:00,16:00,09:00,16:00,2일전,중증환자,태안군,충청남도,"교통약자법 시행규칙 제7조에 해당되는 사람, 임신부, 영유아 동반자","관내 기본요금 1000원(1.5km), 140m당 50원",충남지체장애인협회 태안군지부,041-670-2808,2020-04-30,6440000,충청남도
시흥시 교통약자이동지원센터(희망네바퀴),경기도 시흥시 시흥대로 260,경기도 시흥시 능곡동 808,37.3637885728,126.8073913863,32,카니발+스타렉스,32,0,1522-3650,-,-,09:00,19:00,08:00,17:00,00:00,23:59,00:00,23:59,2일,"다음 제한사항의 각 호에 해당할 경우 동기와 횟수 등을 참작하여 당일 이용제한 및 1개월의 범위 내에서 이용을 제한++ 휠체어 1대를 초과하여 승차를 요구할 경우(접었을 경우 2대 가능) +휠체어 이용자 1인을 포함한 4인(비휠체어 이용시 3인) 초과 승차를 요구할 경우+ 복지카드, 진단서 사본, 진료카드를 제시하지 않는 경우+ 상담원 및 운전원의 정당한 요구 및 안내에 불응하는 경우+ 상담원 및 운전원에게 욕설이나 폭행을 하는 경우+ 이동지원",시흥시 전지역,수도권 전지역,"장애등급1~2급+만65세이상노약자(노인장기요양 1~2급, 의사소견서첨부)+임산부(의사소견서첨부)+교통약자를 동반하는 가족 및 보호자(3명이내)","기본요금 1,200원(10Km)+ 5Km 초과당 100원 추가+고속도로(유료도로)통행료 및 주차료는 이용자 부담",시흥시시설관리공단,031-488-6910,2020-06-02,4010000,경기도 시흥시
고양시 교통약자이동지원센터,경기도 고양시 일산동구 강송로 14,경기도 고양시 일산동구 백석동 1233,37.64247907,126.7953758,86,승합(중형)/카니발 저상장애인차,82,4,1577-5909,x,x,06:00,22:00,09:00,18:00,00:00,23:59,00:00,23:59,10:00~ (인접지역 외 광역이동에 한하여 전날 사전예약),월 3회이상 즉시차량 배차 후 이용신청 취소시+월 3회이상 차량도착 후 10분 내 미승차시+이용자 및 보호자가 상담원 및 운전원에게 폭언폭행성희롱 신체접촉 등으로 업무를 방해한 경우 등,관내 전지역,서울(강서구/마포구/서대문구/은평구/영등포구/서울역) 인천광역시(계양구/인천국제공항) 의정부/파주/양주/김포/부천 등 인접 관외지역,①장애인1-2급중 보행상장애표준기준표상의 1-2급 해당자 + ②버스- 지하철 이용이 어려운 만65세이상 노인장기요양등급 1-2급 수급자 + ③교통약자를 동반하는 가족 및 보호자 + ④사고-질병 등 일시적 장애로 휠체어 이용이 불가피하다는 해당 전문의의 진단서를 제출한 사람은 장애등급 발급 기간동안 3개월 내 한시적 이용 가능,기본 10km 1300원 /추가 5km당 100원,고양도시관리공사,031-932-0661,2020-05-15,3940000,경기도 고양시
단양군사회복지협의회,충청북도 단양군 단양읍 수변로83,충청북도 단양군 단양읍 별곡리 307,36.9828425658,128.3707521863,3,오텍그랜드스타렉스,3,0,043-422-1700,x,x,09:00,18:00,00:00,00:00,09:00,18:00,09:00,12:00,1일전,해당없음,단양군 전체,제천+충주+원주+영월+영주,"만65세이상 고령자, 장애의 정도가 심한 장애인, 혼자서 외출과 이동이 곤란하다고 인정되는 자, 교통약자를 동반하는 가족 및 보호자","관내 기본거리 5km까지 1,500원, 30km까지 추가 1km당 300원/ 30km이후 추가 1km당 600원",단양군,043-420-2492,2020-04-20,4480000,충청북도 단양군
단양군장애인생활이동지원센터,충청북도 단양군 단양읍 별곡5길5 (3층),충청북도 단양군 단양읍 별곡리 319,36.98529952,128.3686533,2,스타렉스2대,0,0,043-421-7788,x,x,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,시내 3일전+시외 1개월전,복지카드미소지자+출발도착지단양군+2회 요금미납자,단양군 전체,전지역,1-6급등록장애인,"관내 기본거리 10km 1500원, 초과 10km 당 1500원/관외 기본거리 30km 4500원, 초과 1km당 600원+1일 임대 8시간 90000원+대기료(40분 무료, 20분당 1500원), 주차,톨비 이용자부담",단양군,043-420-2133,2020-04-20,4480000,충청북도 단양군
단양군장애인단체연합회,충청북도 단양군 단양읍 별곡5길5 (3층),충청북도 단양군 단양읍 별곡리 319,36.98529952,128.3686533,1,스타렉스,0,1,043-423-1776,x,x,09:00,16:00,09:00,16:00,10:00,17:00,10:00,17:00,해당없음,해당없음,단양군 전체,제천+충주+원주+청주+영주,1-6급등록장애인,"관내 기본거리 10km 1500원+초과 10km당 1500원+관외 기본거리 30km 1500원+초과 1km당 600원+1일 임대 8시간 11만원+대기료(30분 무료, 초과 20분당 1500원), 주차,톨비 이용자부담",단양군,043-420-2134,2020-04-20,4480000,충청북도 단양군
이천시교통약자이동지원센터,경기도이천시경충대로2603,경기도 이천시 중리동 111-6,37.274609,127.444227,24,그랜드카니발 + 올뉴카니발,24,0,1899-0017,https://www.2000happydream.or.kr※ 주말에는 예약접수를 받고 있지 않습니다.,이천시교통약자,09:00,18:00,00:00,00:00,07:00,21:00,09:00,18:00,7일전,"부득이한 사유로 예약을 취소하고자 할 때에는 늦어도 차량이용 일시의 24시간 이전에 취소하여야한다(30일)+승차할 때에 운전원에게 신분증을 제시하여 본인임을 확인시켜야 한(30일)+목적지 변경 또는 이용신청청을 취소할 경우에는 센터에 즉시 통보하여 승인을 받아야 한다(30일)+이천시 관외병원진료, 장애인단체 및 시설 이용 목적으로 이용시 이용자는 병원진료 종료시각이 나타난 진료영수증 등 증빙서류를, 장애인단체 및 시설 이용자는 관련 공문 등 증",이천시 전지역,서울특별시+경기도+인천광역시+강원도원주+충북충주+충북음성,「보행상 장애 표준 기준표」에 해당하는 장애인(장애인증명서 제출)+ 「보행상 장애 표준 기준표」에 해당하지 않는 장애인(진단서 제출)+65세 이상 고령자 중 대중교통 이용이 어려운 사람(진단서 제출)+임산부로서 대중교통 이용이 어려운 사람(진단서 제출)+국가유공자로서 대중교통 이용이 어려운 사람(진단서 제출)+교통약자를 동반하는 2인 이내의 가족 및 보호자,"기본요금 10km 1,200원+추가요금 5km 당 100원+왕복운행시 대기료 시간당 1,000원(2시간 이내)+고속도로통행료 및 유료주차장 사용료 이용자 부담",이천시,031-644-2384,2020-04-30,B553081,이천시시설관리공단
충주시교통약자이동지원센터,충청북도 충주시 목행산단2로 18,충청북도 충주시 금릉동 206-55,37.0016961419,127.9180328883,14,스타렉스+카니발,12,2,043-857-6161,해당없음,해당없음,08:00,23:00,08:00,23:00,08:00,23:00,08:00,23:00,1일,해당없음,충주시 전지역,청주+원주,1~2급 장애인+65세이상 버스이용 어려운자+국가유공 상이1~2급,"5㎞ 1,000원+1㎞당 200원 추가",충청북도 충주시,043-850-6824,2020-04-27,4390000,충청북도 충주시
가평군교통약자이동지원센터,경기도 가평군 가평읍 대곡리 318,경기도 가평군 가평읍 문화로 153번지 한석봉체육관 1층,37.826406,127.507877,12,창림저상형슬로프장애인차,12,0,031-8078-8122,0,0,8:00,18:00,8:00,18:00,7:00,20:00,7:00,20:00,사용일 기준 2일전까지,특별교통수단 이용대상자에 한해서 사용 가능,가평군전지역,"서울, 경기도, 강원도 춘천","1급또는2급장애인으로서 버스등의 이용이어려운사람,노인장기용양1-3등급및 4등급휄체어탑승자, 65세이상이상노약자(의사소견서첨부), 교통약자를 동반하는 가족 및 보호자(2명이내),임산부 및 영유아아를 동반한 사람 대중교통의 이용이 어려운 사람","최초 10km 1,300원10km 초과시 5㎞마다 100원 추가",가평군,031-580-2203,2020-04-10,4160000,경기도 가평군
파주시 교통약자이동지원센터,경기도 파주시 중앙로 160,경기도 파주시 금릉동 186-5,37.7561857,126.7850563,33,승합(중형)/카니발 저상장애인차,33,0,1899-6199,x,x,09:00,18:00,09:00,18:00,06:00,22:00,07:00,20:00,09:00~18:00,"직원에게폭언한경우, 예약취소가 1시간내 월 3회 이상인경우등",관내 전지역,"고양,김포,양주,연천,서울,인천","장애인1,2급/ 대중교통이 어려운자중 의사의 진단서를 제출한자",관내 1000원 /관외 1km당 100원,파주시시설관리공단,031-950-1882,2019-03-08,4060000,경기도 파주시
거창군교통약자이동지원센터,경상남도 거창군 거창읍 중앙로 103,경상남도 거창군 거창읍 64-1,35.686637,127.910063,3,스타렉스,3,0,1566-4488,없음,없음,00:00,23:59,00:00,23:59,07:00,21:00,08:00,13:00,전날 21:00부터,"장애인등록증, 의사소견서 등 증빙서류 미지참",거창군 관내,경상남도+대구광역시(치료목적만 편도),장애인 1급 또는 2급+65세 이상 노인+임산부+휠체어이용자 중 대중교통 이용이 어려운 자+이들을 동반하는 가족 및 보호자,"관내지역 기본요금 2,000원+관외지역 시외버스 요금의 1.5배",경상남도 거창군청,055-940-3382,2019-08-28,5470000,경상남도 거창군
경북광역이동지원센터,경상북도 구미시 산책길 33-4,경상북도 구미시 원평동 468,36.1237502807,128.3321528118,11,"스타렉스,카니발",11,0,1899-7770,예약안됨,,08:00,18:00,00:00,00:00,08:00,20:00,08:00,18:00,이용일7일전~1일전까지,,구미시전역,경북 내.대구광역시.KTX역(병원목적시),"1~2급자애인,임산부,65세이상(대중교통이용어렵다는 진단서제출)","기본1,300원추가1km당300원",구미시청,054-480-2903,2020-06-20,5080000,경상북도 구미시
교통약자이동지원센터,전라북도 부안군 부안읍 오리정로 89,전라북도 부안군 부안읍 서외리 536-15,35.7233599,126.7317744924,5,카니발,5,0,063-583-1010,없음,없음,08:00,18:00,00:00,00:00,08:00,22:00,09:00,18:00,하루전까지,,관내(부안군),전국,1급 또는 2급+65세이상+국가유공상이자+일시적휠체어,거리요금 148m당 30원,부안군청,063-580-4539,2020-06-22,4790000,전라북도 부안군
남해군교통약자이동지원센터,경상남도 남해군 남해읍 선소로75번길 87-22,경상남도 남해군 남해읍 차산리 639,34.84954976,127.9088757,19,스타렉스,0,7,1566-4488,없음,없음,00:00,00:00,00:00,00:00,00:00,00:00,08:00,19:00,없음,없음,남해군,경남전지역,1~2급 장애인으로서 버스 이용이 어려운 자+100m이상 보행이 불편한 자,기본요금 2km까지 1000원+이후요금 1km당 50원+최대2000원,남해군,055-860-3455,2020-06-02,5430000,경상남도 남해군
사)한국지체장애인협회 함평군지회,전라남도 함평군 함평읍 남일길 238-61,전라남도 함평군 함평읍 대덕리 21-5,35.0758291330,126.512894,4,창림저상슬로프장애인차,4,0,1899-1110,없음,없음,08:00,18:00,08:00,18:00,00:00,00:00,00:00,00:00,1일,최초이용시 증빙서류 첨부해 사용자 등록,함평군 일원,"전남 도내, 광주광역시","장애정도가 심한(보행상) 장애인, 65세 이상의 어르신, 일시적 휠체어 이용자(버스 이용이 어려운 사람) 등","기본요금(2㎞까지) : 500원, 1,000원(심야)/추가요금(1㎞당) : 100원, 200원(심야)",함평군청,061-320-1753,2020-06-16,4960000,전라남도 함평군
평택시교통약자이동지원센터,"경기도 평택시 도일유통길 25 (도일동, 평택도시공사 1층)",경기도 평택시 도일동 1169-5 (평택도시공사 1층),37.03860497,127.1006698,49,카니발,49,0,031-651-4700,http://ggsts.gg.go.kr,경기도 광역 이동지원 시스템,09:00,18:00,09:00,18:00,00:00,00:00,00:00,00:00,1일 전,"이용(승차)거부 : 복지카드(신분증)등 증빙서의 제시 또는 관련 서류의 제출을 거부한 경우, 실제 탑승인과 복지카드(신분증) 및 증빙서의 이용 대상자가 다를 경우, 보호자 없이 탑승 시 안전상의 문제가 발생할 수 있다고 판단되는 경우/당일(1일) 제한 : 예약시간으로부터 1시간 이내 변경(출발지?목적지?탑승시간) 또는 예약을 취소한 경우, 사전연락 없이 차량 도착 후 10분 이내에 미승차한 경우/1개월 제한 : 예약시간으로부터 1시간 이내 변경",평택시 전지역,"서울, 경기, 인천, 충청지역(단, 병원진료, 재활센터, 발달센터 및 복지센터 - 본인 진료목적 한정), 인접지역(시 경계 10km 이내) : 출퇴근 및 등하교 목적 이용가능","보행상의 장애인으로서 장애의 정도가 심한 장애인,국가유공자 상이 1~2급, 대중교통 이용이 불가능하다는 종합병원에서 발급한 진단서를 제출한 사람, 교통약자를 동반하는 가족 및 보호자 2인 이내 동승가능","기본요금 10km당 1,200원 추가요금 5km당 100원(관·내외 요금 동일), 대기요금 및 유료도로 이용요금 : 무료, 유료주차장 이용요금 : 이용자 부담",평택도시공사,031-8053-8800,2020-04-29,3910000,경기도 평택시
청양군교통약자이동지원센터,충청남도 청양군 청양읍 칠갑산로 87,충청남도 청양군 청양읍 송방리 293-1,36.44939025,126.786522,3,카니발+스타렉스,0,3,041-942-2111,-,즉시콜,09:00,18:00,00:00,00:00,09:00,18:00,00:00,00:00,-,없음,청양군 전지역,충청남도 전지역,1.장애인복지법시행규칙에 따라 등록된 1급 또는 2급 장애인으로서버스 등의 이용이 어려운 사람2. 65세 이상의 사람으로서 버스 등의 이용이 어려운 사람3. 일시적으로 휠체어를 이용하는 사람이나 임산부로서 대중교통수단의 이용이 어려운 사람4. 제1호에서 제3호까지에 해당하는 교통약자를 동반하는  가족 및 보호자,"기본요금:1,000원주행요금:300원/1km",청양군청,041-940-2423,2020-05-28,4590000,충청남도 청양군
금산군 교통약자 이동지원센터,충청남도 금산군 금산읍 사직로 173,,36.1121230608,127.4815173742,3,카니발,3,0,1644-5588,없음,없음,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,1일전,,금산군 전체지역,"충청남도 및 인접시군(대전,논산,무주,옥천)",제6조(특별교통수단의 이용대상자 등) ① 법 제16조제7항에 따라 특별교통수단을 이용할 수 있는 교통약자의 범위는 다음과 같다. 1. 「장애인복지법 시행규칙」 제28조제1항에 따른 보행상의 장애인으로서 같은 규칙 별표 1에 따른 장애의 정도가 심한 장애인으로서 버스ㆍ지하철 등의 이용이 어려운 사람2. 65세 이상의 사람으로서 버스ㆍ지하철 등의 이용이 어려운 사람3. 제1호 및 제2호에 해당하는 교통약자에 준하는 사람으로서 지방자치단체의 조례로 정하는 사람4. 제1호부터 제3호까지에 해당하는 교통약자를 동반하는 가족 및 보호자,"금산군 관내:  2km 1,300원 , 1km 130원   /   관외지역 1km 260원",금산군,041-750-2732,2020-06-15,4550000,충청남도 금산군
천안시 교통약자이동지원센터,충청남도 천안시 동남구 다가말2길 104,충청남도 천안시 동남구 다가동 405-6,36.79799910,127.1437453718,31,카니발+스타렉스,31,0,1644-5588,없음,없음,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,2일전,"1. 이용고객의 차량을 예약하고 비장애인만 승차 시키는 경우2. 장애등급을 허위 고지하여 우선배차를 받는 등 부정 탑승 행위를 한 경우 3. 운전에 방해를 줄 수 있는 고객 탑승 시 보호자가 동승하지 않는 경우4. 교통약자를 위한 보호자의 동반 탑승은 최초 탑승 시부터 최종 목적지까지 같이 동승하여 타고 내려야 하며, 중도에 보호자만 개별적으로 타고 내리는 경우5. 장애인 보조견을 제외한 운전에 방해를 줄 수 있는 애완동물 및 폭발성, 인화성 ",천안시,충청남도,"교통약자법 시행규칙 제6조에 해당되는 사람, 임신부, 일시적장애인","관내 기본요금 1000원(2km), km당 130원",충남지체장애인협회 천안시지부,041-558-0010,2020-04-30,6440000,충청남도
공주시 교통약자이동지원센터,"충청남도 공주시 의당면 의당로 257, 장애인복지센터 203호",충청남도 공주시 의당면 청룡리 903,36.4946842254,127.1360622133,10,카니발+스타렉스,10,0,1644-5588,없음,없음,00:00,23:59,00:00,23:59,09:00,16:00,09:00,15:00,2일전,없음,공주시,충청남도,교통약자법 시행규칙 제6조에 해당되는 사람,"관내 기본요금 1000원(2km), km당 130원",충남지체장애인협회 공주시지부,041-852-5858,2020-04-30,6440000,충청남도
보령시 교통약자이동지원센터,"충청남도 보령시 주공로8, 대동빌딩 3층 2호",충청남도 보령시 명천동 1037,36.34544473,126.60201540,9,카니발,6,3,1644-5588,없음,없음,00:00,23:59,00:00,23:59,07:00,21:00,09:00,16:00,2일전,없음,보령시,충청남도,"교통약자법 시행규칙 제6조에 해당되는 사람, 일시적장애인","관내 기본요금 1400원(2km), km당 130원",충남지체장애인협회 보령시지부,041-933-3517,2020-04-30,6440000,충청남도
아산시 교통약자이동지원센터,충청남도 아산시 시민로457번길 30 (2층),충청남도 아산시 온천동 1411,36.78898932,126.99782782,20,카니발+스타렉스,16,4,1644-5588,없음,없음,00:00,23:59,00:00,23:59,07:00,23:59,07:00,21:00,2일전,"장애인(3급 하지장애 외, 4급~), 65세이상 대중교통이용 가능한자",아산시,충청남도,"교통약자법 시행규칙 제6조에 해당되는 사람, 임신부, 일시적장애인","관내 기본요금 700원(2km), km당 130원",아산시장애인연합회,041-546-1509,2020-04-30,6440000,충청남도
서산시 교통약자이동지원센터,충청남도 서산시 오산1길 11 (2층),충청남도 서산시 오남동 16-5,36.74512191,126.48527350,8,카니발+스타렉스,8,0,1644-5588,없음,없음,00:00,23:59,00:00,23:59,09:00,16:00,09:00,13:00,2일전,,서산시,충청남도,"교통약자법 시행규칙 제7조에 해당되는 사람, 임신부, 일시적장애인","관내 기본요금 1400원(2km), km당 130원",충남지체장애인협회 서산시지부,041-665-1111,2020-04-30,6440000,충청남도
논산시 교통약자이동지원센터,충청남도 논산시 해월로 87번길 18,충청남도 논산시 부창동 274-139,36.20032028,127.07821850,10,카니발,10,0,1644-5588,없음,없음,00:00,23:59,00:00,23:59,07:00,21:00,09:00,16:00,2일전,"대중교통이용 가능한 장애의 정도가 심하지 않은 장애인, 65세이상 대중교통이용 가능한자",논산시,충청남도,교통약자법 시행규칙 제6조에 해당되는 사람,"관내 기본요금 1400원(2km), km당 130원",충남지체장애인협회 논산시지부,041-733-0337,2020-04-30,6440000,충청남도
당진시 교통약자이동지원센터,충청남도 당진시 백암1길 61,충청남도 당진시 채운동 170-2,36.88724412,126.62470530,12,카니발+스타렉스,11,1,1644-5588,없음,없음,00:00,23:59,00:00,23:59,08:00,19:00,09:00,17:00,2일전,,당진시,충청남도,"교통약자법 시행규칙 제6조에 해당되는 사람, 일시적장애인","관내 기본요금 1400원(2km), km당 130원",충남지체장애인협회 당진시지부,041-358-9787,2020-04-30,6440000,충청남도
금산군 교통약자 이동지원센터,충청남도 금산군 금산읍 인삼로 232,충청남도 금산군 금산읍 신대리 490-3,36.10193265,127.50675710,3,카니발,3,0,1644-5588,없음,없음,00:00,23:59,00:00,23:59,09:00,16:00,09:00,16:00,2일전,,금산군,충청남도,"교통약자법 시행규칙 제6조에 해당되는 사람, 임신부, 일시적장애인","관내 기본요금 1000원(2km), km당 130원",충남지체장애인협회 금산군지부,041-754-9500,2020-04-30,6440000,충청남도
의왕시 교통약자 이동지원센터,경기도 의왕시 왕소나무길 29-15,경기도 의왕시 월암동 602-2,37.3027438548,126.9590739779,11,그랜드카니발,11,0,031-462-8253,인터넷접수 불가(www.uuc.or.kr),,07:00,23:59,09:00,18:00,07:00,23:59,09:00,18:00,가능,"상담원에 대한 폭언,운전원에 대한 폭언 폭행 및 안전운전에 방해 되는 행위","의왕,군포, 과천, 안양",거주지 제한 폐지,장애정도가 심한 장애인,1200원,의왕시청 교통행정과,031-345-3305,2020-07-01,4030000,경기도 의왕시
정선군교통약자이동지원센터,강원도 정선군 정선읍 녹송2길50,강원도 정선군 정선읍 애산리432-309,37.3823094312,128.673439,4,카니발,4,0,1577-2014,http://call.gwd.go.kr,,09:00,18:00,09:00,18:00,07:00,22:00,07:00,21:59,최소 1일전,예약당일취소 또는 현장취소가 월 3회 초과 시 1개월 제한+비장애인만 승차하는 경우,정선군전지역,강원도내 전지역 강원도외는 상급병원방문시 가능,장애의 정도가 심한 장애인 중 보행불편 장애인+임산부+만65세이상 고령자 중 휠체어 이용자+교통약자를 동반하는 가족 및 보호자,"관내지역(기본 4㎞)기본요금 1,100원외 1Km당 100원 추가+관외지역 기본요금 1,100원외 1Km당 100원 추가+시설이용료(통행료,주차료등)와 대기료(1시간 무료,30분당 2,000원, 최대 4시간 대기가능)은 이용자 추가 부담",정선군(정선군장애인연합회),033-563-2401,2020-06-30,4290000,강원도 정선군
장성군교통약자이동편의증진센터(전남지체장애인협회 장성군지회),전라남도 장성군 장성읍 청운길 23,,35.3019990364,126.7813165918,4,카니발,4,0,1899-1110,없음,,09:00,18:00,09:00,18:00,07:00,23:59,09:00,23:59,-,,전라남도,광주광역시,심한장애인 중 보행상장애인 + 일시적으로 대중교통 이용 어려운 사람,"기본요금 500원(2Km까지), 1km당 100원",장성군,061-390-7366,2020-07-10,4980000,전라남도 장성군
