시장명,시장유형,소재지도로명주소,소재지지번주소,시장개설주기,위도,경도,점포수,취급품목,사용가능상품권,홈페이지주소,공중화장실보유여부,주차장보유여부,개설년도,전화번호,데이터기준일자,제공기관코드,제공기관명
삼천포종합시장,5일장,경상남도 사천시 새시장길 19,경상남도 사천시 동금동88-4,5일,34.93215659,128.0790964,154,"농산물,수산물,가공식품,의류 및 신발,가정용품,음식점업,기타소매업,근린생활서비스,",온누리+지역사랑상품권,,Y,Y,,,2020-05-27,B553077,소상공인시장진흥공단
삼천포중앙시장,상설장,경상남도 사천시 중앙시장2길 37,경상남도 사천시 선구동17-4,-,34.92892207,128.0767164,287,"농산물,축산물,수산물,가공식품,의류 및 신발,가정용품,음식점업,근린생활서비스,",온누리+지역사랑상품권,,Y,Y,,,2020-05-27,B553077,소상공인시장진흥공단
서포시장,상설장+5일장,경상남도 사천시 자구로 473,경상남도 사천시 서포면 구평리 644-3,5일,35.00686567,127.9779051,45,"농산물,수산물,의류 및 신발,가정용품,음식점업,근린생활서비스,",지역사랑상품권,,Y,Y,,,2020-05-27,B553077,소상공인시장진흥공단
완사시장,상설장+5일장,경상남도 사천시 완사2길12,경상남도 사천시 정곡리 842,5일,,,46,"농산물,수산물,의류 및 신발,음식점업,기타소매업,근린생활서비스,",온누리+지역사랑상품권,,Y,Y,,,2020-05-27,B553077,소상공인시장진흥공단
단계시장,5일장,경상남도 신등면 신차로 500-3,경상남도 산청군 신동면 단계리 784,5일,,,22,"농산물,의류 및 신발,기타소매업",온누리+지역사랑상품권,,Y,Y,,,2020-05-27,B553077,소상공인시장진흥공단
단성시장,5일장,경상남도 산청군 단성면 목화로 968번길 17,경상남도 산천군 단성면 성내리 178,5일,35.29823275,127.9580337,58,"가공식품,의류 및 신발,음식점업,기타소매업,",지역사랑상품권,,Y,Y,,,2020-05-27,B553077,소상공인시장진흥공단
덕산시장,5일장,경상남도 산청군 시천면 남명로 188-5 덕산시장,경상남도 산청군 시천면 사리 931-3,5일,35.27703295,127.8377442,20,"농산물,수산물,의류 및 신발,음식점업,기타소매업",온누리+지역사랑상품권,,Y,Y,,,2020-05-27,B553077,소상공인시장진흥공단
산청시장,상설장+5일장,경상남도 산청군 산청읍 중앙로 16-1,경상남도 산청군 산청읍 산청리 252-2,5일,35.41530045,127.8762277,115,"농산물,가공식품,의류 및 신발,가정용품,음식점업,기타소매업,근린생활서비스",온누리+지역사랑상품권,,Y,Y,,,2020-05-27,B553077,소상공인시장진흥공단
생초시장,5일장,경상남도 산청군 생초로 25-17,경상남도 산청군 생초면 어서리 259-14,5일,35.49242532,127.8360245,24,"수산물,가공식품,기타소매업",지역사랑상품권,,Y,Y,,,2020-05-27,B553077,소상공인시장진흥공단
덕계종합상설시장,상설장,경상남도 양산시 덕계2길 7,경상남도 양산시 덕계동 754-1,-,35.36975078,129.1471546,233,"농산물,축산물,가공식품,의류 및 신발,음식점업,기타소매업,근린생활서비스",지역사랑상품권,,Y,Y,1995,,2020-05-27,B553077,소상공인시장진흥공단
서창시장,상설장+5일장,경상남도 양산시 서창서2길 5,경상남도 양산시 삼호동 524,5일,35.41628294,129.172016,38,"농산물,축산물,수산물,음식점업,기타소매업,근린생활서비스,",지역사랑상품권,,Y,Y,1919,,2020-05-27,B553077,소상공인시장진흥공단
신평시장,상설장+5일장,경상남도 양산시 하북면 신평강변3길 11,경상남도 양산시 하북면 순지리 575,5일,35.49081846,129.086053,48,"농산물,수산물,가공식품,의류 및 신발,가정용품,음식점업,기타소매업",지역사랑상품권,,Y,N,1962,,2020-05-27,B553077,소상공인시장진흥공단
양산남부시장,상설장+5일장,경상남도 양산시 중앙로 133번지,경상남도 양산시 중부동 423-5,5일,35.34244333,129.0372355,188,"농산물,수산물,가공식품,의류 및 신발,가정용품,음식점업,기타소매업,근린생활서비스,",지역사랑상품권,,Y,Y,1978,,2020-05-27,B553077,소상공인시장진흥공단
양산남부시장상가,상설장+5일장,경상남도 양산시 장터3길 7,경상남도 양산시 중부동 407-3,5일,35.34339096,129.0370438,115,"농산물,축산물,수산물,가공식품,의류 및 신발,가정용품,음식점업,기타소매업,",지역사랑상품권,,Y,Y,1995,,2020-05-27,B553077,소상공인시장진흥공단
양산북부시장,상설장,경상남도 양산시 중앙로 232,경상남도 양산시 북부동 148-19,-,35.35045076,129.041194,111,"가공식품,음식점업,기타소매업,근린생활서비스,",지역사랑상품권,,Y,Y,1988,,2020-05-27,B553077,소상공인시장진흥공단
신반시장,상설장+5일장,경상남도 의령군 부림면 신번로7길 6-1,경상남도 의령군 부림면 신반리519-3,5일,35.4676183,128.3245703,46,"농산물,수산물,가공식품,의류 및 신발,가정용품,음식점업,기타소매업",지역사랑상품권,,Y,Y,,,2020-05-27,B553077,소상공인시장진흥공단
의령시장,상설장+5일장,경상남도 의령군 의령읍 의병로20길 19-2,경상남도 의령군 의령읍 중동리 386-7,5일,35.31875009,128.2612497,102,"농산물,축산물,수산물,가공식품,의류 및 신발,가정용품,음식점업",지역사랑상품권,,Y,Y,,,2020-05-27,B553077,소상공인시장진흥공단
금곡시장,5일장,경상남도 진주시 금곡면 두문리 월아산로 115번길 26,경상남도 진주시 금곡면 두문리 632,5일,,,0,"축산물,수산물,의류 및 신발,가정용품,",지역사랑상품권,,Y,N,1962,,2020-05-27,B553077,소상공인시장진흥공단
대곡시장,5일장,경상남도 진주시 대곡면 진의로 1091번길,경상남도 진주시 대곡면 광석리 321-3,5일,,,15,"농산물,수산물,의류 및 신발,가정용품,기타소매업",지역사랑상품권,,Y,N,1962,,2020-05-27,B553077,소상공인시장진흥공단
동부종합상가,상설장,경상남도 진주시 대신로299번길 7,경상남도 진주시 상대동193-1,-,35.18704511,128.1162086,96,"농산물,수산물,가공식품,의류 및 신발,음식점업,근린생활서비스,",온누리+지역사랑상품권,,Y,N,1980,,2020-05-27,B553077,소상공인시장진흥공단
봉곡시장,상설장,경상남도 창원시 의창구 봉곡로111번길 16,경상남도 창원시 의창구 봉곡동145-1,-,35.24696964,128.6719707,146,"농산물,축산물,수산물,가공식품,의류 및 신발,가정용품,음식점업,기타소매업근린생활서비스",온누리+지역사랑상품권,,Y,Y,,,2020-05-27,B553077,소상공인시장진흥공단
봉곡프라자상가,상설장,경상남도 창원시 의창구 창이대로205번길 5,경상남도 창원시 의창구 봉곡동61-10,-,35.2454396,128.6595167,118,"축산물,의류 및 신발,음식점업,기타소매업,근린생활서비스",온누리+지역사랑상품권,,Y,Y,,,2020-05-27,B553077,소상공인시장진흥공단
부림상시장,상설장,경상남도 창원시 마산합포구 동서서4길 2-15,경상남도 창원시 마산합포구 부림동 83-24,-,35.20577293,128.5724469,59,"가정용품,음식점업,기타소매업,근린생활서비스,",지역사랑상품권,,Y,Y,,,2020-05-27,B553077,소상공인시장진흥공단
부림시장,상설장,경상남도 창원시 마산함포구 3·15대로 352,경상남도 창원시 마산합포구 부림동 32,-,,,324,"농산물,축산물,수산물,가공식품,의류 및 신발,가정용품,음식점업,기타소매업근린생활서비스",지역사랑상품권,burin.golmoktour.kr,Y,Y,,,2020-05-27,B553077,소상공인시장진흥공단
북동공설시장,상설장,경상남도 창원시 의창구 의안로 49번길 30,경상남도 창원시 의창우 북동 249-1,-,35.26618206,128.6206974,40,"축산물,가공식품,음식점업",온누리+지역사랑상품권,,Y,Y,,,2020-05-27,B553077,소상공인시장진흥공단
북마산가구시장,상설장,경상남도 창원시 마산합포구 북성로 17,경상남도 창원시 마산합포구 추산동 7-6,-,35.20899496,128.5727858,43,가정용품,지역사랑상품권,,Y,Y,,,2020-05-27,B553077,소상공인시장진흥공단
사파동성종합상가,상설장,경상남도 창원시 성산구 창이대로 733,경상남도 창원시 성산구 사파동 93,-,35.21947581,128.7021872,103,"농산물,축산물,가공식품,음식점업,기타소매업,근린생활서비스,",지역사랑상품권,,Y,Y,,,2020-05-27,B553077,소상공인시장진흥공단
산호시장,상설장,경상남도 창원시 마산합포구 산호시장길 18,경상남도 창원시 마산합포구 산호동 28-8,-,35.218374,128.5817173,71,"농산물,축산물,가공식품,의류 및 신발,가정용품,음식점업,근린생활서비스",지역사랑상품권,,Y,Y,,,2020-05-27,B553077,소상공인시장진흥공단
상남시장,상설장+5일장,경상남도 창원시 성산구 마디미로28,경상남도 창원시 성산구 상남동 16,5일,35.2222154,128.6833809,588,"농산물,축산물,수산물,가공식품,의류 및 신발,가정용품,음식점업,기타소매업근린생활서비스",지역사랑상품권,www.daekirri.com,Y,Y,,,2020-05-27,B553077,소상공인시장진흥공단
서마산시장,상설장,경상남도 창원시 마산회원구 석전남16길64,경상남도 창원시 마산회원구 석전동 155-1,-,35.22902101,128.5691303,26,"농산물,수산물,가공식품,음식점업,기타소매업,근린생활서비스,",지역사랑상품권,,Y,N,,,2020-05-27,B553077,소상공인시장진흥공단
석전시장,상설장,경상남도 창원시 마산회원구 석전동 6길 32,경상남도 창원시 마산회원구 석전동 257-1,-,35.23040962,128.5749038,168,"농산물,의류 및 신발,가정용품,음식점업,기타소매업,근린생활서비스,",지역사랑상품권,,Y,Y,,,2020-05-27,B553077,소상공인시장진흥공단
성원3차상가,상설장,경상남도 창원시 성산구 대암로80,경상남도 창원시 성산구 대방동 355,-,35.21500161,128.7053003,102,"가공식품,음식점업,기타소매업,근린생활서비스,",지역사랑상품권,,Y,Y,,,2020-05-27,B553077,소상공인시장진흥공단
성원그랜드쇼핑상가,상설장,경상남도 창원시 성산구 동산로 124,경상남도 창원시 성산구 상남동 45-1,-,35.21937199,128.6915939,547,"농산물,축산물,가공식품,의류 및 신발,가정용품,음식점업,기타소매업,근린생활서비스,",지역사랑상품권,,Y,Y,,,2020-05-27,B553077,소상공인시장진흥공단
번개시장,상설장,대구광역시 중구 태평로 177-3,대구광역시 중구 태평로1가 1-152,매일,35.87508721,128.5981284,130,"농산물, 생필품, 수산물, 잡화 등",온누리상품권+전자상품권,,Y,Y,1988,053-427-7098,2019-06-27,6270000,대구광역시
보성황실시장,상설장,대구광역시 중구 남산로13길 17,대구광역시 중구 남산동 2466-1,매일,35.86094192,128.5805164,26,"농산물,잡화",온누리상품권+전자상품권,,Y,N,1993,053-256-8060,2019-06-27,6270000,대구광역시
메트로센터,상설장,대구광역시 중구 달구벌대로 지하2100,대구광역시 중구 덕산동 88,매일,35.8644206926,128.5933402684,403,"잡화,의류",온누리상품권+전자상품권,,Y,Y,2005,053-422-9733,2019-06-27,6270000,대구광역시
메트로프라자,상설장,대구광역시 중구 달구벌대로 지하2160,대구광역시 중구 봉산동 127-1,매일,35.8644692376,128.5980971991,138,"잡화,의류",온누리상품권+전자상품권,,Y,Y,2005,053-254-5200,2019-06-27,6270000,대구광역시
방천시장,상설장,대구광역시 중구 달구벌대로446길 7-3,대구광역시 중구 대봉동 12-12,매일,35.86199578,128.606146,62,"농산물, 생필품, 수산물, 잡화 등",온누리상품권+전자상품권,,Y,N,2005,070-8249-3084,2019-06-27,6270000,대구광역시
서문시장건해산물 상가,상설장,대구광역시 중구 큰장로26안길 5,대구광역시 중구 대신동 265-5,매일,35.86814844,128.579495,91,건해산물,온누리상품권+전자상품권,http://www.seomun.net/,Y,Y,2005,053-254-7800,2019-06-27,6270000,대구광역시
명품프라자상가,상설장,대구광역시 중구 큰장로28길 27,대구광역시 중구 대신동 115-112,매일,35.86991712,128.5809253,192,"그릇,잡화",온누리상품권+전자상품권,http://www.seomun.net/,Y,Y,2006,053-256-0023,2019-06-27,6270000,대구광역시
진주장대시장,상설장,경상남도 진주시 진양호로 569번길 12,경상남도 진주시 장대동 58-8,-,35.19506721,128.087222,320,"농산물,축산물,수산물,가공식품,의류 및 신발,가정용품,음식점업,기타소매업근린생활서비스",온누리+지역사랑상품권,,Y,Y,1962,,2020-05-27,B553077,소상공인시장진흥공단
진주중앙시장,상설장,경상남도 진주시 촉석로 202번길4-2,경상남도 진주시 대안동 6-11,-,35.19527643,128.0839923,1007,"농산물,축산물,수산물,가공식품,의류 및 신발,가정용품,음식점업,기타소매업근린생활서비스",온누리+지역사랑상품권,,Y,Y,1884,,2020-05-27,B553077,소상공인시장진흥공단
천전시장,상설장,경상남도 진주시 진주대로 952-1,경상남도 진주시 칠암동 306-1,-,35.18508549,128.0883054,52,"농산물,축산물,가공식품,가정용품,음식점업,근린생활서비스,",온누리+지역사랑상품권,,Y,N,1945,,2020-05-27,B553077,소상공인시장진흥공단
평거한보하이타운,상설장,경상남도 진주시 순환로 553번길 7,경상남도 진주시 순환로 평거동 301-1,-,35.17265268,128.0592576,100,"의류 및 신발,근린생활서비스,",온누리+지역사랑상품권,,Y,Y,1995,,2020-05-27,B553077,소상공인시장진흥공단
남지시장,5일장,경상남도 창녕군 남지읍 본동길4,경상남도 창녕군 남지읍 남지리 531,5일,35.38911665,128.4824922,64,"농산물,수산물,가공식품,의류 및 신발,가정용품,음식점업,근린생활서비스",지역사랑상품권,,Y,Y,1956,,2020-05-27,B553077,소상공인시장진흥공단
영산시장,5일장,경상남도 창녕군 영산면 신영산로56,경상남도 창녕군 영산면 성내리 516-4,5일,35.45704119,128.5325985,33,"농산물,축산물,수산물,가공식품,의류 및 신발,가정용품,음식점업,근린생활서비스,",지역사랑상품권,,Y,Y,1957,,2020-05-27,B553077,소상공인시장진흥공단
이방정기시장,상설장+5일장,경상남도 창녕군 이방면 이방대학로35-1,경상남도 창녕군 이방면 거남리 43-5,5일,,,19,"가공식품,의류 및 신발,음식점업,기타소매업,",지역사랑상품권,,Y,Y,1956,,2020-05-27,B553077,소상공인시장진흥공단
창녕상설시장,상설장,경상남도 창녕군 창녕읍 시장길 66,경상남도 창녕군 창녕읍 164-38,-,,,72,"농산물,축산물,수산물,가공식품,의류 및 신발,가정용품,음식점업,기타소매업근린생활서비스",지역사랑상품권,,Y,Y,1977,,2020-05-27,B553077,소상공인시장진흥공단
창녕시장,상설장+5일장,경상남도 창녕군 창녕읍 시장길 100,경상남도 창녕군 창녕읍 술정리44-1,5일,35.54161608,128.4974095,50,"농산물,수산물,가공식품,의류 및 신발,가정용품,근린생활서비스,",지역사랑상품권,,Y,Y,1947,,2020-05-27,B553077,소상공인시장진흥공단
가음정대상가,상설장,경상남도 창원시 성산구 원이대로 883번지 15-24,경상남도 창원시 성산구 원이대로 883번지 15-24,-,,,262,"수산물,가공식품,의류 및 신발,가정용품,음식점업,기타소매업,근린생활서비스",지역사랑상품권,,Y,Y,,,2020-05-27,B553077,소상공인시장진흥공단
광명새마을시장,상설장,경기도 광명시 광명로 831번지 4-1,경기도 광명시 광명동 342-12,-,37.47365367,126.8513982,175,"농산물,축산물,수산물,가공식품,의류 및 신발,가정용품,음식점업,기타소매업근린생활서비스",온누리+지역사랑상품권,,Y,Y,,,2020-05-27,B553077,소상공인시장진흥공단
광명시장,상설장,경기도 광명시 광이로13번길 17-5,경기도 광명시 광명동 158-44,-,37.47994861,126.8561659,320,"농산물,축산물,수산물,가공식품,의류 및 신발,가정용품,음식점업,기타소매업근린생활서비스",온누리+지역사랑상품권,,Y,Y,,,2020-05-27,B553077,소상공인시장진흥공단
경안시장,상설장+5일장,경기도 광주시 중앙로123번길 13,경기도 광주시 경안동 33-16,5일,37.41005847,127.2567674,76,"농산물,축산물,수산물,가공식품,의류 및 신발,가정용품,음식점업,근린생활서비스,",온누리+지역사랑상품권,,Y,Y,2005,,2020-05-27,B553077,소상공인시장진흥공단
구리전통시장,상설장,경기도 구리시 검배로 6번길 31,경기도 구리시 수택동 417,-,37.59954117,127.1399059,214,"농산물,축산물,수산물,가공식품,의류 및 신발,가정용품,음식점업,기타소매업근린생활서비스",온누리+지역사랑상품권,gurisijang.com,Y,Y,2005,,2020-05-27,B553077,소상공인시장진흥공단
군포역전시장,상설장,경기도 군포시 군포로548-1,경기도 군포시 당동 749,-,37.35490162,126.9470000240,54,"농산물,축산물,수산물,가공식품,의류 및 신발,음식점업,",지역사랑상품권,,Y,N,1970,,2020-05-27,B553077,소상공인시장진흥공단
김포중앙시장,상설장,경기도 김포시 북면중로55-1,경기도 김포시 북변동 375-11,-,37.62615071,126.7104418,110,"농산물,수산물,가공식품,의류 및 신발,가정용품,음식점업,기타소매업,근린생활서비스,",온누리+지역사랑상품권,,Y,N,2005,,2020-05-27,B553077,소상공인시장진흥공단
양곡시장,상설장,경기도 김포시 양촌읍 양곡1로 42-2,경기도 김포시 양촌읍 양곡리 415-6,-,37.65446376,126.6238076,69,"의류 및 신발,가정용품,음식점업,기타소매업,근린생활서비스",지역사랑상품권,,Y,N,2013,,2020-05-27,B553077,소상공인시장진흥공단
양곡오라니장터시장,상설장,경기도 김포시 양곡1로 54,경기도 김포시 양촌읍 양곡리 419-4 16호,-,,,83,"농산물,축산물,가공식품,의류 및 신발,음식점업,기타소매업,근린생활서비스",온누리+지역사랑상품권,,Y,Y,2016,,2020-05-27,B553077,소상공인시장진흥공단
통진시장,상설장,경기도 김포시 서암로84번길 29,경기도 김포시 서암리 721-8,-,,,103,"축산물,수산물,가공식품,의류 및 신발,가정용품,음식점업,",온누리+지역사랑상품권,,N,N,2012,,2020-05-27,B553077,소상공인시장진흥공단
남양주장현 전통시장,상설장,경기도 남양주시 진접읍 장현로 77-100,경기도 남양주시 장현리 380-15,-,,,159,"가공식품,의류 및 신발,가정용품,음식점업,기타소매업",지역사랑상품권,,Y,N,,,2020-05-27,B553077,소상공인시장진흥공단
동두천제일시장,상설장,경기도 동두천시 정장로 11-12,경기도 동두천시 생연동 823,-,37.90517383,127.0522233,20,"의류 및 신발,음식점업,기타소매업,근린생활서비스,",온누리+지역사랑상품권,,Y,Y,2005,,2020-05-27,B553077,소상공인시장진흥공단
동두천큰시장,상설장,경기도 동두천시 큰시장로 52,경기도 동두천시 생연동 698-1,-,37.90048898,127.0520744,104,"농산물,축산물,가공식품,의류 및 신발,음식점업,기타소매업,",온누리+지역사랑상품권,,Y,Y,1960,,2020-05-27,B553077,소상공인시장진흥공단
세아프라자상가,상설장,경기도 동두천시 큰시장로 64,경기도 동두천시 큰시장로 64,-,37.90072027,127.0505965,50,"의류 및 신발,가정용품,기타소매업,근린생활서비스,",온누리+지역사랑상품권,,Y,Y,2008,,2020-05-27,B553077,소상공인시장진흥공단
중앙시장,상설장,경기도 동두천시 중앙로285번길 9,경기도 동두천시 생연동 607-27,-,37.90690296,127.0537391,236,"농산물,축산물,수산물,가공식품,의류 및 신발,가정용품,음식점업,기타소매업근린생활서비스",온누리+지역사랑상품권,,Y,Y,1967,,2020-05-27,B553077,소상공인시장진흥공단
강남시장,상설장,경기도 부천시 옥산로154번길 20,경기도 부천시 도당동 276-4,-,37.50722073,126.7813045,123,"농산물,축산물,수산물,가공식품,의류 및 신발,가정용품,음식점업,기타소매업,",지역사랑상품권,,Y,Y,1985,,2020-05-27,B553077,소상공인시장진흥공단
고리울동굴시장,상설장,경기도 부천시 고리울로64번길 27,경기도 부천시 오정구 고강동 407,-,37.52584356,126.8227004,70,"농산물,축산물,수산물,가공식품,의류 및 신발,음식점업,근린생활서비스",지역사랑상품권,,N,N,1990,,2020-05-27,B553077,소상공인시장진흥공단
부천상동시장,상설장,경기도 부천시 석천로60번길 51,경기도 부천시 상동 236-5,-,37.49235743,126.7642685,138,"농산물,축산물,수산물,가공식품,의류 및 신발,가정용품,음식점업,근린생활서비스,",지역사랑상품권,,Y,Y,1986,,2020-05-27,B553077,소상공인시장진흥공단
부천자유시장,상설장,경기도 부천시 소사구 자유로 33,경기도 부천시 소사구 심곡본동 543,-,,,339,"농산물,축산물,수산물,가공식품,의류 및 신발,가정용품,음식점업,기타소매업근린생활서비스",지역사랑상품권,,Y,N,1947,,2020-05-27,B553077,소상공인시장진흥공단
대동훼미리코아상가,상설장,경상남도 창원시 성산구 대정로 138,경상남도 창원시 성산구 대방동 358,-,35.21174961,128.7076306,89,"가공식품,의류 및 신발,가정용품,음식점업,기타소매업,근린생활서비스,",지역사랑상품권,,Y,Y,,,2020-05-27,B553077,소상공인시장진흥공단
대방덕산1차상가,상설장,경상남도 창원시 성산구 대정로 131,경상남도 창원시 성산구 대방동 356,-,35.21362013,128.7068923,67,"축산물,가공식품,음식점업,기타소매업,근린생활서비스",지역사랑상품권,,Y,Y,,,2020-05-27,B553077,소상공인시장진흥공단
덕산그린피아상가,상설장,경상남도 창원시 성산구 용지로 64,경상남도 창원시 성산구 중앙동 98-6,-,35.22167943,128.6760248,84,"농산물,의류 및 신발,가정용품,음식점업,기타소매업,근린생활서비스,",지역사랑상품권,,Y,Y,,,2020-05-27,B553077,소상공인시장진흥공단
동마산시장,상설장,경상남도 창원시 마산 회원구 합성남8길 76,경상남도 창원시 마산 회원구 합성동 326-1,-,35.24003541,128.587547,56,"농산물,축산물,수산물,가공식품,의류 및 신발,가정용품,음식점업,근린생활서비스,",지역사랑상품권,,Y,Y,,,2020-05-27,B553077,소상공인시장진흥공단
동성올림픽타운,상설장,경상남도 창원시 성상구 중앙대로 77,경상남도 창원시 성상구 중앙동 97-2,-,,,93,"가공식품,음식점업,기타소매업,근린생활서비스,",지역사랑상품권,,Y,Y,,,2020-05-27,B553077,소상공인시장진흥공단
롯데종합상가,상설장,경상남도 창원시 의창구 용지로225,경상남도 창원시 의창구 용호동 63,-,35.23403608,128.6854309,70,"가공식품,음식점업,기타소매업,근린생활서비스,",지역사랑상품권,,Y,Y,,,2020-05-27,B553077,소상공인시장진흥공단
마산수산시장,상설장,경상남도 창원시 마산합포구 수산2길 194,경상남도 창원시 마산합포구 남성동 229-1,-,35.20181709,128.5789103,344,"축산물,수산물,",지역사랑상품권,,Y,Y,,,2020-05-27,B553077,소상공인시장진흥공단
마산어시장,상설장,경상남도 창원시 마산합포구 복요리로 7,경상남도 창원시 마산합포구 동성동 314,-,35.20376315,128.5789568,1027,"농산물,축산물,수산물,가공식품,의류 및 신발,가정용품,음식점업,기타소매업근린생활서비스",지역사랑상품권,,Y,Y,,,2020-05-27,B553077,소상공인시장진흥공단
마천시장,5일장,경상남도 창원시 진해구 웅동로 57,경상남도 창원시 진해구 마천동 131-22,5일,35.12538952,128.7828085,24,"농산물,축산물,수산물,가공식품,의류 및 신발,음식점업,기타소매업,근린생활서비스,",지역사랑상품권,,Y,Y,,,2020-05-27,B553077,소상공인시장진흥공단
명곡종합상가,상설장,경상남도 창원시 의창구 명서로116번길 20,경상남도 창원시 의창구 명서동 75-16,-,35.24848713,128.6462197,53,"농산물,수산물,가공식품,의류 및 신발,음식점업,근린생활서비스,",지역사랑상품권,,Y,Y,,,2020-05-27,B553077,소상공인시장진흥공단
명서시장,상설장,경상남도 창원시 의창구 원이대로 189번길 20,경상남도 창원시 명서동 45-10,-,,,174,"농산물,축산물,수산물,가공식품,의류 및 신발,가정용품,음식점업,기타소매업근린생활서비스",온누리+지역사랑상품권,msmarket.kr,Y,Y,,,2020-05-27,B553077,소상공인시장진흥공단
반송시장,상설장,경상남도 창원시 성산구 윈이대로 473번길 20-11,경상남도 창원시 성산구 반림동 17-13,-,35.23513312,128.6710511,132,"농산물,축산물,수산물,가공식품,의류 및 신발,가정용품,음식점업,기타소매업근린생활서비스",지역사랑상품권,,Y,Y,,,2020-05-27,B553077,소상공인시장진흥공단
부천제일시장,상설장,경기도 부천시 고강로40번길 55,경기도 부천시 원종동 298,-,37.52792686,126.8089567,145,"농산물,축산물,수산물,가공식품,의류 및 신발,가정용품,음식점업,기타소매업근린생활서비스",지역사랑상품권,,N,Y,1981,,2020-05-27,B553077,소상공인시장진흥공단
부천한신시장,상설장,경기도 부천시 은성로 76번길10,경기도 부천시 소사본동 196-9,-,37.47483042,126.7990349,84,"농산물,축산물,수산물,가공식품,의류 및 신발,가정용품,음식점업,기타소매업근린생활서비스",지역사랑상품권,,Y,Y,1986,,2020-05-27,B553077,소상공인시장진흥공단
소사종합시장,상설장,경기도 부천시 호현로 474번길 27,경기도 부천시 소사본동 78-34,-,37.47911456,126.7942343,59,"농산물,축산물,수산물,가공식품,의류 및 신발,가정용품,음식점업,기타소매업,",지역사랑상품권,,Y,Y,1980,,2020-05-27,B553077,소상공인시장진흥공단
신흥시장,상설장,경기도 부천시 오정구 평천로 721번길 14-2,경기도 부천시 삼정동 315,-,37.51555533,126.7710185,65,"농산물,축산물,수산물,가공식품,의류 및 신발,가정용품,음식점업",온누리+지역사랑상품권,,Y,Y,1985,,2020-05-27,B553077,소상공인시장진흥공단
역곡남부시장,상설장,경기도 부천시 부광로16번길 33,경기도 부천시 소사구 괴안동 107-8,-,37.48253122,126.8115372,74,"농산물,축산물,수산물,가공식품,의류 및 신발,가정용품,음식점업,기타소매업근린생활서비스",온누리+지역사랑상품권,https://yeokgoksouthern.modoo.at/,Y,N,1983,,2020-05-27,B553077,소상공인시장진흥공단
역곡상상시장(역곡북부시장),상설장,경기도 부천시 원미구 부일로 749번길 31,경기도 부천시 원미구 역곡동 84-7,-,,,115,"농산물,축산물,수산물,가공식품,의류 및 신발,가정용품,음식점업,기타소매업근린생활서비스",지역사랑상품권,,Y,Y,1984,,2020-05-27,B553077,소상공인시장진흥공단
오정시장,상설장,경기도 부천시 부천로 470번길 50,경기도 부천시 오정동 582-30,-,37.52597324,126.785707,69,"농산물,축산물,수산물,가공식품,의류 및 신발,가정용품,음식점업,기타소매업근린생활서비스",지역사랑상품권,,N,N,1986,,2020-05-27,B553077,소상공인시장진흥공단
원미부흥시장,상설장,경기도 부천시 부천로 96번길81,경기도 부천시 원미동 118-18,-,37.49219328,126.7899693,60,"농산물,축산물,수산물,가공식품,의류 및 신발,음식점업,기타소매업,근린생활서비스,",온누리+지역사랑상품권,,N,N,1980,,2020-05-27,B553077,소상공인시장진흥공단
원미종합시장,상설장,경기도 부천시 조종로 49번길 21-3,경기도 부천시 원미동 97-12,-,37.49368211,126.7901777,109,"농산물,축산물,수산물,가공식품,의류 및 신발,가정용품,음식점업,기타소매업근린생활서비스",온누리+지역사랑상품권,,Y,N,1985,,2020-05-27,B553077,소상공인시장진흥공단
원종종합시장,상설장,경기도 부천시 삼작로 394,경기도 부천시 원종동 372-1,-,37.51971141,126.8055705,50,"농산물,축산물,수산물,가공식품,의류 및 신발,가정용품,음식점업",온누리+지역사랑상품권,wonjongmarket,Y,Y,1987,,2020-05-27,B553077,소상공인시장진흥공단
원종중앙시장,상설장,경기도 부천시 성오로 124번길 47,경기도 부천시 원종동 209-5,-,37.52506517,126.8023167,73,"농산물,축산물,수산물,가공식품,의류 및 신발,가정용품,음식점업,기타소매업,",온누리+지역사랑상품권,,Y,Y,1991,,2020-05-27,B553077,소상공인시장진흥공단
청과물시장,상설장,경기도 부천시 경인로206번길 43,경기도 부천시 심곡본동 659,-,37.48157553,126.7779874,90,"농산물,가공식품,",지역사랑상품권,,Y,N,1973,,2020-05-27,B553077,소상공인시장진흥공단
금광시장,상설장,경기도 성남시 산성대로 426번길 5,경기도 성남시 중원구 금광동 4622,-,37.45003243,127.1599062,22,"축산물,수산물,가공식품,가정용품,음식점업,기타소매업,근린생활서비스",온누리+지역사랑상품권,,Y,Y,1991,,2020-05-27,B553077,소상공인시장진흥공단
금호시장,상설장,경기도 성남시 분당구 내정로 165번길 38,경기도 성남시 분당구 수내동 32,-,37.37597197,127.1171167,171,"가공식품,의류 및 신발,음식점업,기타소매업,근린생활서비스",온누리+지역사랑상품권,,Y,Y,1994,,2020-05-27,B553077,소상공인시장진흥공단
돌고래시장,상설장,경기도 성남시 분당구 내정로174번길 42 파크타운서안아파트,경기도 성남시 분당구 수내동 53,-,37.37153021,127.1221675,138,"농산물,축산물,수산물,가공식품,의류 및 신발,가정용품,음식점업,기타소매업근린생활서비스",온누리+지역사랑상품권,,Y,Y,1993,,2020-05-27,B553077,소상공인시장진흥공단
